ID	NAME	FEATURES	TYPE	GRAPHEME	UNICODE	GENERATED	NOTE
with-uvular-release_voiceless_post-alveolar_sibilant_affricate_consonant	with-uvular-release voiceless post-alveolar sibilant affricate consonant	consonant_release_with-uvular-release consonant_phonation_voiceless consonant_place_post-alveolar consonant_airstream_sibilant consonant_manner_affricate	consonant	tʃʶ	LATIN SMALL LETTER T / LATIN SMALL LETTER ESH / MODIFIER LETTER SMALL CAPITAL INVERTED R	+	
with-uvular-release_voiceless_dental_stop_consonant	with-uvular-release voiceless dental stop consonant	consonant_release_with-uvular-release consonant_phonation_voiceless consonant_place_dental consonant_manner_stop	consonant	t̪ʶ	LATIN SMALL LETTER T / COMBINING BRIDGE BELOW / MODIFIER LETTER SMALL CAPITAL INVERTED R	+	
with-uvular-release_voiceless_alveolar_stop_consonant	with-uvular-release voiceless alveolar stop consonant	consonant_release_with-uvular-release consonant_phonation_voiceless consonant_place_alveolar consonant_manner_stop	consonant	tʶ	LATIN SMALL LETTER T / MODIFIER LETTER SMALL CAPITAL INVERTED R	+	
with-uvular-release_voiced_post-alveolar_sibilant_affricate_consonant	with-uvular-release voiced post-alveolar sibilant affricate consonant	consonant_release_with-uvular-release consonant_phonation_voiced consonant_place_post-alveolar consonant_airstream_sibilant consonant_manner_affricate	consonant	dʒʶ	LATIN SMALL LETTER D / LATIN SMALL LETTER EZH / MODIFIER LETTER SMALL CAPITAL INVERTED R	+	
with-uvular-release_voiced_dental_stop_consonant	with-uvular-release voiced dental stop consonant	consonant_release_with-uvular-release consonant_phonation_voiced consonant_place_dental consonant_manner_stop	consonant	d̪ʶ	LATIN SMALL LETTER D / COMBINING BRIDGE BELOW / MODIFIER LETTER SMALL CAPITAL INVERTED R	+	
with-uvular-release_voiced_alveolar_stop_consonant	with-uvular-release voiced alveolar stop consonant	consonant_release_with-uvular-release consonant_phonation_voiced consonant_place_alveolar consonant_manner_stop	consonant	dʶ	LATIN SMALL LETTER D / MODIFIER LETTER SMALL CAPITAL INVERTED R	+	
with-trilled-release_voiceless_velar-and-bilabial_stop_consonant	with-trilled-release voiceless velar-and-bilabial stop consonant	consonant_release_with-trilled-release consonant_phonation_voiceless consonant_place_velar-and-bilabial consonant_manner_stop	consonant	kpʳ	LATIN SMALL LETTER K / LATIN SMALL LETTER P / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiceless_velar_stop_consonant	with-trilled-release voiceless velar stop consonant	consonant_release_with-trilled-release consonant_phonation_voiceless consonant_place_velar consonant_manner_stop	consonant	kʳ	LATIN SMALL LETTER K / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiceless_retroflex_stop_consonant	with-trilled-release voiceless retroflex stop consonant	consonant_release_with-trilled-release consonant_phonation_voiceless consonant_place_retroflex consonant_manner_stop	consonant	ʈʳ	LATIN SMALL LETTER T WITH RETROFLEX HOOK / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiceless_post-alveolar_sibilant_affricate_consonant	with-trilled-release voiceless post-alveolar sibilant affricate consonant	consonant_release_with-trilled-release consonant_phonation_voiceless consonant_place_post-alveolar consonant_airstream_sibilant consonant_manner_affricate	consonant	tʃʳ	LATIN SMALL LETTER T / LATIN SMALL LETTER ESH / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiceless_labio-dental_fricative_consonant	with-trilled-release voiceless labio-dental fricative consonant	consonant_release_with-trilled-release consonant_phonation_voiceless consonant_place_labio-dental consonant_manner_fricative	consonant	fʳ	LATIN SMALL LETTER F / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiceless_bilabial_stop_consonant	with-trilled-release voiceless bilabial stop consonant	consonant_release_with-trilled-release consonant_phonation_voiceless consonant_place_bilabial consonant_manner_stop	consonant	pʳ	LATIN SMALL LETTER P / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiceless_alveolar_stop_consonant	with-trilled-release voiceless alveolar stop consonant	consonant_release_with-trilled-release consonant_phonation_voiceless consonant_place_alveolar consonant_manner_stop	consonant	tʳ	LATIN SMALL LETTER T / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiceless_alveolar_sibilant_fricative_consonant	with-trilled-release voiceless alveolar sibilant fricative consonant	consonant_release_with-trilled-release consonant_phonation_voiceless consonant_place_alveolar consonant_airstream_sibilant consonant_manner_fricative	consonant	sʳ	LATIN SMALL LETTER S / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiced_velar-and-bilabial_stop_consonant	with-trilled-release voiced velar-and-bilabial stop consonant	consonant_release_with-trilled-release consonant_phonation_voiced consonant_place_velar-and-bilabial consonant_manner_stop	consonant	gbʳ	LATIN SMALL LETTER G / LATIN SMALL LETTER B / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiced_velar_stop_consonant	with-trilled-release voiced velar stop consonant	consonant_release_with-trilled-release consonant_phonation_voiced consonant_place_velar consonant_manner_stop	consonant	gʳ	LATIN SMALL LETTER G / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiced_retroflex_stop_consonant	with-trilled-release voiced retroflex stop consonant	consonant_release_with-trilled-release consonant_phonation_voiced consonant_place_retroflex consonant_manner_stop	consonant	ɖʳ	LATIN SMALL LETTER D WITH TAIL / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiced_post-alveolar_sibilant_affricate_consonant	with-trilled-release voiced post-alveolar sibilant affricate consonant	consonant_release_with-trilled-release consonant_phonation_voiced consonant_place_post-alveolar consonant_airstream_sibilant consonant_manner_affricate	consonant	dʒʳ	LATIN SMALL LETTER D / LATIN SMALL LETTER EZH / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiced_labio-dental_fricative_consonant	with-trilled-release voiced labio-dental fricative consonant	consonant_release_with-trilled-release consonant_phonation_voiced consonant_place_labio-dental consonant_manner_fricative	consonant	vʳ	LATIN SMALL LETTER V / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiced_bilabial_stop_consonant	with-trilled-release voiced bilabial stop consonant	consonant_release_with-trilled-release consonant_phonation_voiced consonant_place_bilabial consonant_manner_stop	consonant	bʳ	LATIN SMALL LETTER B / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiced_bilabial_fricative_consonant	with-trilled-release voiced bilabial fricative consonant	consonant_release_with-trilled-release consonant_phonation_voiced consonant_place_bilabial consonant_manner_fricative	consonant	βʳ	GREEK SMALL LETTER BETA / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiced_alveolar_stop_consonant	with-trilled-release voiced alveolar stop consonant	consonant_release_with-trilled-release consonant_phonation_voiced consonant_place_alveolar consonant_manner_stop	consonant	dʳ	LATIN SMALL LETTER D / MODIFIER LETTER SMALL R	+	
with-trilled-release_voiced_alveolar_sibilant_fricative_consonant	with-trilled-release voiced alveolar sibilant fricative consonant	consonant_release_with-trilled-release consonant_phonation_voiced consonant_place_alveolar consonant_airstream_sibilant consonant_manner_fricative	consonant	zʳ	LATIN SMALL LETTER Z / MODIFIER LETTER SMALL R	+	
with-sibilant-release_voiceless_velar_stop_consonant	with-sibilant-release voiceless velar stop consonant	consonant_release_with-sibilant-release consonant_phonation_voiceless consonant_place_velar consonant_manner_stop	consonant	kˢ	LATIN SMALL LETTER K / MODIFIER LETTER SMALL S	+	
with-sibilant-release_voiceless_labio-dental_fricative_consonant	with-sibilant-release voiceless labio-dental fricative consonant	consonant_release_with-sibilant-release consonant_phonation_voiceless consonant_place_labio-dental consonant_manner_fricative	consonant	fˢ	LATIN SMALL LETTER F / MODIFIER LETTER SMALL S	+	
with-sibilant-release_voiceless_bilabial-and-alveolar_stop_consonant	with-sibilant-release voiceless bilabial-and-alveolar stop consonant	consonant_release_with-sibilant-release consonant_phonation_voiceless consonant_place_bilabial-and-alveolar consonant_manner_stop	consonant	ptˢ	LATIN SMALL LETTER P / LATIN SMALL LETTER T / MODIFIER LETTER SMALL S	+	
with-sibilant-release_voiceless_bilabial_stop_consonant	with-sibilant-release voiceless bilabial stop consonant	consonant_release_with-sibilant-release consonant_phonation_voiceless consonant_place_bilabial consonant_manner_stop	consonant	pˢ	LATIN SMALL LETTER P / MODIFIER LETTER SMALL S	+	
with-sibilant-release_voiceless_bilabial_fricative_consonant	with-sibilant-release voiceless bilabial fricative consonant	consonant_release_with-sibilant-release consonant_phonation_voiceless consonant_place_bilabial consonant_manner_fricative	consonant	ɸˢ	LATIN SMALL LETTER PHI / MODIFIER LETTER SMALL S	+	
with-sibilant-release_voiced_retroflex_stop_consonant	with-sibilant-release voiced retroflex stop consonant	consonant_release_with-sibilant-release consonant_phonation_voiced consonant_place_retroflex consonant_manner_stop	consonant	ɖˢ	LATIN SMALL LETTER D WITH TAIL / MODIFIER LETTER SMALL S	+	
with-sibilant-release_voiced_bilabial_stop_consonant	with-sibilant-release voiced bilabial stop consonant	consonant_release_with-sibilant-release consonant_phonation_voiced consonant_place_bilabial consonant_manner_stop	consonant	bˢ	LATIN SMALL LETTER B / MODIFIER LETTER SMALL S	+	
with-sibilant-release_breathy_voiced_bilabial_stop_consonant	with-sibilant-release breathy voiced bilabial stop consonant	consonant_release_with-sibilant-release consonant_breathiness_breathy consonant_phonation_voiced consonant_place_bilabial consonant_manner_stop	consonant	bˢʱ	LATIN SMALL LETTER B / MODIFIER LETTER SMALL S / MODIFIER LETTER SMALL H WITH HOOK	+	
with-nasal-release_voiceless_velar-and-bilabial_stop_consonant	with-nasal-release voiceless velar-and-bilabial stop consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_velar-and-bilabial consonant_manner_stop	consonant	kpⁿ	LATIN SMALL LETTER K / LATIN SMALL LETTER P / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiceless_velar_stop_consonant	with-nasal-release voiceless velar stop consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_velar consonant_manner_stop	consonant	kⁿ	LATIN SMALL LETTER K / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiceless_uvular_stop_consonant	with-nasal-release voiceless uvular stop consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_uvular consonant_manner_stop	consonant	qⁿ	LATIN SMALL LETTER Q / SUPERSCRIPT LATIN SMALL LETTER N	+	
