BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	66	<NA>						1	
a	unrounded open front vowel		+	a	◌a						9	
ai	from unrounded open front to unrounded close front diphthong	+	+	ai	◌a ◌i						1	
ao	from unrounded open front to rounded close-mid back diphthong	+	+	ao	◌a ◌o						3	
ã	nasalized unrounded open front vowel		+	ã	◌a ◌̃						5	
ão	from nasalized unrounded open front to rounded close-mid back diphthong	+	+	ão	◌a ◌̃ ◌o						2	
b	voiced bilabial stop consonant		+	b	◌b						1	
c	voiceless palatal stop consonant		+	c	◌c						1	
cʰ	aspirated voiceless palatal stop consonant		+	cʰ	◌c ◌ʰ						1	
d	voiced alveolar stop consonant		+	d	◌d						2	
dz	voiced alveolar sibilant affricate consonant		+	dz	◌d ◌z						1	
dʑ	voiced alveolo-palatal sibilant affricate consonant		+	dʑ	◌d ◌ʑ						2	
e	unrounded close-mid front vowel		+	e	◌e						9	
ẽ	nasalized unrounded close-mid front vowel		+	ẽ	◌e ◌̃						5	
f	voiceless labio-dental fricative consonant		+	f	◌f						9	
g	voiced velar stop consonant		+	g	◌g						2	
i	unrounded close front vowel		+	i	◌i						9	
ia	from unrounded close front to unrounded open front diphthong	+	+	ia	◌i ◌a						8	
iã	from unrounded close front to nasalized unrounded open front diphthong	+	+	iã	◌i ◌a ◌̃						4	
iɔ	from unrounded close front to rounded open-mid back diphthong	+	+	iɔ	◌i ◌ɔ						4	
iɔ̃	from unrounded close front to nasalized rounded open-mid back diphthong	+	+	iɔ̃	◌i ◌ɔ ◌̃						1	
iɛ	from unrounded close front to unrounded open-mid front diphthong	+	+	iɛ	◌i ◌ɛ						9	
iɛ̃	from unrounded close front to nasalized unrounded open-mid front diphthong	+	+	iɛ̃	◌i ◌ɛ ◌̃						5	
iɯ	from unrounded close front to unrounded close back diphthong	+	+	iɯ	◌i ◌ɯ						2	
iɯ̃	from unrounded close front to nasalized unrounded close back diphthong	+	+	iɯ̃	◌i ◌ɯ ◌̃						2	
ĩ	nasalized unrounded close front vowel		+	ĩ	◌i ◌̃						5	
j	voiced palatal approximant consonant		+	j	◌j						9	
k	voiceless velar stop consonant		+	k	◌k						9	
kʰ	aspirated voiceless velar stop consonant		+	kʰ	◌k ◌ʰ						9	
kʲ	palatalized voiceless velar stop consonant		+	kʲ	◌k ◌ʲ						3	
kʲʰ	palatalized aspirated voiceless velar stop consonant	+	+	kʲʰ	◌k ◌ʲ ◌ʰ						1	
l	voiced alveolar lateral approximant consonant		+	l	◌l						9	
m	voiced bilabial nasal consonant		+	m	◌m						9	
n	voiced alveolar nasal consonant		+	n	◌n						9	
o	rounded close-mid back vowel		+	o	◌o						9	
ou	from rounded close-mid back to rounded close back diphthong	+	+	ou	◌o ◌u						3	
õ	nasalized rounded close-mid back vowel		+	õ	◌o ◌̃						5	
õu	from nasalized rounded close-mid back to rounded close back diphthong	+	+	õu	◌o ◌̃ ◌u						3	
p	voiceless bilabial stop consonant		+	p	◌p						9	
pʰ	aspirated voiceless bilabial stop consonant		+	pʰ	◌p ◌ʰ						9	
q	voiceless uvular stop consonant		+	q	◌q						1	
qʰ	aspirated voiceless uvular stop consonant		+	qʰ	◌q ◌ʰ						1	
s	voiceless alveolar sibilant fricative consonant		+	s	◌s						9	
sʰ	aspirated voiceless alveolar sibilant fricative consonant	+	+	sʰ	◌s ◌ʰ						1	
t	voiceless alveolar stop consonant		+	t	◌t						9	
ts	voiceless alveolar sibilant affricate consonant		+	ts	◌t ◌s						9	
tsʰ	aspirated voiceless alveolar sibilant affricate consonant		+	tsʰ	◌t ◌s ◌ʰ						10	
tɕ	voiceless alveolo-palatal sibilant affricate consonant		+	tɕ	◌t ◌ɕ						9	
