BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ⁿb	pre-nasalized voiced bilabial stop consonant		+	<sup>m</sup>b	◌ⁿ ◌b	http://apics-online.info/parameters/231		prenasalized voiced bilabial plosive				
ⁿp	pre-nasalized voiceless bilabial stop consonant		+	<sup>m</sup>p	◌ⁿ ◌p	http://apics-online.info/parameters/236		prenasalized voiceless bilabial plosive				
ⁿv	pre-nasalized voiced labio-dental fricative consonant	+	+	<sup>m</sup>v	◌ⁿ ◌v	http://apics-online.info/parameters/241		prenasalized voiced labiodental fricative				
ⁿw	pre-nasalized voiced labio-velar approximant consonant	+	+	<sup>m</sup>w	◌ⁿ ◌w	http://apics-online.info/parameters/246		prenasalized voiced labial-velar glide				
ⁿg	pre-nasalized voiced velar stop consonant		+	<sup>ŋ</sup>g	◌ⁿ ◌g	http://apics-online.info/parameters/235		prenasalized voiced velar plosive				
ⁿk	pre-nasalized voiceless velar stop consonant		+	<sup>ŋ</sup>k	◌ⁿ ◌k	http://apics-online.info/parameters/239		prenasalized voiceless velar plosive				
ⁿx	pre-nasalized voiceless velar fricative consonant	+	+	<sup>ŋ</sup>x	◌ⁿ ◌x	http://apics-online.info/parameters/245		prenasalized voiceless velar fricative				
ⁿc	pre-nasalized voiceless palatal stop consonant	+	+	<sup>ɲ</sup>c	◌ⁿ ◌c	http://apics-online.info/parameters/238		prenasalized voiceless palatal plosive				
ⁿɟ	pre-nasalized voiced palatal stop consonant		+	<sup>ɲ</sup>ɟ	◌ⁿ ◌ɟ	http://apics-online.info/parameters/234		prenasalized voiced palatal plosive				
a	unrounded open front vowel		+	a	◌a	http://apics-online.info/parameters/256		low central unrounded vowel				
ai	from unrounded open front to unrounded close front diphthong	+	+	ai	◌a ◌i	http://apics-online.info/parameters/295		diphthong falling from low central unrounded vowel to high front unrounded vowel				
au	from unrounded open front to rounded close back diphthong	+	+	au	◌a ◌u	http://apics-online.info/parameters/301		diphthong falling from low central unrounded vowel to to high back rounded vowel				
aː	long unrounded open front vowel		+	aː	◌a ◌ː	http://apics-online.info/parameters/278		long low central unrounded vowel				
