BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	j̪	<NA>							
<NA>	<NA>		+	ɺ̢	<NA>							
a	unrounded open front vowel		+	a	◌a							
aː	long unrounded open front vowel		+	aː	◌a ◌ː							
ã	nasalized unrounded open front vowel		+	ã	◌a ◌̃							
e	unrounded close-mid front vowel		+	e	◌e							
eː	long unrounded close-mid front vowel		+	eː	◌e ◌ː							
ẽ	nasalized unrounded close-mid front vowel		+	ẽ	◌e ◌̃							
i	unrounded close front vowel		+	i	◌i							
iː	long unrounded close front vowel		+	iː	◌i ◌ː							
ĩ	nasalized unrounded close front vowel		+	ĩ	◌i ◌̃							
j	voiced palatal approximant consonant		+	j	◌j							
j̻	voiced laminal palatal approximant consonant	+	+	j̻	◌j ◌̻							
k	voiceless velar stop consonant		+	k	◌k							
k̚	unreleased voiceless velar stop consonant		+	k͉	◌k ◌̚							
k͈	strong voiceless velar stop consonant	+	+	k͈	◌k ◌͈							
l	voiced alveolar lateral approximant consonant		+	l	◌l							
l̪	voiced dental lateral approximant consonant		+	l̪	◌l ◌̪							
l̺	voiced apical alveolar lateral approximant consonant	+	+	l̺	◌l ◌̺							
l̻	voiced laminal alveolar lateral approximant consonant		+	l̻	◌l ◌̻							
m	voiced bilabial nasal consonant		+	m	◌m							
n	voiced alveolar nasal consonant		+	n	◌n							
n̪	voiced dental nasal consonant		+	n̪	◌n ◌̪							
n̺	voiced apical alveolar nasal consonant	+	+	n̺	◌n ◌̺							
n̻	voiced laminal alveolar nasal consonant		+	n̻	◌n ◌̻							
o	rounded close-mid back vowel		+	o	◌o							
oː	long rounded close-mid back vowel		+	oː	◌o ◌ː							
õ	nasalized rounded close-mid back vowel		+	õ	◌o ◌̃							
p	voiceless bilabial stop consonant		+	p	◌p							
p̚	unreleased voiceless bilabial stop consonant		+	p͉	◌p ◌̚							
p͈	strong voiceless bilabial stop consonant	+	+	p͈	◌p ◌͈							
r	voiced alveolar trill consonant		+	r	◌r							
r̺	voiced apical alveolar trill consonant	+	+	r̺	◌r ◌̺							
r̺̥	devoiced voiced apical alveolar trill consonant	+	+	r̺̥	◌r ◌̺ ◌̥							
t	voiceless alveolar stop consonant		+	t	◌t							
t̚	unreleased voiceless alveolar stop consonant		+	t͉	◌t ◌̚							
t̪	voiceless dental stop consonant		+	t̪	◌t ◌̪							
t̪̚	unreleased voiceless dental stop consonant		+	t̪͉	◌t ◌̪ ◌̚							
t̪͈	strong voiceless dental stop consonant	+	+	t̪͈	◌t ◌̪ ◌͈							
t̺	voiceless apical alveolar stop consonant	+	+	t̺	◌t ◌̺							
t̺̚	unreleased voiceless apical alveolar stop consonant	+	+	t̺͉	◌t ◌̺ ◌̚							
t̺͈	strong voiceless apical alveolar stop consonant	+	+	t̺͈	◌t ◌̺ ◌͈							
t̻	voiceless laminal alveolar stop consonant	+	+	t̻	◌t ◌̻							
t̻̚	unreleased voiceless laminal alveolar stop consonant	+	+	t̻͉	◌t ◌̻ ◌̚							
t̻͈	strong voiceless laminal alveolar stop consonant	+	+	t̻͈	◌t ◌̻ ◌͈							
t͈	strong voiceless alveolar stop consonant	+	+	t͈	◌t ◌͈							
u	rounded close back vowel		+	u	◌u							
uː	long rounded close back vowel		+	uː	◌u ◌ː							
w	voiced labio-velar approximant consonant		+	w	◌w							
y	rounded close front vowel		+	y	◌y							
æ	unrounded near-open front vowel		+	æ	◌æ							
æː	long unrounded near-open front vowel		+	æː	◌æ ◌ː							
æ̃	nasalized unrounded near-open front vowel		+	æ̃	◌æ ◌̃							
ð	voiced dental fricative consonant		+	ð	◌ð							
ø	rounded close-mid front vowel		+	ø	◌ø							
øː	long rounded close-mid front vowel		+	øː	◌ø ◌ː							
ŋ	voiced velar nasal consonant		+	ŋ	◌ŋ							
ȴ	voiced alveolo-palatal lateral approximant consonant		+	ȴ	◌ȴ							
ȵ	voiced alveolo-palatal nasal consonant		+	ȵ	◌ȵ							
ȶ	voiceless alveolo-palatal stop consonant		+	ȶ	◌ȶ							
ȶ̚	unreleased voiceless alveolo-palatal stop consonant	+	+	ȶ͉	◌ȶ ◌̚							
ȶ͈	strong voiceless alveolo-palatal stop consonant	+	+	ȶ͈	◌ȶ ◌͈							
ə	unrounded mid central vowel		+	ə	◌ə							
ɣ	voiced velar fricative consonant		+	ɣ	◌ɣ							
ɦ	voiced glottal fricative consonant		+	ɦ	◌ɦ							
ɨ	unrounded close central vowel		+	ɨ	◌ɨ							
ɭ	voiced retroflex lateral approximant consonant		+	ɭ	◌ɭ							
ɰ	voiced velar approximant consonant		+	ɰ	◌ɰ							
ɳ	voiced retroflex nasal consonant		+	ɳ	◌ɳ							
ɵ	rounded close-mid central vowel		+	ɵ	◌ɵ							
ɵː	long rounded close-mid central vowel		+	ɵː	◌ɵ ◌ː							
ɸ	voiceless bilabial fricative consonant		+	ɸ	◌ɸ							
ɹ̺	voiced apical alveolar approximant consonant	+	+	ɹ̺	◌ɹ ◌̺							
ɺ	voiced alveolar lateral tap consonant		+	ɺ	◌ɺ							
ɻ	voiced retroflex approximant consonant		+	ɻ	◌ɻ							
ɽ	voiced retroflex tap consonant		+	ɽ	◌ɽ							
ɾ	voiced alveolar tap consonant		+	ɾ	◌ɾ							
ɾ̺	voiced apical alveolar tap consonant	+	+	ɾ̺	◌ɾ ◌̺							
ʈ	voiceless retroflex stop consonant		+	ʈ	◌ʈ							
ʈ̚	unreleased voiceless retroflex stop consonant	+	+	ʈ͉	◌ʈ ◌̚							
