BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
a	unrounded open front vowel		+	a	◌a						40	
ai	from unrounded open front to unrounded close front diphthong	+	+	ai	◌a ◌i						2	
ao	from unrounded open front to rounded close-mid back diphthong	+	+	ao	◌a ◌o						1	
au	from unrounded open front to rounded close back diphthong	+	+	au	◌a ◌u						13	
aɯ	from unrounded open front to unrounded close back diphthong	+	+	aɯ	◌a ◌ɯ						1	
ã	nasalized unrounded open front vowel		+	ã	◌a ◌̃						11	
b	voiced bilabial stop consonant		+	b	◌b						6	
c	voiceless palatal stop consonant		+	c	◌c						1	
d	voiced alveolar stop consonant		+	d	◌d						11	
dz	voiced alveolar sibilant affricate consonant		+	dz	◌d ◌z						4	
dʑ	voiced alveolo-palatal sibilant affricate consonant		+	dʑ	◌d ◌ʑ						5	
dʒ	voiced post-alveolar sibilant affricate consonant		+	dʒ	◌d ◌ʒ						1	
e	unrounded close-mid front vowel		+	e	◌e						29	
ei	from unrounded close-mid front to unrounded close front diphthong	+	+	ei	◌e ◌i						2	
eu	from unrounded close-mid front to rounded close back diphthong	+	+	eu	◌e ◌u						2	
ẽ	nasalized unrounded close-mid front vowel		+	ẽ	◌e ◌̃						7	
f	voiceless labio-dental fricative consonant		+	f	◌f						29	
g	voiced velar stop consonant		+	g	◌g						8	
h	voiceless glottal fricative consonant		+	h	◌h						7	
i	unrounded close front vowel		+	i	◌i						53	
ia	from unrounded close front to unrounded open front diphthong	+	+	ia	◌i ◌a						15	
iã	from unrounded close front to nasalized unrounded open front diphthong	+	+	iã	◌i ◌a ◌̃						2	
ie	from unrounded close front to unrounded close-mid front diphthong	+	+	ie	◌i ◌e						9	
iẽ	from unrounded close front to nasalized unrounded close-mid front diphthong	+	+	iẽ	◌i ◌e ◌̃						1	
iu	from unrounded close front to rounded close back diphthong	+	+	iu	◌i ◌u						1	
iɑ	from unrounded close front to unrounded open back diphthong	+	+	iɑ	◌i ◌ɑ						6	
iɑ̃	from unrounded close front to nasalized unrounded open back diphthong	+	+	iɑ̃	◌i ◌ɑ ◌̃						2	
iɑ̟	from unrounded close front to advanced unrounded open back diphthong	+	+	iɑ̟	◌i ◌ɑ ◌̟						1	
iɔ̃	from unrounded close front to nasalized rounded open-mid back diphthong	+	+	iɔ̃	◌i ◌ɔ ◌̃						1	
iə	from unrounded close front to unrounded mid central diphthong	+	+	iə	◌i ◌ə						3	
iə̃	from unrounded close front to nasalized unrounded mid central diphthong	+	+	iə̃	◌i ◌ə ◌̃						1	
iɛ	from unrounded close front to unrounded open-mid front diphthong	+	+	iɛ	◌i ◌ɛ						4	
iɛ̃	from unrounded close front to nasalized unrounded open-mid front diphthong	+	+	iɛ̃	◌i ◌ɛ ◌̃						1	
iɪ	from unrounded close front to unrounded near-close near-front diphthong	+	+	iɪ	◌i ◌ɪ						1	
ĩ	nasalized unrounded close front vowel		+	ĩ	◌i ◌̃						9	
j	voiced palatal approximant consonant		+	j	◌j						49	
k	voiceless velar stop consonant		+	k	◌k						47	
kʰ	aspirated voiceless velar stop consonant		+	kʰ	◌k ◌ʰ						11	
kʲ	palatalized voiceless velar stop consonant		+	kʲ	◌k ◌ʲ						2	
l	voiced alveolar lateral approximant consonant		+	l	◌l						47	
lʲ	palatalized voiced alveolar lateral approximant consonant		+	lʲ	◌l ◌ʲ						1	
l̩	syllabic voiced alveolar lateral approximant consonant		+	l̩	◌l ◌̩						1	
m	voiced bilabial nasal consonant		+	m	◌m						45	
n	voiced alveolar nasal consonant		+	n	◌n						31	
nʲ	palatalized voiced alveolar nasal consonant		+	nʲ	◌n ◌ʲ						1	
o	rounded close-mid back vowel		+	o	◌o						32	
ou	from rounded close-mid back to rounded close back diphthong	+	+	ou	◌o ◌u						10	
õ	nasalized rounded close-mid back vowel		+	õ	◌o ◌̃						7	
p	voiceless bilabial stop consonant		+	p	◌p						15	
pʰ	aspirated voiceless bilabial stop consonant		+	pʰ	◌p ◌ʰ						13	
q	voiceless uvular stop consonant		+	q	◌q						5	
qʰ	aspirated voiceless uvular stop consonant		+	qʰ	◌q ◌ʰ						5	
r	voiced alveolar trill consonant		+	r	◌r						7	
r̩	syllabic voiced alveolar trill consonant		+	r̩	◌r ◌̩						1	
s	voiceless alveolar sibilant fricative consonant		+	s	◌s						40	
sʰ	aspirated voiceless alveolar sibilant fricative consonant	+	+	sʰ	◌s ◌ʰ						1	
t	voiceless alveolar stop consonant		+	t	◌t						25	
ts	voiceless alveolar sibilant affricate consonant		+	ts	◌t ◌s						1	
tsʰ	aspirated voiceless alveolar sibilant affricate consonant		+	tsʰ	◌t ◌s ◌ʰ						35	
tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant		+	tɕʰ	◌t ◌ɕ ◌ʰ						27	
tʃ	voiceless post-alveolar sibilant affricate consonant		+	tʃ	◌t ◌ʃ						3	
tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant		+	tʃʰ	◌t ◌ʃ ◌ʰ						1	
tʰ	aspirated voiceless alveolar stop consonant		+	tʰ	◌t ◌ʰ						32	
u	rounded close back vowel		+	u	◌u						25	
ua	from rounded close back to unrounded open front diphthong	+	+	ua	◌u ◌a						1	
uo	from rounded close back to rounded close-mid back diphthong	+	+	uo	◌u ◌o						3	
uɔ	from rounded close back to rounded open-mid back diphthong	+	+	uɔ	◌u ◌ɔ						1	
uə	from rounded close back to unrounded mid central diphthong	+	+	uə	◌u ◌ə						4	
uə̃	from rounded close back to nasalized unrounded mid central diphthong	+	+	uə̃	◌u ◌ə ◌̃						1	
uɛ	from rounded close back to unrounded open-mid front diphthong	+	+	uɛ	◌u ◌ɛ						1	
uɤ	from rounded close back to unrounded close-mid back diphthong	+	+	uɤ	◌u ◌ɤ						1	
uːə	from long rounded close back to unrounded mid central diphthong	+	+	uːə	◌u ◌ː ◌ə						1	
ũ	nasalized rounded close back vowel		+	ũ	◌u ◌̃						5	
v	voiced labio-dental fricative consonant		+	v	◌v						3	
w	voiced labio-velar approximant consonant		+	w	◌w						17	
x	voiceless velar fricative consonant		+	x	◌x						25	
xʰ	aspirated voiceless velar fricative consonant	+	+	xʰ	◌x ◌ʰ						1	
y	rounded close front vowel		+	y	◌y						36	
ya	from rounded close front to unrounded open front diphthong	+	+	ya	◌y ◌a						1	
ye	from rounded close front to unrounded close-mid front diphthong	+	+	ye	◌y ◌e						5	
yu	from rounded close front to rounded close back diphthong	+	+	yu	◌y ◌u						1	
yɐ	from rounded close front to unrounded near-open central diphthong	+	+	yɐ	◌y ◌ɐ						1	
yɒ	from rounded close front to rounded open back diphthong	+	+	yɒ	◌y ◌ɒ						1	
yə	from rounded close front to unrounded mid central diphthong	+	+	yə	◌y ◌ə						4	
yɛ	from rounded close front to unrounded open-mid front diphthong	+	+	yɛ	◌y ◌ɛ						4	
yɤ	from rounded close front to unrounded close-mid back diphthong	+	+	yɤ	◌y ◌ɤ						1	
yɵ	from rounded close front to rounded close-mid central diphthong	+	+	yɵ	◌y ◌ɵ						1	
yʌ	from rounded close front to unrounded open-mid back diphthong	+	+	yʌ	◌y ◌ʌ						1	
ỹ	nasalized rounded close front vowel		+	ỹ	◌y ◌̃						1	
z	voiced alveolar sibilant fricative consonant		+	z	◌z						15	
²	short from-mid-low tone		+	²	◌²						8	
²²	flat from-mid-low to-mid-low tone		+	²²	◌² ◌²						9	
²³	rising from-mid-low to-mid tone		+	²³	◌² ◌³						3	
²¹	falling from-mid-low to-low tone		+	²¹	◌² ◌¹						26	
²¹²	contour from-mid-low via-low to-mid-low tone		+	²¹²	◌² ◌¹ ◌²						2	
²¹³	contour from-mid-low via-low to-mid tone		+	²¹³	◌² ◌¹ ◌³						10	
