BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	-	<NA>						1	
<NA>	<NA>		+	NA	<NA>						14	
<NA>	<NA>		+	W	<NA>						1	
<NA>	<NA>		+	aɰ	<NA>						2	
<NA>	<NA>		+	creak	<NA>						1	
<NA>	<NA>		+	c͇	<NA>						1	
<NA>	<NA>		+	dr	<NA>						3	
<NA>	<NA>		+	dy	<NA>						1	
<NA>	<NA>		+	dʝ	<NA>						1	
<NA>	<NA>		+	h1	<NA>						1	
<NA>	<NA>		+	h2	<NA>						1	
<NA>	<NA>		+	h3	<NA>						1	
<NA>	<NA>		+	hy	<NA>						1	
<NA>	<NA>		+	khr	<NA>						1	
<NA>	<NA>		+	kr	<NA>						1	
<NA>	<NA>		+	ky	<NA>						1	
<NA>	<NA>		+	ly	<NA>						1	
<NA>	<NA>		+	lɻ	<NA>						1	
<NA>	<NA>		+	ndr	<NA>						1	
<NA>	<NA>		+	pr	<NA>						1	
<NA>	<NA>		+	rd	<NA>						1	
<NA>	<NA>		+	rdy	<NA>						1	
<NA>	<NA>		+	re	<NA>						1	
<NA>	<NA>		+	ri	<NA>						1	
<NA>	<NA>		+	riu	<NA>						1	
<NA>	<NA>		+	ro	<NA>						1	
<NA>	<NA>		+	ru	<NA>						1	
<NA>	<NA>		+	ræ	<NA>						1	
<NA>	<NA>		+	rɑ	<NA>						1	
<NA>	<NA>		+	rɡ	<NA>						1	
<NA>	<NA>		+	t2	<NA>						1	
<NA>	<NA>		+	tr	<NA>						1	
<NA>	<NA>		+	ty	<NA>						1	
<NA>	<NA>		+	tç	<NA>						1	
<NA>	<NA>		+	t​ʰ​	<NA>						1	
<NA>	<NA>		+	wE	<NA>						1	
<NA>	<NA>		+	waj	<NA>						1	
<NA>	<NA>		+	waːj	<NA>						1	
<NA>	<NA>		+	wo	<NA>						1	
<NA>	<NA>		+	wæ	<NA>						1	
<NA>	<NA>		+	wõ	<NA>						1	
<NA>	<NA>		+	wɑ	<NA>						1	
<NA>	<NA>		+	wəj	<NA>						1	
<NA>	<NA>		+	ħh	<NA>						1	
<NA>	<NA>		+	ř	<NA>						1	
<NA>	<NA>		+	ǁʼ	<NA>						1	
<NA>	<NA>		+	ǂ͇	<NA>						1	
<NA>	<NA>		+	ɟʑ	<NA>						1	
<NA>	<NA>		+	ɤɰ	<NA>						2	
k	voiceless velar stop consonant		+	K	◌k						1	
l	voiced alveolar lateral approximant consonant		+	L	◌l						3	
n	voiced alveolar nasal consonant		+	N	◌n						1	
r	voiced alveolar trill consonant		+	R	◌r						4	
a	unrounded open front vowel		+	a	◌a						178	
ae	from unrounded open front to unrounded close-mid front diphthong	+	+	ae	◌a ◌e						1	
ai	from unrounded open front to unrounded close front diphthong	+	+	ai	◌a ◌i						10	
ai̯	from unrounded open front to non-syllabic unrounded close front diphthong	+	+	aj	◌a ◌i ◌̯						2	
au	from unrounded open front to rounded close back diphthong	+	+	au	◌a ◌u						7	
au̯	from unrounded open front to non-syllabic rounded close back diphthong	+	+	aw	◌a ◌u ◌̯						2	
aɯ	from unrounded open front to unrounded close back diphthong	+	+	aɯ	◌a ◌ɯ						1	
aː	long unrounded open front vowel		+	aː	◌a ◌ː						83	
aːi	from long unrounded open front to unrounded close front diphthong	+	+	aːi	◌a ◌ː ◌i						1	
aːi̯	from long unrounded open front to non-syllabic unrounded close front diphthong	+	+	aːj	◌a ◌ː ◌i ◌̯						1	
aːu	from long unrounded open front to rounded close back diphthong	+	+	aːu	◌a ◌ː ◌u						1	
aːu̯	from long unrounded open front to non-syllabic rounded close back diphthong	+	+	aːw	◌a ◌ː ◌u ◌̯						1	
aˑ	mid-long unrounded open front vowel		+	aˑ	◌a ◌ˑ						2	
ã	nasalized unrounded open front vowel		+	ã	◌a ◌̃						9	
ãː	long nasalized unrounded open front vowel		+	ãː	◌a ◌̃ ◌ː						2	
ã̘	advanced-tongue-root nasalized unrounded open front vowel	+	+	ã̘	◌a ◌̘ ◌̃						1	
a̘	advanced-tongue-root unrounded open front vowel	+	+	a̘	◌a ◌̘						3	
a̟	advanced unrounded open front vowel		+	a̟	◌a ◌̟						9	
a̟ː	long advanced unrounded open front vowel		+	a̟ː	◌a ◌̟ ◌ː						2	
a̤	breathy unrounded open front vowel	+	+	a̤	◌a ◌̤						1	
ḁ	devoiced unrounded open front vowel		+	ḁ	◌a ◌̥						1	
a̰	creaky unrounded open front vowel		+	a̰	◌a ◌̰						1	
a̰ː	long creaky unrounded open front vowel	+	+	a̰ː	◌a ◌̰ ◌ː						1	
b	voiced bilabial stop consonant		+	b	◌b						142	
bʰ	aspirated voiced bilabial stop consonant		+	bʰ	◌b ◌ʰ						3	
bʲ	palatalized voiced bilabial stop consonant		+	bʲ	◌b ◌ʲ						1	
bʷ	labialized voiced bilabial stop consonant		+	bʷ	◌b ◌ʷ						1	
bː	long voiced bilabial stop consonant		+	bː	◌b ◌ː						6	
bʱʰ	aspirated breathy voiced bilabial stop consonant	+	+	b̤ʰ	◌b ◌ʱ ◌ʰ						1	
b̥	devoiced voiced bilabial stop consonant		+	b̥	◌b ◌̥						1	
c	voiceless palatal stop consonant		+	c	◌c						65	
cç	voiceless palatal affricate consonant		+	cç	◌c ◌c ◌̧						2	
cçʰ	aspirated voiceless palatal affricate consonant		+	cçʰ	◌c ◌c ◌̧ ◌ʰ						1	
cçʼ	voiceless palatal ejective affricate consonant	+	+	cçʼ	◌c ◌c ◌̧ ◌ʼ						1	
tɕ	voiceless alveolo-palatal sibilant affricate consonant		+	cɕ	◌t ◌ɕ						1	
cʰ	aspirated voiceless palatal stop consonant		+	cʰ	◌c ◌ʰ						8	
cʼ	voiceless palatal ejective stop consonant		+	cʼ	◌c ◌ʼ						11	
cˀ	glottalized voiceless palatal stop consonant	+	+	cˀ	◌c ◌ˀ						4	
cː	long voiceless palatal stop consonant		+	cː	◌c ◌ː						1	
c̟	advanced voiceless palatal stop consonant	+	+	c̟	◌c ◌̟						1	
c̟ʰ	advanced aspirated voiceless palatal stop consonant	+	+	c̟ʰ	◌c ◌̟ ◌ʰ						1	
c̟ʼ	advanced voiceless palatal ejective stop consonant	+	+	c̟ʼ	◌c ◌̟ ◌ʼ						1	
cç	voiceless palatal affricate consonant		+	c͡ç	◌c ◌c ◌̧						1	
cʼ	voiceless palatal ejective stop consonant		+	c’	◌c ◌ʼ						1	
d	voiced alveolar stop consonant		+	d	◌d						142	
dz	voiced alveolar sibilant affricate consonant		+	dz	◌d ◌z						26	
dzʲ	palatalized voiced alveolar sibilant affricate consonant	+	+	dzʲ	◌d ◌z ◌ʲ						1	
dz̪	voiced dental sibilant affricate consonant		+	dz̪	◌d ◌z ◌̪						2	
dɮ	voiced alveolar lateral affricate consonant		+	dɮ	◌d ◌ɮ						3	
ɖʐ	voiced retroflex sibilant affricate consonant		+	dʐ	◌ɖ ◌ʐ						1	
dʑ	voiced alveolo-palatal sibilant affricate consonant		+	dʑ	◌d ◌ʑ						3	
dʒ	voiced post-alveolar sibilant affricate consonant		+	dʓ	◌d ◌ʒ						6	
dʒʱ	breathy voiced post-alveolar sibilant affricate consonant		+	dʓʱ	◌d ◌ʒ ◌ʱ						1	
dʰ	aspirated voiced alveolar stop consonant		+	dʰ	◌d ◌ʰ						4	
dʲ	palatalized voiced alveolar stop consonant		+	dʲ	◌d ◌ʲ						4	
dʼ	voiced alveolar ejective stop consonant	+	+	dʼ	◌d ◌ʼ						1	
dː	long voiced alveolar stop consonant		+	dː	◌d ◌ː						5	
dˤ	pharyngealized voiced alveolar stop consonant		+	dˤ	◌d ◌ˤ						1	
dʒ	voiced post-alveolar sibilant affricate consonant		+	d̠ʒ	◌d ◌ʒ						13	
dʒʷ	labialized voiced post-alveolar sibilant affricate consonant		+	d̠ʒʷ	◌d ◌ʒ ◌ʷ						1	
d̠ʲ	palatalized voiced post-alveolar stop consonant	+	+	d̠ʲ	◌d ◌̠ ◌ʲ						1	
dʱʰ	aspirated breathy voiced alveolar stop consonant	+	+	d̤ʰ	◌d ◌ʱ ◌ʰ						1	
d̥	devoiced voiced alveolar stop consonant		+	d̥	◌d ◌̥						1	
d̪	voiced dental stop consonant		+	d̪	◌d ◌̪						3	
dð	voiced dental affricate consonant		+	d̪ð̪	◌d ◌ð						1	
d̪ː	long voiced dental stop consonant		+	d̪ː	◌d ◌̪ ◌ː						1	
d̪ˤ	pharyngealized voiced dental stop consonant		+	d̪ˤ	◌d ◌̪ ◌ˤ						1	
