BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
a	unrounded open front vowel		+	a	◌a						157	
ai	from unrounded open front to unrounded close front diphthong	+	+	ai	◌a ◌i						27	
au	from unrounded open front to rounded close back diphthong	+	+	au	◌a ◌u						24	
ã	nasalized unrounded open front vowel		+	ã	◌a ◌̃						11	
ãĩ	from nasalized unrounded open front to nasalized unrounded close front diphthong	+	+	ãĩ	◌a ◌̃ ◌i ◌̃						6	
ãũ	from nasalized unrounded open front to nasalized rounded close back diphthong	+	+	ãũ	◌a ◌̃ ◌u ◌̃						5	
b	voiced bilabial stop consonant		+	b	◌b						4	
d	voiced alveolar stop consonant		+	d	◌d						2	
dz	voiced alveolar sibilant affricate consonant		+	dz	◌d ◌z						1	
dʑ	voiced alveolo-palatal sibilant affricate consonant		+	dʑ	◌d ◌ʑ						2	
e	unrounded close-mid front vowel		+	e	◌e						39	
ei	from unrounded close-mid front to unrounded close front diphthong	+	+	ei	◌e ◌i						20	
eu	from unrounded close-mid front to rounded close back diphthong	+	+	eu	◌e ◌u						1	
ẽ	nasalized unrounded close-mid front vowel		+	ẽ	◌e ◌̃						15	
e̞	unrounded mid front vowel		+	ᴇ	◌e ◌̞						7	
f	voiceless labio-dental fricative consonant		+	f	◌f						15	
g	voiced velar stop consonant		+	g	◌g						4	
h	voiceless glottal fricative consonant		+	h	◌h						8	
i	unrounded close front vowel		+	i	◌i						236	
ĩ	nasalized unrounded close front vowel		+	ĩ	◌i ◌̃						21	
j	voiced palatal approximant consonant		+	j	◌j						3	
k	voiceless velar stop consonant		+	k	◌k						63	
kʰ	aspirated voiceless velar stop consonant		+	k’	◌k ◌ʰ						1	
kʷ	labialized voiceless velar stop consonant		+	kw	◌k ◌ʷ						2	
kʷʰ	labialized aspirated voiceless velar stop consonant		+	k’w	◌k ◌ʷ ◌ʰ						2	
l	voiced alveolar lateral approximant consonant		+	l	◌l						16	
l̩	syllabic voiced alveolar lateral approximant consonant		+	l̩	◌l ◌̩						1	
m	voiced bilabial nasal consonant		+	m	◌m						37	
m̩	syllabic voiced bilabial nasal consonant		+	m̩	◌m ◌̩						9	
n	voiced alveolar nasal consonant		+	n	◌n						98	
n̩	syllabic voiced alveolar nasal consonant		+	n̩	◌n ◌̩						6	
o	rounded close-mid back vowel		+	o	◌o						55	
oi	from rounded close-mid back to unrounded close front diphthong	+	+	oi	◌o ◌i						3	
ou	from rounded close-mid back to rounded close back diphthong	+	+	ou	◌o ◌u						13	
