BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	ã							
<NA>	<NA>		+	ẽ							
<NA>	<NA>		+	ĩ							
<NA>	<NA>		+	õ							
<NA>	<NA>		+	ũ							
<NA>	<NA>		+	ɚ							
a	unrounded open front vowel		+	a							
b	voiced bilabial stop consonant		+	b							
d	voiced alveolar stop consonant		+	d							
dz	voiced alveolar sibilant affricate consonant		+	dz							
dʑ	voiced alveolo-palatal sibilant affricate consonant		+	dʑ							
e	unrounded close-mid front vowel		+	e							
e̞	unrounded mid front vowel		+	ᴇ							
f	voiceless labio-dental fricative consonant		+	f							
g	voiced velar stop consonant		+	g							
h	voiceless glottal fricative consonant		+	h							
i	unrounded close front vowel		+	i							
j	voiced palatal approximant consonant		+	j							
k	voiceless velar stop consonant		+	k							
kʰ	aspirated voiceless velar stop consonant		+	kʼ							
kʷ	labialized voiceless velar stop consonant		+	kw							
kʷʰ	labialized aspirated voiceless velar stop consonant		+	kʼw							
l	voiced alveolar lateral approximant consonant		+	l							
l̩	syllabic voiced alveolar lateral approximant consonant		+	l̩							
m	voiced bilabial nasal consonant		+	m							
m̩	syllabic voiced bilabial nasal consonant		+	m̩							
n	voiced alveolar nasal consonant		+	n							
n̩	syllabic voiced alveolar nasal consonant		+	n̩							
o	rounded close-mid back vowel		+	o							
p	voiceless bilabial stop consonant		+	p							
pf	voiceless labio-dental affricate consonant		+	pf							
pfʰ	aspirated voiceless labio-dental affricate consonant		+	pf’							
pʰ	aspirated voiceless bilabial stop consonant		+	pʼ							
pʰ	aspirated voiceless bilabial stop consonant		+	p’							
s	voiceless alveolar sibilant fricative consonant		+	s							
t	voiceless alveolar stop consonant		+	t							
ts	voiceless alveolar sibilant affricate consonant		+	ts							
tsʰ	aspirated voiceless alveolar sibilant affricate consonant		+	ts’							
tɕ	voiceless alveolo-palatal sibilant affricate consonant		+	tɕ							
tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant		+	tɕ’							
tʃ	voiceless post-alveolar sibilant affricate consonant		+	tʃ							
tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant		+	tʃʼ							
tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant		+	tʃ’							
tʰ	aspirated voiceless alveolar stop consonant		+	tʼ							
tʰ	aspirated voiceless alveolar stop consonant		+	t’							
u	rounded close back vowel		+	u							
v	voiced labio-dental fricative consonant		+	v							
w	voiced labio-velar approximant consonant		+	w							
x	voiceless velar fricative consonant		+	x							
y	rounded close front vowel		+	y							
z	voiced alveolar sibilant fricative consonant		+	z							
²	short from-mid-low tone		+	²							
²²	flat from-mid-low to-mid-low tone		+	²²							
²³	rising from-mid-low to-mid tone		+	²³							
²¹	falling from-mid-low to-low tone		+	²¹							
²¹²	contour from-mid-low via-low to-mid-low tone		+	²¹²							
²¹³	contour from-mid-low via-low to-mid tone		+	²¹³							
²¹⁴	contour from-mid-low via-low to-mid-high tone		+	²¹⁴							
