BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
b	voiced bilabial stop consonant		+	b	◌b			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:0,rou:0,ten:0,voi:1,con:0,nas:0,str:0				
ts	voiceless alveolar sibilant affricate consonant		+	c	◌t ◌s			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:0,con:0,nas:0,str:1				
d	voiced alveolar stop consonant		+	d	◌d			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:1,con:0,nas:0,str:0				
e	unrounded close-mid front vowel		+	e	◌e			voc:1,con:0,hig:0,bac:0,low:0,ant:0,cor:0,rou:0,ten:0,voi:0,con:0,nas:0,str:0				
f	voiceless labio-dental fricative consonant		+	f	◌f			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:0,rou:0,ten:0,voi:0,con:1,nas:0,str:1				
g	voiced velar stop consonant		+	g	◌g			voc:0,con:1,hig:1,bac:1,low:0,ant:0,cor:0,rou:0,ten:0,voi:1,con:0,nas:0,str:0				
gʷ	labialized voiced velar stop consonant		+	gʷ	◌g ◌ʷ			voc:0,con:1,hig:1,bac:1,low:0,ant:0,cor:0,rou:1,ten:0,voi:1,con:0,nas:0,str:0				
h	voiceless glottal fricative consonant		+	h	◌h			voc:0,con:0,hig:0,bac:0,low:1,ant:0,cor:0,rou:0,ten:0,voi:0,con:1,nas:0,str:0				
i	unrounded close front vowel		+	i	◌i			voc:1,con:0,hig:1,bac:0,low:0,ant:0,cor:0,rou:0,ten:0,voi:0,con:0,nas:0,str:0				
j	voiced palatal approximant consonant		+	j	◌j			voc:0,con:0,hig:1,bac:0,low:0,ant:0,cor:0,rou:0,ten:0,voi:0,con:0,nas:0,str:0				
k	voiceless velar stop consonant		+	k	◌k			voc:0,con:1,hig:1,bac:1,low:0,ant:0,cor:0,rou:0,ten:0,voi:0,con:0,nas:0,str:0				
kʷ	labialized voiceless velar stop consonant		+	kʷ	◌k ◌ʷ			voc:0,con:1,hig:1,bac:1,low:0,ant:0,cor:0,rou:1,ten:0,voi:0,con:0,nas:0,str:0				
l	voiced alveolar lateral approximant consonant		+	l	◌l			voc:1,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:1,con:1,nas:0,str:0				
m	voiced bilabial nasal consonant		+	m	◌m			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:0,rou:0,ten:0,voi:1,con:0,nas:1,str:0				
n	voiced alveolar nasal consonant		+	n	◌n			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:1,con:0,nas:1,str:0				
o	rounded close-mid back vowel		+	o	◌o			voc:1,con:0,hig:0,bac:1,low:0,ant:0,cor:0,rou:1,ten:0,voi:0,con:0,nas:0,str:0				
p	voiceless bilabial stop consonant		+	p	◌p			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:0,rou:0,ten:0,voi:0,con:0,nas:0,str:0				
r	voiced alveolar trill consonant		+	r	◌r			voc:1,con:1,hig:0,bac:0,low:0,ant:0,cor:1,rou:0,ten:0,voi:1,con:1,nas:0,str:0				
s	voiceless alveolar sibilant fricative consonant		+	s	◌s			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:0,con:1,nas:0,str:1				
u	rounded close back vowel		+	u	◌u			voc:1,con:0,hig:1,bac:1,low:0,ant:0,cor:0,rou:1,ten:0,voi:0,con:0,nas:0,str:0				
v	voiced labio-dental fricative consonant		+	v	◌v			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:0,rou:0,ten:0,voi:1,con:1,nas:0,str:1				
w	voiced labio-velar approximant consonant		+	w	◌w			voc:0,con:0,hig:1,bac:1,low:0,ant:0,cor:0,rou:1,ten:0,voi:0,con:0,nas:0,str:0				
x	voiceless velar fricative consonant		+	x	◌x			voc:0,con:1,hig:1,bac:1,low:0,ant:0,cor:0,rou:0,ten:0,voi:0,con:1,nas:0,str:0				
xʷ	labialized voiceless velar fricative consonant		+	xʷ	◌x ◌ʷ			voc:0,con:1,hig:1,bac:1,low:0,ant:0,cor:0,rou:1,ten:0,voi:0,con:1,nas:0,str:0				
t	voiceless alveolar stop consonant		+	y	◌t			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:0,con:0,nas:0,str:0				
z	voiced alveolar sibilant fricative consonant		+	z	◌z			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:1,con:1,nas:0,str:1				
æ	unrounded near-open front vowel		+	æ	◌æ			voc:1,con:0,hig:0,bac:0,low:1,ant:0,cor:0,rou:0,ten:1,voi:0,con:0,nas:0,str:0				
ð	voiced dental fricative consonant		+	ð	◌ð			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:1,con:1,nas:0,str:0				
aː	long unrounded open front vowel		+	ā	◌a ◌ː			voc:1,con:0,hig:0,bac:1,low:1,ant:0,cor:0,rou:0,ten:1,voi:0,con:0,nas:0,str:0				
tʃ	voiceless post-alveolar sibilant affricate consonant		+	č	◌t ◌ʃ			voc:0,con:1,hig:1,bac:0,low:0,ant:0,cor:1,rou:0,ten:0,voi:0,con:0,nas:0,str:1				
eː	long unrounded close-mid front vowel		+	ē	◌e ◌ː			voc:1,con:0,hig:0,bac:0,low:0,ant:0,cor:0,rou:0,ten:1,voi:0,con:0,nas:0,str:0				
iː	long unrounded close front vowel		+	ī	◌i ◌ː			voc:1,con:0,hig:1,bac:0,low:0,ant:0,cor:0,rou:0,ten:1,voi:0,con:0,nas:0,str:0				
ŋ	voiced velar nasal consonant		+	ŋ	◌ŋ			voc:0,con:1,hig:1,bac:1,low:0,ant:0,cor:0,rou:0,ten:0,voi:1,con:0,nas:1,str:0				
oː	long rounded close-mid back vowel		+	ō	◌o ◌ː			voc:1,con:0,hig:0,bac:1,low:0,ant:0,cor:0,rou:1,ten:1,voi:0,con:0,nas:0,str:0				
œː	long rounded open-mid front vowel		+	œ̄	◌œ ◌ː			voc:1,con:0,hig:0,bac:0,low:1,ant:0,cor:0,rou:1,ten:1,voi:0,con:0,nas:0,str:0				
ʃ	voiceless post-alveolar sibilant fricative consonant		+	š	◌ʃ			voc:0,con:1,hig:1,bac:0,low:0,ant:0,cor:1,rou:0,ten:0,voi:0,con:1,nas:0,str:1				
uː	long rounded close back vowel		+	ū	◌u ◌ː			voc:1,con:0,hig:1,bac:1,low:0,ant:0,cor:0,rou:1,ten:1,voi:0,con:0,nas:0,str:0				
ʒ	voiced post-alveolar sibilant fricative consonant		+	ž	◌ʒ			voc:0,con:1,hig:1,bac:0,low:0,ant:0,cor:1,rou:0,ten:0,voi:1,con:1,nas:0,str:1				
dʒ	voiced post-alveolar sibilant affricate consonant		+	ǰ	◌d ◌ʒ			voc:0,con:1,hig:1,bac:0,low:0,ant:0,cor:1,rou:0,ten:0,voi:1,con:0,nas:0,str:1				
ɔ	rounded open-mid back vowel		+	ɔ	◌ɔ			voc:1,con:0,hig:0,bac:1,low:1,ant:0,cor:0,rou:1,ten:0,voi:0,con:0,nas:0,str:0				
ɔː	long rounded open-mid back vowel		+	ɔ̄	◌ɔ ◌ː			voc:1,con:0,hig:0,bac:1,low:1,ant:0,cor:0,rou:1,ten:1,voi:0,con:0,nas:0,str:0				
ɛ	unrounded open-mid front vowel		+	ɛ	◌ɛ			voc:0,con:0,hig:0,bac:0,low:0,ant:0,cor:0,rou:0,ten:0,voi:0,con:0,nas:0,str:0				
ɨː	long unrounded close central vowel		+	ɨ̄	◌ɨ ◌ː			voc:1,con:0,hig:1,bac:1,low:0,ant:0,cor:0,rou:0,ten:1,voi:0,con:0,nas:0,str:0				
ʌ	unrounded open-mid back vowel		+	ʌ	◌ʌ			voc:1,con:0,hig:0,bac:1,low:0,ant:0,cor:0,rou:0,ten:0,voi:0,con:0,nas:0,str:0				
θ	voiceless dental fricative consonant		+	θ	◌θ			voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:0,con:1,nas:0,str:0				
