BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	#	<NA>	https://chridd.nfshost.com/diachronica/search?q=%23						
<NA>	<NA>		+	#_	<NA>	https://chridd.nfshost.com/diachronica/search?q=%23_						
<NA>	<NA>		+	$	<NA>	https://chridd.nfshost.com/diachronica/search?q=%24						
<NA>	<NA>		+	%	<NA>	https://chridd.nfshost.com/diachronica/search?q=%25						
<NA>	<NA>		+	&	<NA>	https://chridd.nfshost.com/diachronica/search?q=%26						
<NA>	<NA>		+	:	<NA>	https://chridd.nfshost.com/diachronica/search?q=%3a						
<NA>	<NA>		+	@	<NA>	https://chridd.nfshost.com/diachronica/search?q=%40						
<NA>	<NA>		+	A	<NA>	https://chridd.nfshost.com/diachronica/search?q=A						
<NA>	<NA>		+	B	<NA>	https://chridd.nfshost.com/diachronica/search?q=B						
<NA>	<NA>		+	C	<NA>	https://chridd.nfshost.com/diachronica/search?q=C						
<NA>	<NA>		+	D	<NA>	https://chridd.nfshost.com/diachronica/search?q=D						
<NA>	<NA>		+	E	<NA>	https://chridd.nfshost.com/diachronica/search?q=E						
<NA>	<NA>		+	F	<NA>	https://chridd.nfshost.com/diachronica/search?q=F						
<NA>	<NA>		+	G	<NA>	https://chridd.nfshost.com/diachronica/search?q=G						
<NA>	<NA>		+	H	<NA>	https://chridd.nfshost.com/diachronica/search?q=H						
<NA>	<NA>		+	I	<NA>	https://chridd.nfshost.com/diachronica/search?q=I						
<NA>	<NA>		+	J	<NA>	https://chridd.nfshost.com/diachronica/search?q=J						
<NA>	<NA>		+	K	<NA>	https://chridd.nfshost.com/diachronica/search?q=K						
<NA>	<NA>		+	L	<NA>	https://chridd.nfshost.com/diachronica/search?q=L						
<NA>	<NA>		+	M	<NA>	https://chridd.nfshost.com/diachronica/search?q=M						
<NA>	<NA>		+	N	<NA>	https://chridd.nfshost.com/diachronica/search?q=N						
<NA>	<NA>		+	O	<NA>	https://chridd.nfshost.com/diachronica/search?q=O						
<NA>	<NA>		+	P	<NA>	https://chridd.nfshost.com/diachronica/search?q=P						
<NA>	<NA>		+	Q	<NA>	https://chridd.nfshost.com/diachronica/search?q=Q						
<NA>	<NA>		+	R	<NA>	https://chridd.nfshost.com/diachronica/search?q=R						
<NA>	<NA>		+	S	<NA>	https://chridd.nfshost.com/diachronica/search?q=S						
<NA>	<NA>		+	T	<NA>	https://chridd.nfshost.com/diachronica/search?q=T						
<NA>	<NA>		+	U	<NA>	https://chridd.nfshost.com/diachronica/search?q=U						
<NA>	<NA>		+	V	<NA>	https://chridd.nfshost.com/diachronica/search?q=V						
<NA>	<NA>		+	W	<NA>	https://chridd.nfshost.com/diachronica/search?q=W						
<NA>	<NA>		+	X	<NA>	https://chridd.nfshost.com/diachronica/search?q=X						
<NA>	<NA>		+	Y	<NA>	https://chridd.nfshost.com/diachronica/search?q=Y						
<NA>	<NA>		+	Z	<NA>	https://chridd.nfshost.com/diachronica/search?q=Z						
<NA>	<NA>		+	_#	<NA>	https://chridd.nfshost.com/diachronica/search?q=_%23						
<NA>	<NA>		+	n̲	<NA>	https://chridd.nfshost.com/diachronica/search?q=n%cc%b2						
<NA>	<NA>		+	n̲ː	<NA>	https://chridd.nfshost.com/diachronica/search?q=n%cc%b2%cb%90						
<NA>	<NA>		+	r̀	<NA>	https://chridd.nfshost.com/diachronica/search?q=r%cc%80						
<NA>	<NA>		+	ŕ	<NA>	https://chridd.nfshost.com/diachronica/search?q=r%cc%81						
<NA>	<NA>		+	r̲	<NA>	https://chridd.nfshost.com/diachronica/search?q=r%cc%b2						
<NA>	<NA>		+	ś	<NA>	https://chridd.nfshost.com/diachronica/search?q=s%cc%81						
<NA>	<NA>		+	ɡ̌	<NA>	https://chridd.nfshost.com/diachronica/search?q=%c9%a1%cc%8c						
<NA>	<NA>		+	ʰ	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%b0						
<NA>	<NA>		+	ʱ	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%b1						
<NA>	<NA>		+	ʲ	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%b2						
<NA>	<NA>		+	ʷ	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%b7						
<NA>	<NA>		+	ʼ	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%bc						
<NA>	<NA>		+	ʼd	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%bcd						
<NA>	<NA>		+	ʼk	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%bck						
<NA>	<NA>		+	ʼm	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%bcm						
<NA>	<NA>		+	ʼn	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%bcn						
<NA>	<NA>		+	ʼp	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%bcp						
<NA>	<NA>		+	ʼt	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%bct						
<NA>	<NA>		+	ʼɟ	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%bc%c9%9f						
<NA>	<NA>		+	ʼɲ	<NA>	https://chridd.nfshost.com/diachronica/search?q=%ca%bc%c9%b2						
<NA>	<NA>		+	ˀ	<NA>	https://chridd.nfshost.com/diachronica/search?q=%cb%80						
<NA>	<NA>		+	ː	<NA>	https://chridd.nfshost.com/diachronica/search?q=%cb%90						
<NA>	<NA>		+	ˑ	<NA>	https://chridd.nfshost.com/diachronica/search?q=%cb%91						
<NA>	<NA>		+	ˤ	<NA>	https://chridd.nfshost.com/diachronica/search?q=%cb%a4						
