BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ŋǁʼ	voiced alveolar ejective lateral nasal-click consonant	+	+	ŋ̥ǁ’	◌ŋ ◌ǁ ◌ʼ							
<NA>	<NA>		+		<NA>							
<NA>	<NA>		+	and	<NA>							
<NA>	<NA>		+	contexts	<NA>							
<NA>	<NA>		+	in	<NA>							
<NA>	<NA>		+	many	<NA>							
<NA>	<NA>		+	more	<NA>							
<NA>	<NA>		+	morphophonological	<NA>							
<NA>	<NA>		+	others	<NA>							
<NA>	<NA>		+	perhaps	<NA>							
<NA>	<NA>		+	uau	<NA>							
<NA>	<NA>		+	ː	<NA>							
a	unrounded open front vowel		+	a	◌a							
ae	from unrounded open front to unrounded close-mid front diphthong	+	+	ae	◌a ◌e							
ai	from unrounded open front to unrounded close front diphthong	+	+	ai	◌a ◌i							
ai̯	from unrounded open front to non-syllabic unrounded close front diphthong	+	+	aj	◌a ◌i ◌̯							
ao	from unrounded open front to rounded close-mid back diphthong	+	+	ao	◌a ◌o							
au	from unrounded open front to rounded close back diphthong	+	+	au	◌a ◌u							
au̯	from unrounded open front to non-syllabic rounded close back diphthong	+	+	aw	◌a ◌u ◌̯							
aɔ	from unrounded open front to rounded open-mid back diphthong	+	+	aɔ	◌a ◌ɔ							
aɛ	from unrounded open front to unrounded open-mid front diphthong	+	+	aɛ	◌a ◌ɛ							
aɨ	from unrounded open front to unrounded close central diphthong	+	+	aɨ	◌a ◌ɨ							
aɪ	from unrounded open front to unrounded near-close near-front diphthong	+	+	aɪ	◌a ◌ɪ							
aɯ	from unrounded open front to unrounded close back diphthong	+	+	aɯ	◌a ◌ɯ							
aʉ	from unrounded open front to rounded close central diphthong	+	+	aʉ	◌a ◌ʉ							
aː	long unrounded open front vowel		+	aa	◌a ◌ː							
aː	long unrounded open front vowel		+	aː	◌a ◌ː							
aːa	from long unrounded open front to unrounded open front diphthong	+	+	aːa	◌a ◌ː ◌a							
aːi̯	from long unrounded open front to non-syllabic unrounded close front diphthong	+	+	aːj	◌a ◌ː ◌i ◌̯							
aːu̯	from long unrounded open front to non-syllabic rounded close back diphthong	+	+	aːw	◌a ◌ː ◌u ◌̯							
ã	nasalized unrounded open front vowel		+	ã	◌a ◌̃							
ãĩ	from nasalized unrounded open front to nasalized unrounded close front diphthong	+	+	ãĩ	◌a ◌̃ ◌i ◌̃							
ãũ	from nasalized unrounded open front to nasalized rounded close back diphthong	+	+	ãũ	◌a ◌̃ ◌u ◌̃							
ãː	long nasalized unrounded open front vowel		+	ãː	◌a ◌̃ ◌ː							
ḁ	devoiced unrounded open front vowel		+	ḁ	◌a ◌̥							
a̰	creaky unrounded open front vowel		+	a̰	◌a ◌̰							
a̰ḭ	from creaky unrounded open front to creaky unrounded close front diphthong	+	+	a̰ḭ	◌a ◌̰ ◌i ◌̰							
a̰ṵ	from creaky unrounded open front to creaky rounded close back diphthong	+	+	a̰ṵ	◌a ◌̰ ◌u ◌̰							
ã̰	nasalized creaky unrounded open front vowel	+	+	ã̰	◌a ◌̰ ◌̃							
ã̰ḭ̃	from nasalized creaky unrounded open front to nasalized creaky unrounded close front diphthong	+	+	ã̰ḭ̃	◌a ◌̰ ◌̃ ◌i ◌̰ ◌̃							
ã̰ṵ	from nasalized creaky unrounded open front to creaky rounded close back diphthong	+	+	ã̰ṵ	◌a ◌̰ ◌̃ ◌u ◌̰							
b	voiced bilabial stop consonant		+	b	◌b							
bʰ	aspirated voiced bilabial stop consonant		+	bʰ	◌b ◌ʰ							
bʲ	palatalized voiced bilabial stop consonant		+	bʲ	◌b ◌ʲ							
bː	long voiced bilabial stop consonant		+	bː	◌b ◌ː							
c	voiceless palatal stop consonant		+	c	◌c							
cʰ	aspirated voiceless palatal stop consonant		+	cʰ	◌c ◌ʰ							
ç	voiceless palatal sibilant fricative consonant		+	ç	◌c ◌̧							
cⁿ	with-nasal-release voiceless palatal stop consonant	+	+	c\textsuperscript{ɲ}	◌c ◌ⁿ							
d	voiced alveolar stop consonant		+	d	◌d							
dz	voiced alveolar sibilant affricate consonant		+	d͡z	◌d ◌z							
dzʰ	aspirated voiced alveolar sibilant affricate consonant	+	+	d͡zʰ	◌d ◌z ◌ʰ							
dz̪	voiced dental sibilant affricate consonant		+	d̪͡z̪	◌d ◌z ◌̪							
dʑ	voiced alveolo-palatal sibilant affricate consonant		+	d͡ʑ	◌d ◌ʑ							
dʑʰ	aspirated voiced alveolo-palatal sibilant affricate consonant	+	+	d͡ʑʰ	◌d ◌ʑ ◌ʰ							
dʒ	voiced post-alveolar sibilant affricate consonant		+	d͡ʒ	◌d ◌ʒ							
dʒː	long voiced post-alveolar sibilant affricate consonant		+	d͡ʒː	◌d ◌ʒ ◌ː							
dʲ	palatalized voiced alveolar stop consonant		+	dʲ	◌d ◌ʲ							
dʷ	labialized voiced alveolar stop consonant	+	+	dʷ	◌d ◌ʷ							
dː	long voiced alveolar stop consonant		+	dː	◌d ◌ː							
dˤ	pharyngealized voiced alveolar stop consonant		+	dˤ	◌d ◌ˤ							
dˤː	pharyngealized long voiced alveolar stop consonant	+	+	dˤː	◌d ◌ˤ ◌ː							
d̪	voiced dental stop consonant		+	d̪	◌d ◌̪							
d̪ʰ	aspirated voiced dental stop consonant	+	+	d̪ʰ	◌d ◌̪ ◌ʰ							
e	unrounded close-mid front vowel		+	e	◌e							
ea	from unrounded close-mid front to unrounded open front diphthong	+	+	ea	◌e ◌a							
ei	from unrounded close-mid front to unrounded close front diphthong	+	+	ei	◌e ◌i							
ei̯	from unrounded close-mid front to non-syllabic unrounded close front diphthong	+	+	ej	◌e ◌i ◌̯							
eo	from unrounded close-mid front to rounded close-mid back diphthong	+	+	eo	◌e ◌o							
eu	from unrounded close-mid front to rounded close back diphthong	+	+	eu	◌e ◌u							
eɪ	from unrounded close-mid front to unrounded near-close near-front diphthong	+	+	eɪ	◌e ◌ɪ							
eʊ	from unrounded close-mid front to rounded near-close near-back diphthong	+	+	eʊ	◌e ◌ʊ							
eː	long unrounded close-mid front vowel		+	ee	◌e ◌ː							
eː	long unrounded close-mid front vowel		+	eː	◌e ◌ː							
ẽ	nasalized unrounded close-mid front vowel		+	ẽ	◌e ◌̃							
ẽĩ	from nasalized unrounded close-mid front to nasalized unrounded close front diphthong	+	+	ẽĩ	◌e ◌̃ ◌i ◌̃							
ẽũ	from nasalized unrounded close-mid front to nasalized rounded close back diphthong	+	+	ẽũ	◌e ◌̃ ◌u ◌̃							
ẽː	long nasalized unrounded close-mid front vowel		+	ẽː	◌e ◌̃ ◌ː							
ḛ	creaky unrounded close-mid front vowel		+	ḛ	◌e ◌̰							
ḛḭ	from creaky unrounded close-mid front to creaky unrounded close front diphthong	+	+	ḛḭ	◌e ◌̰ ◌i ◌̰							
