BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ɔi	from rounded open-mid back to unrounded close front diphthong	+	+	ɔj	◌ɔ ◌i	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%94j					1	
ä̃	centralized nasalized unrounded open front vowel	+	+	ä̃	◌a ◌̈ ◌̃	http://eurasianphonology.info/search_exact?dialects=True&query=a%CC%88%CC%83					8	
ä̃ː	long centralized nasalized unrounded open front vowel	+	+	äː̃	◌a ◌̈ ◌̃ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=a%CC%88%CB%90%CC%83					1	
ä̃ː	long centralized nasalized unrounded open front vowel	+	+	ä̃ː	◌a ◌̈ ◌̃ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=a%CC%88%CC%83%CB%90					4	
ä̤̃ː	long centralized nasalized breathy unrounded open front vowel	+	+	ä̤̃ː	◌a ◌̤ ◌̈ ◌̃ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=a%CC%88%CC%83%CC%A4%CB%90					1	
fː	long voiceless labio-dental fricative consonant		+	fːː	◌f ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=f%CB%90%CB%90					1	
hː	long voiceless glottal fricative consonant	+	+	hːː	◌h ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=h%CB%90%CB%90					1	
jː	long voiced palatal approximant consonant		+	jːː	◌j ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=j%CB%90%CB%90					1	
kː	long voiceless velar stop consonant		+	kːː	◌k ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=k%CB%90%CB%90					1	
lʲː	palatalized long voiced alveolar lateral approximant consonant	+	+	lʲː	◌l ◌ʲ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=l%CA%B2%CB%90					1ː	
lː	long voiced alveolar lateral approximant consonant		+	lːː	◌l ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=l%CB%90%CB%90					1	
mː	long voiced bilabial nasal consonant		+	mːː	◌m ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=m%CB%90%CB%90					1	
nʲː	palatalized long voiced alveolar nasal consonant	+	+	nʲː	◌n ◌ʲ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=n%CA%B2%CB%90					1ː	
nː	long voiced alveolar nasal consonant		+	nːː	◌n ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=n%CB%90%CB%90					1	
o̟ˑ	mid-long advanced rounded close-mid back vowel	+	+	o̟ˑ	◌o ◌̟ ◌ˑ	http://eurasianphonology.info/search_exact?dialects=True&query=o%CC%9F%CB%91					1	
pʲʰ	palatalized aspirated voiceless bilabial stop consonant		+	pʰʲ	◌p ◌ʲ ◌ʰ	http://eurasianphonology.info/search_exact?dialects=True&query=p%CA%B0%CA%B2					5	
pː	long voiceless bilabial stop consonant		+	pːː	◌p ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=p%CB%90%CB%90					1	
rː	long voiced alveolar trill consonant		+	rːː	◌r ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=r%CB%90%CB%90					1	
sʲː	palatalized long voiceless alveolar sibilant fricative consonant	+	+	sʲːː	◌s ◌ʲ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=s%CA%B2%CB%90%CB%90					1	
sː	long voiceless alveolar sibilant fricative consonant		+	sːː	◌s ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=s%CB%90%CB%90					1	
tʲː	palatalized long voiceless alveolar stop consonant	+	+	tʲːː	◌t ◌ʲ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=t%CA%B2%CB%90%CB%90					1	
tː	long voiceless alveolar stop consonant		+	tːː	◌t ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=t%CB%90%CB%90					1	
t̪ʲʰ	palatalized aspirated voiceless dental stop consonant		+	t̪ʰʲ	◌t ◌̪ ◌ʲ ◌ʰ	http://eurasianphonology.info/search_exact?dialects=True&query=t%CC%AA%CA%B0%CA%B2					2	
u̯ː	long non-syllabic rounded close back vowel	+	+	uw	◌u ◌̯ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=uw					1	
œ̠ː	long retracted rounded open-mid front vowel	+	+	œ̠ː	◌œ ◌̠ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C5%93%CC%A0%CB%90					1	
ɑː	long unrounded open back vowel		+	ɑːː	◌ɑ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%91%CB%90%CB%90					1	
ɑ̟ː	long advanced unrounded open back vowel	+	+	ɑ̟ː	◌ɑ ◌̟ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%91%CC%9F%CB%90					1	
ɑ̟ˑ	mid-long advanced unrounded open back vowel	+	+	ɑ̟ˑ	◌ɑ ◌̟ ◌ˑ	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%91%CC%9F%CB%91					1	
ɑ̤̟	advanced breathy unrounded open back vowel	+	+	ɑ̟̤	◌ɑ ◌̤ ◌̟	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%91%CC%9F%CC%A4					1	
ɑ̤̟ː	long advanced breathy unrounded open back vowel	+	+	ɑ̟̤ː	◌ɑ ◌̤ ◌̟ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%91%CC%9F%CC%A4%CB%90					1	
ɔ̜̟ː	long advanced less-rounded rounded open-mid back vowel	+	+	ɔ̟̜ː	◌ɔ ◌̜ ◌̟ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%94%CC%9F%CC%9C%CB%90					1	
ɔ̜̟̃ː	long advanced less-rounded nasalized rounded open-mid back vowel	+	+	ɔ̟̜̃ː	◌ɔ ◌̜ ◌̟ ◌̃ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%94%CC%83%CC%9F%CC%9C%CB%90					1	
ə̟̆	ultra-short advanced unrounded mid central vowel	+	+	ə̟̆	◌ə ◌̟ ◌̆	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%99%CC%9F%CC%86					1	
ɛ̠ː	long retracted unrounded open-mid front vowel	+	+	ɛ̠ː	◌ɛ ◌̠ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%9B%CC%A0%CB%90					1	
ɞ̠ː	long retracted rounded open-mid central vowel	+	+	ɞ̠ː	◌ɞ ◌̠ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%9E%CC%A0%CB%90					1	
ɤː	long unrounded close-mid back vowel		+	ɤːː	◌ɤ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%A4%CB%90%CB%90					1	
ɤ̟ː	long advanced unrounded close-mid back vowel	+	+	ɤ̟ː	◌ɤ ◌̟ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%A4%CC%9F%CB%90					1	
ɤ̤̟ː	long advanced breathy unrounded close-mid back vowel	+	+	ɤ̟̤ː	◌ɤ ◌̤ ◌̟ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%A4%CC%9F%CC%A4%CB%90						
ɨ̟ː	long advanced unrounded close central vowel	+	+	ɨ̟ː	◌ɨ ◌̟ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%A8%CC%9F%CB%90					1	
ɯ̰̽ː	long mid-centralized creaky unrounded close back vowel	+	+	ɯ̰̽ː	◌ɯ ◌̰ ◌̽ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%AF%CC%BD%CC%B0%CB%90					1	
ɵ̟ː	long advanced rounded close-mid central vowel	+	+	ɵ̟ː	◌ɵ ◌̟ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%C9%B5%CC%9F%CB%90					1	
ʃː	long voiceless post-alveolar sibilant fricative consonant	+	+	ʃːː	◌ʃ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%CA%83%CB%90%CB%90					1	
ʉ̟ː	long advanced rounded close central vowel	+	+	ʉ̟ː	◌ʉ ◌̟ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=%CA%89%CC%9F%CB%90					1	
ʌ̤̟	advanced breathy unrounded open-mid back vowel	+	+	ʌ̟̤	◌ʌ ◌̤ ◌̟	http://eurasianphonology.info/search_exact?dialects=True&query=%CA%8C%CC%9F%CC%A4					1	
<NA>	<NA>		+	wei	<NA>	http://eurasianphonology.info/search_exact?dialects=True&query=wei					1	
