BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
pʲʰ	palatalized aspirated voiceless bilabial stop consonant		+	pʲʰ	◌p ◌ʲ ◌ʰ			pulmonic stop aspirated voiceless palatalized bilabial				
t̪ʲʰ	palatalized aspirated voiceless dental stop consonant		+	t̪ʲʰ	◌t ◌̪ ◌ʲ ◌ʰ			pulmonic stop aspirated voiceless palatalized dental				
a	unrounded open front vowel		+	a	◌a			low central unrounded				
ae	from unrounded open front to unrounded close-mid front diphthong	+	+	ae	◌a ◌e			diphtong higher mid low front central unrounded rising fronting				
ai	from unrounded open front to unrounded close front diphthong	+	+	ai	◌a ◌i			diphtong high low front central unrounded rising fronting				
ao	from unrounded open front to rounded close-mid back diphthong	+	+	ao	◌a ◌o			diphtong higher mid low central back unrounded rounded rising backing rounding				
au	from unrounded open front to rounded close back diphthong	+	+	au	◌a ◌u			diphtong high low central back unrounded rounded rising backing rounding				
aə	from unrounded open front to unrounded mid central diphthong	+	+	aə	◌a ◌ə			diphtong higher mid low central unrounded rising				
aɨ	from unrounded open front to unrounded close central diphthong	+	+	aɨ	◌a ◌ɨ			diphtong high low central unrounded rising				
aɪ	from unrounded open front to unrounded near-close near-front diphthong	+	+	aɪ	◌a ◌ɪ			diphtong lowered high low front central unrounded rising fronting				
aʉ	from unrounded open front to rounded close central diphthong	+	+	aʉ	◌a ◌ʉ			diphtong high low central unrounded rounded rising rounding				
aʊ	from unrounded open front to rounded near-close near-back diphthong	+	+	aʊ	◌a ◌ʊ			diphtong lowered high low central back unrounded rounded rising backing rounding				
aˀ	glottalized unrounded open front vowel	+	+	aˀ	◌a ◌ˀ			laryngealized low central unrounded				
aː	long unrounded open front vowel		+	aː	◌a ◌ː			long low central unrounded				
aːɨ	from long unrounded open front to unrounded close central diphthong	+	+	aːɨ	◌a ◌ː ◌ɨ			long diphtong high low central unrounded rising				
aˤ	pharyngealized unrounded open front vowel	+	+	aˤ	◌a ◌ˤ			pharyngealized  low central unrounded				
ã	nasalized unrounded open front vowel		+	ã	◌a ◌̃			nasalized low central unrounded				
ãẽ	from nasalized unrounded open front to nasalized unrounded close-mid front diphthong	+	+	ãẽ	◌a ◌̃ ◌e ◌̃			nasalized diphtong higher mid low front central unrounded rising fronting				
ãĩ	from nasalized unrounded open front to nasalized unrounded close front diphthong	+	+	ãĩ	◌a ◌̃ ◌i ◌̃			nasalized diphtong high low front central unrounded rising fronting				
ãũ	from nasalized unrounded open front to nasalized rounded close back diphthong	+	+	ãũ	◌a ◌̃ ◌u ◌̃			nasalized diphtong high low central back unrounded rounded rising backing rounding				
ãʉ̃	from nasalized unrounded open front to nasalized rounded close central diphthong	+	+	ãʉ̃	◌a ◌̃ ◌ʉ ◌̃			nasalized diphtong high low central unrounded rounded rising rounding				
ãˀ	glottalized nasalized unrounded open front vowel	+	+	ãˀ	◌a ◌̃ ◌ˀ			nasalized laryngealized low central unrounded				
ãː	long nasalized unrounded open front vowel		+	ãː	◌a ◌̃ ◌ː			nasalized long low central unrounded				
ã̰	nasalized creaky unrounded open front vowel	+	+	ã̰	◌a ◌̰ ◌̃			nasalized laryngealized low central unrounded				
ă	ultra-short unrounded open front vowel		+	ă	◌a ◌̆			overshort low central unrounded				
a̟	advanced unrounded open front vowel		+	a̟	◌a ◌̟			low front unrounded				
a̟ː	long advanced unrounded open front vowel		+	a̟ː	◌a ◌̟ ◌ː			long low front unrounded				
ã̟	advanced nasalized unrounded open front vowel	+	+	ã̟	◌a ◌̟ ◌̃			nasalized low front unrounded				
a̤	breathy unrounded open front vowel	+	+	a̤	◌a ◌̤			breathy voiced low central unrounded				
ḁ	devoiced unrounded open front vowel		+	ḁ	◌a ◌̥			voiceless low central unrounded				
a̰	creaky unrounded open front vowel		+	a̰	◌a ◌̰			laryngealized low central unrounded				
a̰ː	long creaky unrounded open front vowel	+	+	a̰ː	◌a ◌̰ ◌ː			laryngealized long low central unrounded				
b	voiced bilabial stop consonant		+	b	◌b			pulmonic stop voiced bilabial				
bv	voiced labio-dental affricate consonant		+	bv	◌b ◌v			pulmonic affricate voiced bilabial labio-dental				
bʲ	palatalized voiced bilabial stop consonant		+	bʲ	◌b ◌ʲ			pulmonic stop voiced palatalized bilabial				
bʷ	labialized voiced bilabial stop consonant		+	bʷ	◌b ◌ʷ			pulmonic stop voiced labialized bilabial				
bˠ	velarized voiced bilabial stop consonant		+	bˠ	◌b ◌ˠ			pulmonic stop voiced velarized bilabial				
bˤ	pharyngealized voiced bilabial stop consonant	+	+	bˤ	◌b ◌ˤ			pulmonic stop voiced pharyngealized  bilabial				
bʱ	breathy voiced bilabial stop consonant		+	b̤	◌b ◌ʱ			pulmonic stop breathy voiced bilabial				
b̰	creaky voiced bilabial stop consonant	+	+	b̰	◌b ◌̰			pulmonic stop voiced laryngealized bilabial				
c	voiceless palatal stop consonant		+	c	◌c			pulmonic stop voiceless palatal				
cç	voiceless palatal affricate consonant		+	cç	◌c ◌c ◌̧			pulmonic affricate voiceless palatal				
cçʼ	voiceless palatal ejective affricate consonant	+	+	cçʼ	◌c ◌c ◌̧ ◌ʼ			ejective affricate palatal				
tɕʲ	palatalized voiceless alveolo-palatal sibilant affricate consonant	+	+	cɕ	◌t ◌ɕ ◌ʲ			pulmonic affricate voiceless palatalized palato-alveolar				
tɕʲʰ	palatalized aspirated voiceless alveolo-palatal sibilant affricate consonant	+	+	cɕʰ	◌t ◌ɕ ◌ʲ ◌ʰ			pulmonic affricate aspirated voiceless palatalized palato-alveolar				
cʰ	aspirated voiceless palatal stop consonant		+	cʰ	◌c ◌ʰ			pulmonic stop aspirated voiceless palatal				
cʼ	voiceless palatal ejective stop consonant		+	cʼ	◌c ◌ʼ			ejective stop palatal				
d	voiced alveolar stop consonant		+	d	◌d			pulmonic stop voiced alveolar				
dʼ	voiced alveolar ejective stop consonant	+	+	d'	◌d ◌ʼ			pulmonic stop voiced unspecified coronal place				
dz	voiced alveolar sibilant affricate consonant		+	dz	◌d ◌z			pulmonic affricate sibilant voiced alveolar				
dzʼ	voiced alveolar ejective sibilant affricate consonant	+	+	dz'	◌d ◌z ◌ʼ			pulmonic affricate sibilant voiced unspecified coronal place				
dzʷ	labialized voiced alveolar sibilant affricate consonant	+	+	dzʷ	◌d ◌z ◌ʷ			pulmonic affricate sibilant voiced labialized alveolar				
dz̫	voiced alveolar whistled-sibilant affricate consonant		+	dz̫	◌d ◌z ◌̫			pulmonic affricate sibilant voiced alveolar whistled				
dɮ	voiced alveolar lateral affricate consonant		+	dɮ	◌d ◌ɮ			pulmonic affricate lateral voiced alveolar				
dɮʼ	voiced alveolar ejective lateral affricate consonant	+	+	dɮ'	◌d ◌ɮ ◌ʼ			pulmonic affricate lateral voiced unspecified coronal place				
dʑ	voiced alveolo-palatal sibilant affricate consonant		+	dʑ	◌d ◌ʑ			pulmonic affricate sibilant voiced palatalized palato-alveolar				
dʲ	palatalized voiced alveolar stop consonant		+	dʲ	◌d ◌ʲ			pulmonic stop voiced palatalized alveolar				
dʷ	labialized voiced alveolar stop consonant	+	+	dʷ	◌d ◌ʷ			pulmonic stop voiced labialized alveolar				
dˤ	pharyngealized voiced alveolar stop consonant		+	dˤ	◌d ◌ˤ			pulmonic stop voiced pharyngealized  alveolar				
dʼˤ	pharyngealized voiced alveolar ejective stop consonant	+	+	dˤ'	◌d ◌ʼ ◌ˤ			pulmonic stop voiced pharyngealized  unspecified coronal place				
d̠	voiced post-alveolar stop consonant		+	d̠	◌d ◌̠			pulmonic stop voiced palato-alveolar				
dʒ	voiced post-alveolar sibilant affricate consonant		+	d̠ʒ	◌d ◌ʒ			pulmonic affricate sibilant voiced palato-alveolar				
dʒʲ	palatalized voiced post-alveolar sibilant affricate consonant		+	d̠ʒʲ	◌d ◌ʒ ◌ʲ			pulmonic affricate sibilant voiced palatalized palato-alveolar retracted				
dʒʱ	breathy voiced post-alveolar sibilant affricate consonant		+	d̠ʒ̤	◌d ◌ʒ ◌ʱ			pulmonic affricate sibilant voiced breathy voiced palato-alveolar retracted				
d̠ʒ̫	voiced post-alveolar whistled-sibilant affricate consonant		+	d̠ʒ̫	◌d ◌̠ ◌ʒ ◌̫			pulmonic affricate sibilant voiced palato-alveolar retracted whistled				
d̠ʲ	palatalized voiced post-alveolar stop consonant	+	+	d̠ʲ	◌d ◌̠ ◌ʲ			pulmonic stop voiced palatalized retracted				
dʱ	breathy voiced alveolar stop consonant		+	d̤	◌d ◌ʱ			pulmonic stop breathy voiced alveolar				
dzʱ	breathy voiced alveolar sibilant affricate consonant	+	+	d̤z̤	◌d ◌z ◌ʱ			pulmonic affricate sibilant breathy voiced alveolar				
dʒʱ	breathy voiced post-alveolar sibilant affricate consonant		+	d̤ʒ̤	◌d ◌ʒ ◌ʱ			pulmonic affricate sibilant breathy voiced palato-alveolar				
d̪	voiced dental stop consonant		+	d̪	◌d ◌̪			pulmonic stop voiced dental				
d̪ɮ	voiced dental lateral affricate consonant		+	d̪l̪	◌d ◌̪ ◌ɮ			pulmonic approximant lateral pre-stopped voiced dental				
dz̪	voiced dental sibilant affricate consonant		+	d̪z̪	◌d ◌z ◌̪			pulmonic affricate sibilant voiced dental				
dz̪ʲ	palatalized voiced dental sibilant affricate consonant	+	+	d̪z̪ʲ	◌d ◌z ◌̪ ◌ʲ			pulmonic affricate sibilant voiced palatalized dental alveolar				
d̪ʲ	palatalized voiced dental stop consonant		+	d̪ʲ	◌d ◌̪ ◌ʲ			pulmonic stop voiced palatalized dental				
d̪ˠ	velarized voiced dental stop consonant		+	d̪ˠ	◌d ◌̪ ◌ˠ			pulmonic stop voiced velarized dental				
d̪ˤ	pharyngealized voiced dental stop consonant		+	d̪ˤ	◌d ◌̪ ◌ˤ			pulmonic stop voiced pharyngealized  dental				
d̪ʱ	breathy voiced dental stop consonant		+	d̪̤	◌d ◌̪ ◌ʱ			pulmonic stop breathy voiced dental				
d̪ʲʱ	palatalized breathy voiced dental stop consonant	+	+	d̪̤ʲ	◌d ◌̪ ◌ʲ ◌ʱ			pulmonic stop voiced breathy voiced palatalized dental				
d̰	creaky voiced alveolar stop consonant		+	d̰	◌d ◌̰			pulmonic stop voiced laryngealized alveolar				
e	unrounded close-mid front vowel		+	e	◌e			higher mid front unrounded				
e	unrounded close-mid front vowel		+	e'	◌e			unspecified mid front unrounded				
ea	from unrounded close-mid front to unrounded open front diphthong	+	+	ea	◌e ◌a			diphtong higher mid low front central unrounded lowering backing				
e̥ː	long devoiced unrounded close-mid front vowel	+	+	ee̥	◌e ◌̥ ◌ː			voiceless diphtong higher mid front unrounded				
ei	from unrounded close-mid front to unrounded close front diphthong	+	+	ei	◌e ◌i			diphtong high higher mid front unrounded rising				
eu	from unrounded close-mid front to rounded close back diphthong	+	+	eu	◌e ◌u			diphtong high higher mid front back unrounded rounded rising backing rounding				
eɪ	from unrounded close-mid front to unrounded near-close near-front diphthong	+	+	eɪ	◌e ◌ɪ			diphtong lowered high higher mid front unrounded rising				
eʊ	from unrounded close-mid front to rounded near-close near-back diphthong	+	+	eʊ	◌e ◌ʊ			diphtong lowered high higher mid front back unrounded rounded rising backing rounding				
eˀ	glottalized unrounded close-mid front vowel	+	+	eˀ	◌e ◌ˀ			laryngealized higher mid front unrounded				
