BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+		<NA>			##	##.mp3	IPA-116-431.gif		
a˞	rhotacized unrounded open front vowel		+	a̢	◌a ◌˞			rhotic open front unrounded vowel	rhotic_open_front_unrounded.mp3	IPA-304-419.gif		
a̤	breathy unrounded open front vowel	+	+	a̤	◌a ◌̤			a breathy voiced open front unrounded vowel	breathy-voiced_open_front_unrounded.mp3	IPA-304-405.gif		
a̰	creaky unrounded open front vowel		+	a̰	◌a ◌̰			a creaky voiced open front unrounded vowel	creaky-voiced_open_front_unrounded.mp3	IPA-304-406.gif		
b	voiced bilabial stop consonant		+	b	◌b			a voiced bilabial plosive	V_bilabial_plosive.mp3	IPA-102.gif		
bʱ	breathy voiced bilabial stop consonant		+	bʱ	◌b ◌ʱ			a breathy voiced bilabial plosive	breathy-voiced_bilabial_plosive.mp3	IPA-102-405.gif		
b̰	creaky voiced bilabial stop consonant	+	+	b̰	◌b ◌̰			a creaky voiced voiced bilabial plosive	creaky-voiced_V_bilabial_plosive.mp3	IPA-102-406.gif		
c	voiceless palatal stop consonant		+	c	◌c			a voiceless palatal plosive	VL_palatal_plosive.mp3	IPA-107.gif		
d	voiced alveolar stop consonant		+	d	◌d			a voiced alveolar plosive	V_alveolar_plosive.mp3	IPA-104.gif		
dʰ	aspirated voiced alveolar stop consonant		+	dʰ	◌d ◌ʰ			an aspirated voiced alveolar plosive	aspirated_V_alveolar_plosive.mp3	IPA-104-404.gif		
dʲ	palatalized voiced alveolar stop consonant		+	dʲ	◌d ◌ʲ			a palatalized voiced alveolar plosive	palatalized_V_alveolar plosive.mp3	IPA-104-421.gif		
dʷ	labialized voiced alveolar stop consonant	+	+	dʷ	◌d ◌ʷ			a labialized voiced alveolar plosive	labialized_V_alveolar_plosive.mp3	IPA-104-420.gif		
dˠ	velarized voiced alveolar stop consonant	+	+	dˠ	◌d ◌ˠ			a velarized voiced alveolar plosive	velarized_V_alveolar_plosive.mp3	IPA-104-422.gif		
dˡ	with-lateral-release voiced alveolar stop consonant	+	+	dˡ	◌d ◌ˡ			a laterally released voiced alveolar plosive	lateral-release_V_alveolar_plosive.mp3	IPA-104-426.gif		
dˤ	pharyngealized voiced alveolar stop consonant		+	dˤ	◌d ◌ˤ			a pharyngealized voiced alveolar plosive	pharyngealized_V_alveolar_plosive.mp3	IPA-104-423.gif		
d̚	unreleased voiced alveolar stop consonant	+	+	d̚	◌d ◌̚			a voiced alveolar plosive with no audible release	no-audible-release_V_alveolar_plosive.mp3	IPA-104-427.gif		
d̥	devoiced voiced alveolar stop consonant		+	d̥	◌d ◌̥			a devoiced voiced alveolar plosive	devoiced_V_alveolar_plosive.mp3	IPA-104-402A.gif		
d̪	voiced dental stop consonant		+	d̪	◌d ◌̪			a dentalized voiced alveolar plosive	dentalized_V_alveolar_plosive.mp3	IPA-104-408.gif		
d̼	voiced linguolabial stop consonant		+	d̫	◌d ◌̼			a linguolabialized voiced alveolar plosive	linguolabialized_V_alveolar_plosive.mp3	IPA-104-407.gif		
d̺	voiced apical alveolar stop consonant	+	+	d̺	◌d ◌̺			an apical voiced alveolar plosive	apical_V_alveolar_plosive.mp3	IPA-104-409.gif		
d̻	voiced laminal alveolar stop consonant	+	+	d̻	◌d ◌̻			a laminal voiced alveolar plosive	laminal_V_alveolar_plosive.mp3	IPA-104-410.gif		
dⁿ	with-nasal-release voiced alveolar stop consonant		+	dⁿ	◌d ◌ⁿ			a nasal released voiced alveolar plosive	nasal-release_V_alveolar_plosive.mp3	IPA-104-425.gif		
è	unrounded close-mid front with-low_tone vowel	+	+	è	◌e ◌̀			a low-tone close-mid front unrounded vowel	low-tone_close-mid_front_unrounded.mp3	IPA-302-515.gif		
é	unrounded close-mid front with-high_tone vowel	+	+	é	◌e ◌́			a high-tone close-mid front unrounded vowel	high-tone_close-mid_front_unrounded.mp3	IPA-302-513.gif		
ê	unrounded close-mid front with-falling_tone vowel	+	+	ê	◌e ◌̂			a falling contour close-mid front unrounded vowel	falling-contour_close-mid_front_unrounded.mp3	IPA-302-525.gif		
ẽ	nasalized unrounded close-mid front vowel		+	ẽ	◌e ◌̃			nasalized close-mid front unrounded vowel	nasalized_close-mid_front_unrounded.mp3	IPA-302-424.gif		
ē	unrounded close-mid front with-mid_tone vowel	+	+	ē	◌e ◌̄			a mid-tone close-mid front unrounded vowel	mid-tone_close-mid_front_unrounded.mp3	IPA-302-514.gif		
ë	centralized unrounded close-mid front vowel	+	+	ë	◌e ◌̈			a centralized close-mid front unrounded vowel	centralized_close-mid_front_unrounded.mp3	IPA-302-415.gif		
é	unrounded close-mid front with-high_tone vowel	+	+	e̋	◌e ◌́			an extra-high tome close-mid front unrounded vowel	extra-high-tone_close-mid_front_unrounded.mp3	IPA-302-512.gif		
ě	unrounded close-mid front with-rising_tone vowel	+	+	ě	◌e ◌̌			a rising contour close-mid front unrounded vowel	rising-contour_close-mid_front_unrounded.mp3	IPA-302-524.gif		
è	unrounded close-mid front with-low_tone vowel	+	+	ȅ	◌e ◌̀			an extra-low tone close-mid front unrounded vowel	extra-low-tone_close-mid_front_unrounded.mp3	IPA-302-516.gif		
e̘	advanced-tongue-root unrounded close-mid front vowel	+	+	e̘	◌e ◌̘			an advanced tongue root close-mid front unrounded vowel'	advanced-tongue-root_close-mid_front_unrounded.mp3	IPA-302-417.gif		
e̙	retracted-tongue-root unrounded close-mid front vowel	+	+	e̙	◌e ◌̙			a retracted tongue root close-mid front unrounded vowel'	retracted-tongue-root_close-mid_front_unrounded.mp3	IPA-302-418.gif		
e̝	raised unrounded close-mid front vowel	+	+	e̝	◌e ◌̝			a raised close-mid front unrounded vowel'	raised_close-mid_front_unrounded.mp3	IPA-302-429.gif		
e̞	unrounded mid front vowel		+	e̞	◌e ◌̞			a lowered close-mid front unrounded vowel'	lowered_close-mid_front_unrounded.mp3	IPA-302-430.gif		
e̠	retracted unrounded close-mid front vowel	+	+	e̠	◌e ◌̠			a retracted close-mid front unrounded vowel	retracted_close-mid_front_unrounded.mp3	IPA-302-414.gif		
e̯	non-syllabic unrounded close-mid front vowel		+	e̯	◌e ◌̯			a non-syllabic close-mid front unrounded vowel'	non-syllabic_close-mid_front_unrounded.mp3	IPA-302-432.gif		
e̽	mid-centralized unrounded close-mid front vowel	+	+	e̽	◌e ◌̽			a mid-centralized close-mid front unrounded vowel'	mid-centralized_close-mid_front_unrounded.mp3	IPA-302-416.gif		
