BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+		<NA>			empty:empty:				
a	unrounded open front vowel		+	a	◌a		a	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis				
aː	long unrounded open front vowel		+	aː	◌a ◌ː		a\textlengthmark	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis				
ã	nasalized unrounded open front vowel		+	ã	◌a ◌̃		\textipa{\~a}	empty:vowel:−high +low +back −round +voice +nasal −spread glottis −constricted glottis				
ãː	long nasalized unrounded open front vowel		+	ãː	◌a ◌̃ ◌ː		\textipa{\~a}\textlengthmark	empty:vowel:−high +low +back −round +voice +nasal −spread glottis −constricted glottis				
ḁ̃	nasalized devoiced unrounded open front vowel	+	+	ḁ̃	◌a ◌̥ ◌̃		*\textipa{\~a}	empty:vowel:−high +low +back −round −voice +nasal −spread glottis −constricted glottis				
ḁ̃ː	long nasalized devoiced unrounded open front vowel	+	+	ḁ̃ː	◌a ◌̥ ◌̃ ◌ː		*\textipa{\~a}\textlengthmark	empty:vowel:−high +low +back −round −voice +nasal −spread glottis −constricted glottis				
ḁ	devoiced unrounded open front vowel		+	ḁ	◌a ◌̥		*a	empty:vowel:−high +low +back −round −voice −nasal −spread glottis −constricted glottis				
ḁː	long devoiced unrounded open front vowel	+	+	ḁː	◌a ◌̥ ◌ː		*a\textlengthmark	empty:vowel:−high +low +back −round −voice −nasal −spread glottis −constricted glottis				
a̯	non-syllabic unrounded open front vowel		+	a̯	◌a ◌̯		\textroundcap{a}	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis				
a̯ː	long non-syllabic unrounded open front vowel	+	+	a̯ː	◌a ◌̯ ◌ː		\textroundcap{a}\textlengthmark	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis				
ã̯	non-syllabic nasalized unrounded open front vowel	+	+	ã̯	◌a ◌̯ ◌̃		\textipa{\~\textroundcap{a}}	empty:vowel:−high +low +back −round +voice +nasal −spread glottis −constricted glottis				
ã̯ː	long non-syllabic nasalized unrounded open front vowel	+	+	ã̯ː	◌a ◌̯ ◌̃ ◌ː		\textipa{\~\textroundcap{a}}\textlengthmark	empty:vowel:−high +low +back −round +voice +nasal −spread glottis −constricted glottis				
ḁ̯̃	non-syllabic nasalized devoiced unrounded open front vowel	+	+	ã̯̥	◌a ◌̥ ◌̯ ◌̃		*\textipa{\~\textroundcap{a}}	empty:vowel:−high +low +back −round −voice +nasal −spread glottis −constricted glottis				
ḁ̯̃ː	long non-syllabic nasalized devoiced unrounded open front vowel	+	+	ã̯̥ː	◌a ◌̥ ◌̯ ◌̃ ◌ː		*\textipa{\~\textroundcap{a}}\textlengthmark	empty:vowel:−high +low +back −round −voice +nasal −spread glottis −constricted glottis				
