BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	b͡d̼	<NA>			-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long				
d̪ɮ	voiced dental lateral affricate consonant		+	d̪͡ɮ̪̟	◌d ◌̪ ◌ɮ			-syl -son +cons -cont +delrel +lat -nas +voi -sg -cg +ant +cor -distr -lab -round -velaric -long				
dɮ	voiced alveolar lateral affricate consonant		+	d̪͡ɮ̪̠	◌d ◌ɮ			-syl -son +cons -cont +delrel +lat -nas +voi -sg -cg +ant +cor -distr -lab -round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̤	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi +sg -cg +ant +cor -distr -lab -round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̤ʲ	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi +sg -cg +ant +cor -distr -lab +hi -back -round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̤ʷ	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi +sg -cg +ant +cor -distr -lab +hi +back +round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̤ː	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi +sg -cg +ant +cor -distr -lab -round -velaric +long				
<NA>	<NA>		+	d̪͡ɮ̪̤ˠ	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi +sg -cg +ant +cor -distr -lab +hi +back -round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̤ˤ	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi +sg -cg +ant +cor -distr -lab +lo +back -round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̰	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab -round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̰ʲ	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab +hi -back -round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̰ʷ	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab +hi +back +round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̰ː	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab -round -velaric +long				
<NA>	<NA>		+	d̪͡ɮ̪̰ˠ	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab +hi +back -round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̰ˤ	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab +lo +back -round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̰̃	<NA>			-syl -son +cons -cont +delrel +lat +nas +voi -sg +cg +ant +cor -distr -lab -round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̺	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi -sg -cg +ant +cor -distr -lab -round -velaric -long				
<NA>	<NA>		+	d̪͡ɮ̪̻	<NA>			-syl -son +cons -cont +delrel +lat -nas +voi -sg -cg +ant +cor +distr -lab -round -velaric -long				
d̪ɮᶣ	labio-palatalized voiced dental lateral affricate consonant	+	+	d̪͡ɮ̪ᶣ	◌d ◌̪ ◌ɮ ◌ᶣ			-syl -son +cons -cont +delrel +lat -nas +voi -sg -cg +ant +cor -distr -lab +hi -back +round -velaric -long				
n̼	voiced linguolabial nasal consonant		+	n̪̼	◌n ◌̼			-syl +son +cons -cont -delrel -lat +nas +voi -sg -cg +ant +cor +distr +lab -hi -lo -back -round -velaric -long				
<NA>	<NA>		+	p͡t̼	<NA>			-syl -son +cons -cont -delrel -lat -nas -voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long				
t̼	voiceless linguolabial stop consonant		+	t̪̼	◌t ◌̼			-syl -son +cons -cont -delrel -lat -nas -voi -sg -cg +ant +cor +distr +lab -hi -lo -back -round -velaric -long				
z̻	voiced laminal alveolar sibilant fricative consonant		+	z̻	◌z ◌̻			-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg +ant +cor +distr -lab -hi -lo -back -round -velaric -long				
ʇ̼	voiced linguolabial click consonant		+	ǀ̼	◌ʇ ◌̼			-syl -son +cons -cont -delrel -lat -nas -voi -sg -cg +ant +cor +distr +lab +hi -lo -round +velaric -long				
<NA>	<NA>		+	ǁʲʼ	<NA>			-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi -lo -back -round +velaric -long				
<NA>	<NA>		+	ǁʷʼ	<NA>			-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi -lo +back +round +velaric -long				
<NA>	<NA>		+	ǁʷˤʼ	<NA>			-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi +lo +back +round +velaric -long				
<NA>	<NA>		+	ǁʼ	<NA>			-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi -lo -round +velaric -long				
<NA>	<NA>		+	ǁʼʲ	<NA>			-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi -lo -back -round +velaric -long				
<NA>	<NA>		+	ǁʼʷ	<NA>			-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi -lo +back +round +velaric -long				
<NA>	<NA>		+	ǁʼː	<NA>			-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi -lo -round +velaric +long				
<NA>	<NA>		+	ǁˤʼ	<NA>			-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi +lo +back -round +velaric -long				
<NA>	<NA>		+	ǁ̼	<NA>			-syl -son +cons -cont -delrel +lat -nas -voi -sg -cg +ant +cor -distr +lab +hi -lo -round +velaric -long				
<NA>	<NA>		+	ǃ̼	<NA>			-syl -son +cons -cont -delrel -lat -nas -voi -sg -cg +ant +cor -distr +lab +hi -lo -round +velaric -long				
aˀ	glottalized unrounded open front vowel	+	+	ˀa	◌a ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi +lo +back -round -velaric +tense -long				
eˀ	glottalized unrounded close-mid front vowel	+	+	ˀe	◌e ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo -back -round -velaric +tense -long				
iˀ	glottalized unrounded close front vowel	+	+	ˀi	◌i ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi -lo -back -round -velaric +tense -long				
oˀ	glottalized rounded close-mid back vowel	+	+	ˀo	◌o ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back +round -velaric +tense -long				
uˀ	glottalized rounded close back vowel	+	+	ˀu	◌u ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor +lab +hi -lo +back +round -velaric +tense -long				
yˀ	glottalized rounded close front vowel	+	+	ˀy	◌y ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor +lab +hi -lo -back +round -velaric +tense -long				
æˀ	glottalized unrounded near-open front vowel	+	+	ˀæ	◌æ ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi +lo -back -round -velaric +tense -long				
øˀ	glottalized rounded close-mid front vowel	+	+	ˀø	◌ø ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo -back +round -velaric +tense -long				
œˀ	glottalized rounded open-mid front vowel	+	+	ˀœ	◌œ ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo -back +round -velaric -tense -long				
ɐˀ	glottalized unrounded near-open central vowel	+	+	ˀɐ	◌ɐ ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back -round -velaric +tense -long				
ɑˀ	glottalized unrounded open back vowel	+	+	ˀɑ	◌ɑ ◌ˀ			+syl +son -cons +cont -lat -nas +voi -sg +cg -cor -lab -hi +lo +back -round -velaric +tense -long				
ɒˀ	glottalized rounded open back vowel	+	+	ˀɒ	◌ɒ ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi +lo +back +round -velaric +tense -long				
ɔˀ	glottalized rounded open-mid back vowel	+	+	ˀɔ	◌ɔ ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back +round -velaric -tense -long				
ɘˀ	glottalized unrounded close-mid central vowel	+	+	ˀɘ	◌ɘ ◌ˀ			+syl +son -cons +cont -lat -nas +voi -sg +cg -cor -lab -hi -lo -back -round -velaric +tense -long				
əˀ	glottalized unrounded mid central vowel	+	+	ˀə	◌ə ◌ˀ			+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back -round -velaric -tense -long				
