BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	aʔa	<NA>	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=a%CA%94a&inany=false&coreinv=on		vowel:low:central_unrounded:interrupted:plain				
<NA>	<NA>		+	a̪ː	<NA>	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=a%CC%AA%CB%90&inany=false&coreinv=on		vowel:raised_low:central_unrounded:plain:long				
<NA>	<NA>		+	b*	<NA>	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=b%2A&inany=false&coreinv=on		conso:stop:bilabial:voiced:lax				
<NA>	<NA>		+	bz	<NA>	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=bz&inany=false&coreinv=on		conso:affricate:bilabial_to_alveolar:voiced:plain				
<NA>	<NA>		+	bɮ	<NA>	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=b%C9%AE&inany=false&coreinv=on		conso:affricate:bilabial_to_lateral:voiced:plain				
<NA>	<NA>		+	bʒ	<NA>	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=b%CA%92&inany=false&coreinv=on		conso:affricate:bilabial_to_postalveolar:voiced:plain				
<NA>	<NA>		+	b̀	<NA>	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=b%CC%80&inany=false&coreinv=on		conso:stop:bilabial:voiced:tense				
<NA>	<NA>		+	b̂	<NA>	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=b%CC%82&inany=false&coreinv=on		conso:stop:bilabial:voiced:lenis				
<NA>	<NA>		+	b̏	<NA>	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=b%CC%8F&inany=false&coreinv=on		conso:stop:bilabial:voiced:heavy				
<NA>	<NA>		+	b͡dz	<NA>	http://pbase.phon.chass.ncsu.edu/visualize?lang=True&input=b%CD%A1dz&inany=false&coreinv=on		conso:stop_to_affricate:bilabial_to_alveolar:voiced:plain				
