BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	aʊɪ	<NA>	http://phoible.org/parameters/82D8AF27F30E0161F6D12919CD981E9A		0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,+,-:+:-:-:0:0:0:+:-,+,+:+,-,-:-,-,+:-,+,-:-:-:-:+:-:-:-:0:-:-:0			1	
<NA>	<NA>		+	b˞	<NA>	http://phoible.org/parameters/1DF4F6FF3789E4BDE890FC9920EAB880		0:-:-:-:-:+:-:-:-:-:-:-:-:-:+:-:-:+:+:+:+:+:0:0:0:0:0:0:0:+:-:-:-:-:-:-:-			1	
<NA>	<NA>		+	eəɪ	<NA>	http://phoible.org/parameters/3C2AD4A4476976CE0C77F9C25F0AE3B0		0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-,-,+:-:+,-,+:-:+,-,-:-:-:+:-:-:-:0:-:-:0			1	
<NA>	<NA>		+	fʃ	<NA>	http://phoible.org/parameters/25FEFAE6D3C0BE5A7B8DC54CF0E4F4F5		0:-:-:-:-:+:-:+:+:-:-:-:-:-:+,-:-:+:-,+:-:+:+:-:0:0:0:0:0:0:0:-:-:-:-:-:-:-:-			1	
<NA>	<NA>		+	iau	<NA>	http://phoible.org/parameters/BCACB0B8F7A3A120379482220E809D7F		0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,-,+:+:-:-:0:0:0:+:+,-,+:-,+,-:+,-,-:-,-,+:+:-:-:+:-:-:-:0:-:-:0			4	
<NA>	<NA>		+	iäu̽	<NA>	http://phoible.org/parameters/3AB98836DA15B8F98FD88379A9CAC5FF		0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,-,+:+:-:-:0:0:0:+:+,-,0:-,+,-:+,-,-:-:+:-:-:+:-:-:-:0:-:-:0			1	
<NA>	<NA>		+	iou	<NA>	http://phoible.org/parameters/43562F64958BE87998D566A36EA1B846		0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,+,+:+:-:-:0:0:0:+:+,-,+:-:+,-,-:-,+,+:+:-:-:+:-:-:-:0:-:-:0			2	
<NA>	<NA>		+	iɑu	<NA>	http://phoible.org/parameters/9607918D1EF8F73BC930C1342A1C7025		0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,-,+:+:-:-:0:0:0:+:+,-,+:-,+,-:+,-,-:-,+,+:+:-:-:+:-:-:-:0:-:-:0			1	
<NA>	<NA>		+	iəɪ	<NA>	http://phoible.org/parameters/BA6A8E7A30641E624BBF91AD6494445C		0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:+,-,+:-:+,-,+:-:+,-,-:-:-:+:-:-:-:0:-:-:0			1	
<NA>	<NA>		+	iɛi̯	<NA>	http://phoible.org/parameters/E4D8396EC77C0B9E9ADAFDE71CADE5E9		0:-:+,+,-:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:+,-,+:-:+:-:+,-,+:-:-:+:-:-:-:0:-:-:0			1	
<NA>	<NA>		+	i̯ai	<NA>	http://phoible.org/parameters/64780B76CD3E12A6FD1E8E07212FDE31		0:-:-,+,+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:+,-,+:-,+,-:+,-,+:-:+:-:-:+:-:-:-:0:-:-:0			1	
<NA>	<NA>		+	i̯ai̯	<NA>	http://phoible.org/parameters/E8698A35CCDBBF5D411B6932C25B686D		0:-:-,+,-:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:+,-,+:-,+,-:+,-,+:-:+:-:-:+:-:-:-:0:-:-:0			1	
<NA>	<NA>		+	i̯au	<NA>	http://phoible.org/parameters/F7EBBA13E3522805A0442757E38B3938		0:-:-,+,+:-:-:-:+:+:0:+:-:-:-:-:-,-,+:+:-:-:0:0:0:+:+,-,+:-,+,-:+,-,-:-,-,+:+:-:-:+:-:-:-:0:-:-:0			1	
