BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	!kˣˀ	<NA>						1	
<NA>	<NA>		+	!ˣ	<NA>						20	
<NA>	<NA>		+	!ˣˀ	<NA>						14	
<NA>	<NA>		+	+kˣˀ	<NA>						0	This sound is not described in the source. @lingulist
<NA>	<NA>		+	+ˀ	<NA>						0	This sound is not described in the source. @lingulist
<NA>	<NA>		+	+ˣ	<NA>						0	This sound is not described in the source. @lingulist
<NA>	<NA>		+	/kˣˀ	<NA>						1	
<NA>	<NA>		+	/ˣ	<NA>						24	
<NA>	<NA>		+	/ˣˀ	<NA>						15	
<NA>	<NA>		+	B	<NA>						6	
<NA>	<NA>		+	G	<NA>						23	
<NA>	<NA>		+	Gʷ	<NA>						2	
<NA>	<NA>		+	I	<NA>						298	
<NA>	<NA>		+	I̤	<NA>						2	
<NA>	<NA>		+	L	<NA>						8	
<NA>	<NA>		+	L̥	<NA>						1	
<NA>	<NA>		+	P	<NA>						2	
<NA>	<NA>		+	Y	<NA>						10	
<NA>	<NA>		+	bdᶻ	<NA>						0	
<NA>	<NA>		+	bɗ	<NA>						0	
<NA>	<NA>		+	bɡ̌	<NA>						0	
<NA>	<NA>		+	bɮ	<NA>						0	
<NA>	<NA>		+	bɹ	<NA>						1	
<NA>	<NA>		+	bͮ	<NA>						14	
<NA>	<NA>		+	bᵚ	<NA>						1	
<NA>	<NA>		+	bᶻ̌	<NA>						2	
<NA>	<NA>		+	cˣ	<NA>						7	
<NA>	<NA>		+	čˣ	<NA>						4	
<NA>	<NA>		+	c̯	<NA>						3	
<NA>	<NA>		+	cᵚ	<NA>						4	
<NA>	<NA>		+	cᶛ	<NA>						22	
<NA>	<NA>		+	dˣ	<NA>						1	
<NA>	<NA>		+	ḍʳ	<NA>						2	
<NA>	<NA>		+	d̤̣	<NA>						36	
<NA>	<NA>		+	d̤ᶻ	<NA>						7	
<NA>	<NA>		+	d̯	<NA>						21	
<NA>	<NA>		+	d̯ᶞ	<NA>						1	
<NA>	<NA>		+	dᵝ	<NA>						1	
<NA>	<NA>		+	dᶻˣ	<NA>						1	
<NA>	<NA>		+	e˃	<NA>						1	
<NA>	<NA>		+	e̅	<NA>						1	
<NA>	<NA>		+	fç	<NA>						0	
<NA>	<NA>		+	fˢ̌	<NA>						2	
<NA>	<NA>		+	hᵚ	<NA>						1	
<NA>	<NA>		+	j^	<NA>						4	
<NA>	<NA>		+	k^	<NA>						2	
<NA>	<NA>		+	kːˣ	<NA>						4	
<NA>	<NA>		+	kːˣˀ	<NA>						2	
<NA>	<NA>		+	kᵚ	<NA>						1	
<NA>	<NA>		+	ḷ̌	<NA>						7	
<NA>	<NA>		+	l̥ᵚ	<NA>						1	
<NA>	<NA>		+	l̯	<NA>						33	
<NA>	<NA>		+	lᵚ	<NA>						15	
<NA>	<NA>		+	mn˜	<NA>						0	
<NA>	<NA>		+	mᵚ	<NA>						1	
<NA>	<NA>		+	mᶛ	<NA>						1	
<NA>	<NA>		+	n!ˣ	<NA>						1	
<NA>	<NA>		+	n+	<NA>						0	
<NA>	<NA>		+	n/ˣ	<NA>						3	
<NA>	<NA>		+	nǁˣ	<NA>						3	
<NA>	<NA>		+	nǂˣ	<NA>						1	
<NA>	<NA>		+	n˜	<NA>						801	
<NA>	<NA>		+	n˜̥	<NA>						24	
<NA>	<NA>		+	n̥!	<NA>						2	
<NA>	<NA>		+	n̥!ʰ	<NA>						2	
<NA>	<NA>		+	n̥/	<NA>						2	
<NA>	<NA>		+	n̥/ʰ	<NA>						2	
<NA>	<NA>		+	n̥ǁ	<NA>						2	
<NA>	<NA>		+	n̥ǁʰ	<NA>						2	
<NA>	<NA>		+	n̥ǂ	<NA>						1	
<NA>	<NA>		+	n̥ǂʰ	<NA>						2	
<NA>	<NA>		+	n̥ʘ	<NA>						1	
<NA>	<NA>		+	n̥˜	<NA>						5	
<NA>	<NA>		+	n̪ᵚ	<NA>						1	
<NA>	<NA>		+	n̯	<NA>						57	
<NA>	<NA>		+	o˂	<NA>						1	
<NA>	<NA>		+	pč	<NA>						0	
<NA>	<NA>		+	pˀkˣˀ	<NA>						1	
<NA>	<NA>		+	pˢ̌ʰ	<NA>						2	
<NA>	<NA>		+	pˢ̌ˀ	<NA>						2	
<NA>	<NA>		+	qːᵡ	<NA>						4	
<NA>	<NA>		+	qːᵡˀ	<NA>						3	
<NA>	<NA>		+	qᶛ	<NA>						1	
<NA>	<NA>		+	ř	<NA>						3	
