BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	  ̀ 	<NA>							
<NA>	<NA>		+	  ́ 	<NA>							
<NA>	<NA>		+	  ̂ 	<NA>							
<NA>	<NA>		+	  ̄ 	<NA>							
<NA>	<NA>		+	  ̋ 	<NA>							
<NA>	<NA>		+	  ̌ 	<NA>							
<NA>	<NA>		+	  ̏ 	<NA>							
<NA>	<NA>		+	  ̣ 	<NA>							
<NA>	<NA>		+	  ̧ 	<NA>							
<NA>	<NA>		+	  ̰ 	<NA>							
<NA>	<NA>		+	  ↑ 	<NA>							
<NA>	<NA>		+	  ↓ 	<NA>							
<NA>	<NA>		+	   	<NA>							
<NA>	<NA>		+	   	<NA>							
<NA>	<NA>		+	   	<NA>							
<NA>	<NA>		+	   	<NA>							
<NA>	<NA>		+	   	<NA>							
<NA>	<NA>		+	   	<NA>							
ʄ̥	devoiced voiced palatal implosive consonant	+	+	ƈ	◌ʄ ◌̥							
ɠ̥	devoiced voiced velar implosive consonant	+	+	ƙ	◌ɠ ◌̥							
ɓ̥	devoiced voiced bilabial implosive consonant	+	+	ƥ	◌ɓ ◌̥							
ɗ̥	devoiced voiced dental implosive consonant		+	ƭ	◌ɗ ◌̥							
a	unrounded open front vowel		+	a	◌a							
b	voiced bilabial stop consonant		+	b	◌b							
c	voiceless palatal stop consonant		+	c	◌c							
d	voiced alveolar stop consonant		+	d	◌d							
e	unrounded close-mid front vowel		+	e	◌e							
f	voiceless labio-dental fricative consonant		+	f	◌f							
g	voiced velar stop consonant		+	g	◌g							
h	voiceless glottal fricative consonant		+	h	◌h							
i	unrounded close front vowel		+	i	◌i							
j	voiced palatal approximant consonant		+	j	◌j							
k	voiceless velar stop consonant		+	k	◌k							
l	voiced alveolar lateral approximant consonant		+	l	◌l							
m	voiced bilabial nasal consonant		+	m	◌m							
n	voiced alveolar nasal consonant		+	n	◌n							
o	rounded close-mid back vowel		+	o	◌o							
p	voiceless bilabial stop consonant		+	p	◌p							
q	voiceless uvular stop consonant		+	q	◌q							
r	voiced alveolar trill consonant		+	r	◌r							
s	voiceless alveolar sibilant fricative consonant		+	s	◌s							
t	voiceless alveolar stop consonant		+	t	◌t							
u	rounded close back vowel		+	u	◌u							
v	voiced labio-dental fricative consonant		+	v	◌v							
w	voiced labio-velar approximant consonant		+	w	◌w							
x	voiceless velar fricative consonant		+	x	◌x							
y	rounded close front vowel		+	y	◌y							
z	voiced alveolar sibilant fricative consonant		+	z	◌z							
æ	unrounded near-open front vowel		+	æ	◌æ							
ç	voiceless palatal sibilant fricative consonant		+	ç	◌c ◌̧							
ð	voiced dental fricative consonant		+	ð	◌ð							
ø	rounded close-mid front vowel		+	ø	◌ø							
ħ	voiceless pharyngeal fricative consonant		+	ħ	◌ħ							
ŋ	voiced velar nasal consonant		+	ŋ	◌ŋ							
œ	rounded open-mid front vowel		+	œ	◌œ							
ɐ	unrounded near-open central vowel		+	ɐ	◌ɐ							
ɑ	unrounded open back vowel		+	ɑ	◌ɑ							
ɒ	rounded open back vowel		+	ɒ	◌ɒ							
ɓ	voiced bilabial implosive consonant		+	ɓ	◌ɓ							
ɔ	rounded open-mid back vowel		+	ɔ	◌ɔ							
ɕ	voiceless alveolo-palatal sibilant fricative consonant		+	ɕ	◌ɕ							
ɖ	voiced retroflex stop consonant		+	ɖ	◌ɖ							
ɗ	voiced dental implosive consonant		+	ɗ	◌ɗ							
ɘ	unrounded close-mid central vowel		+	ɘ	◌ɘ							
ə	unrounded mid central vowel		+	ə	◌ə							
ɛ	unrounded open-mid front vowel		+	ɛ	◌ɛ							
ɜ	unrounded open-mid central vowel		+	ɜ	◌ɜ							
ɞ	rounded open-mid central vowel		+	ɞ	◌ɞ							
ɟ	voiced palatal stop consonant		+	ɟ	◌ɟ							
ɠ	voiced velar implosive consonant		+	ɠ	◌ɠ							
ɢ	voiced uvular stop consonant		+	ɢ	◌ɢ							
ɣ	voiced velar fricative consonant		+	ɣ	◌ɣ							
ɤ	unrounded close-mid back vowel		+	ɤ	◌ɤ							
ɥ	voiced labio-palatal approximant consonant		+	ɥ	◌ɥ							
ɦ	voiced glottal fricative consonant		+	ɦ	◌ɦ							
ɨ	unrounded close central vowel		+	ɨ	◌ɨ							
ɪ	unrounded near-close near-front vowel		+	ɪ	◌ɪ							
ɬ	voiceless alveolar lateral fricative consonant		+	ɬ	◌ɬ							
ɭ	voiced retroflex lateral approximant consonant		+	ɭ	◌ɭ							
ɮ	voiced alveolar lateral fricative consonant		+	ɮ	◌ɮ							
ɯ	unrounded close back vowel		+	ɯ	◌ɯ							
ɰ	voiced velar approximant consonant		+	ɰ	◌ɰ							
ɱ	voiced labio-dental nasal consonant		+	ɱ	◌ɱ							
ɲ	voiced palatal nasal consonant		+	ɲ	◌ɲ							
ɳ	voiced retroflex nasal consonant		+	ɳ	◌ɳ							
ɴ	voiced uvular nasal consonant		+	ɴ	◌ɴ							
ɵ	rounded close-mid central vowel		+	ɵ	◌ɵ							
ɶ	rounded open front vowel		+	ɶ	◌ɶ							
ɸ	voiceless bilabial fricative consonant		+	ɸ	◌ɸ							
ɹ	voiced alveolar approximant consonant		+	ɹ	◌ɹ							
ɻ	voiced retroflex approximant consonant		+	ɻ	◌ɻ							
ɽ	voiced retroflex tap consonant		+	ɽ	◌ɽ							
ɾ	voiced alveolar tap consonant		+	ɾ	◌ɾ							
ʀ	voiced uvular trill consonant		+	ʀ	◌ʀ							
ʁ	voiced uvular fricative consonant		+	ʁ	◌ʁ							
ʂ	voiceless retroflex sibilant fricative consonant		+	ʂ	◌ʂ							
ʃ	voiceless post-alveolar sibilant fricative consonant		+	ʃ	◌ʃ							
ʄ	voiced palatal implosive consonant		+	ʄ	◌ʄ							
ʈ	voiceless retroflex stop consonant		+	ʈ	◌ʈ							
ʉ	rounded close central vowel		+	ʉ	◌ʉ							
ʊ	rounded near-close near-back vowel		+	ʊ	◌ʊ							
ʋ	voiced labio-dental approximant consonant		+	ʋ	◌ʋ							
ʌ	unrounded open-mid back vowel		+	ʌ	◌ʌ							
ʍ	voiceless labio-velar approximant consonant		+	ʍ	◌ʍ							
ʎ	voiced palatal lateral approximant consonant		+	ʎ	◌ʎ							
ʏ	rounded near-close near-front vowel		+	ʏ	◌ʏ							
ʐ	voiced retroflex sibilant fricative consonant		+	ʐ	◌ʐ							
ʑ	voiced alveolo-palatal sibilant fricative consonant		+	ʑ	◌ʑ							
ʒ	voiced post-alveolar sibilant fricative consonant		+	ʒ	◌ʒ							
ʔ	voiceless glottal stop consonant		+	ʔ	◌ʔ							
ʕ	voiced pharyngeal fricative consonant		+	ʕ	◌ʕ							
ʙ	voiced bilabial trill consonant		+	ʙ	◌ʙ							
ʛ	voiced uvular implosive consonant		+	ʛ	◌ʛ							
ʜ	voiceless epiglottal fricative consonant		+	ʜ	◌ʜ							
ʝ	voiced palatal fricative consonant		+	ʝ	◌ʝ							
ʟ	voiced velar lateral approximant consonant		+	ʟ	◌ʟ							
ʛ̥	voiceless uvular implosive consonant		+	ʠ	◌ʛ ◌̥							
ʡ	voiceless epiglottal stop consonant		+	ʡ	◌ʡ							
ʢ	voiced epiglottal fricative consonant		+	ʢ	◌ʢ							
dz	voiced alveolar sibilant affricate consonant		+	ʣ	◌d ◌z							
dʒ	voiced post-alveolar sibilant affricate consonant		+	ʤ	◌d ◌ʒ							
dʑ	voiced alveolo-palatal sibilant affricate consonant		+	ʥ	◌d ◌ʑ							
ts	voiceless alveolar sibilant affricate consonant		+	ʦ	◌t ◌s							
tʃ	voiceless post-alveolar sibilant affricate consonant		+	ʧ	◌t ◌ʃ							
tɕ	voiceless alveolo-palatal sibilant affricate consonant		+	ʨ	◌t ◌ɕ							
β	voiced bilabial fricative consonant		+	β	◌β							
θ	voiceless dental fricative consonant		+	θ	◌θ							
χ	voiceless uvular fricative consonant		+	χ	◌χ							
