BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	aʰ	<NA>							
<NA>	<NA>		+	eʰ	<NA>							
<NA>	<NA>		+	iʰ	<NA>							
<NA>	<NA>		+	k̪	<NA>							
<NA>	<NA>		+	laryngeal_harmony	<NA>							
<NA>	<NA>		+	nasal_harmony	<NA>							
<NA>	<NA>		+	oʰ	<NA>							
<NA>	<NA>		+	pʲʰ	<NA>							
<NA>	<NA>		+	tone	<NA>							
<NA>	<NA>		+	tˣ	<NA>							
<NA>	<NA>		+	t̪ʙ	<NA>							
<NA>	<NA>		+	uʰ	<NA>							
ɴ	voiced uvular nasal consonant		+	N	◌ɴ							
a	unrounded open front vowel		+	a	◌a							
aĭ	from unrounded open front to ultra-short unrounded close front diphthong	+	+	aʲ	◌a ◌i ◌̆							
aːĭ	from long unrounded open front to ultra-short unrounded close front diphthong	+	+	aʲː	◌a ◌ː ◌i ◌̆							
aː	long unrounded open front vowel		+	aː	◌a ◌ː							
ã	nasalized unrounded open front vowel		+	ã	◌a ◌̃							
ãi	from nasalized unrounded open front to unrounded close front diphthong	+	+	ãʲ	◌a ◌̃ ◌i							
ãː	long nasalized unrounded open front vowel		+	ãː	◌a ◌̃ ◌ː							
a̰	creaky unrounded open front vowel		+	a̰	◌a ◌̰							
ã̰	nasalized creaky unrounded open front vowel	+	+	ã̰	◌a ◌̰ ◌̃							
b	voiced bilabial stop consonant		+	b	◌b							
bˢ	with-sibilant-release voiced bilabial stop consonant	+	+	bz	◌b ◌ˢ							
bʲ	palatalized voiced bilabial stop consonant		+	bʲ	◌b ◌ʲ							
bʷ	labialized voiced bilabial stop consonant		+	bʷ	◌b ◌ʷ							
bː	long voiced bilabial stop consonant		+	bː	◌b ◌ː							
b̰	creaky voiced bilabial stop consonant	+	+	b̰	◌b ◌̰							
bβ	voiced bilabial affricate consonant		+	bβ	◌b ◌β							
c	voiceless palatal stop consonant		+	c	◌c							
cç	voiceless palatal affricate consonant		+	cç	◌c ◌c ◌̧							
cʰ	aspirated voiceless palatal stop consonant		+	cʰ	◌c ◌ʰ							
cʼ	voiceless palatal ejective stop consonant		+	cʼ	◌c ◌ʼ							
ç	voiceless palatal sibilant fricative consonant		+	ç	◌c ◌̧							
c̰	creaky voiceless palatal stop consonant	+	+	c̰	◌c ◌̰							
d	voiced alveolar stop consonant		+	d	◌d							
dz	voiced alveolar sibilant affricate consonant		+	dz	◌d ◌z							
dʒ	voiced post-alveolar sibilant affricate consonant		+	dʒ	◌d ◌ʒ							
dʰ	aspirated voiced alveolar stop consonant		+	dʰ	◌d ◌ʰ							
dʲ	palatalized voiced alveolar stop consonant		+	dʲ	◌d ◌ʲ							
dː	long voiced alveolar stop consonant		+	dː	◌d ◌ː							
d̪	voiced dental stop consonant		+	d̪	◌d ◌̪							
d̪ʰ	aspirated voiced dental stop consonant	+	+	d̪ʰ	◌d ◌̪ ◌ʰ							
d̰	creaky voiced alveolar stop consonant		+	d̰	◌d ◌̰							
e	unrounded close-mid front vowel		+	e	◌e							
eu	from unrounded close-mid front to rounded close back diphthong	+	+	eu	◌e ◌u							
eː	long unrounded close-mid front vowel		+	eː	◌e ◌ː							
ẽ	nasalized unrounded close-mid front vowel		+	ẽ	◌e ◌̃							
ẽː	long nasalized unrounded close-mid front vowel		+	ẽː	◌e ◌̃ ◌ː							
ḛ	creaky unrounded close-mid front vowel		+	ḛ	◌e ◌̰							
ḛ̃	nasalized creaky unrounded close-mid front vowel	+	+	ḛ̃	◌e ◌̰ ◌̃							
f	voiceless labio-dental fricative consonant		+	f	◌f							
fʷ	labialized voiceless labio-dental fricative consonant	+	+	fʷ	◌f ◌ʷ							
h	voiceless glottal fricative consonant		+	h	◌h							
hʲ	palatalized voiceless glottal fricative consonant	+	+	hʲ	◌h ◌ʲ							
hʷ	labialized voiceless glottal fricative consonant	+	+	hʷ	◌h ◌ʷ							
h̃	nasalized voiceless glottal fricative consonant		+	h̃	◌h ◌̃							
i	unrounded close front vowel		+	i	◌i							
iː	long unrounded close front vowel		+	iː	◌i ◌ː							
ĩ	nasalized unrounded close front vowel		+	ĩ	◌i ◌̃							
ĩː	long nasalized unrounded close front vowel		+	ĩː	◌i ◌̃ ◌ː							
ḭ	creaky unrounded close front vowel		+	ḭ	◌i ◌̰							
ḭ̃	nasalized creaky unrounded close front vowel	+	+	ḭ̃	◌i ◌̰ ◌̃							
j	voiced palatal approximant consonant		+	j	◌j							
jʼ	voiced palatal ejective approximant consonant	+	+	jʼ	◌j ◌ʼ							
jː	long voiced palatal approximant consonant		+	jː	◌j ◌ː							
j̃	nasalized voiced palatal approximant consonant		+	j̃	◌j ◌̃							
j̊	devoiced voiced palatal approximant consonant		+	j̥	◌j ◌̊							
j̰	creaky voiced palatal approximant consonant	+	+	j̰	◌j ◌̰							
k	voiceless velar stop consonant		+	k	◌k							
kˡ	with-lateral-release voiceless velar stop consonant	+	+	kl	◌k ◌ˡ							
kp	voiceless velar-and-bilabial stop consonant		+	kp	◌k ◌p							
kʰ	aspirated voiceless velar stop consonant		+	kʰ	◌k ◌ʰ							
kʲ	palatalized voiceless velar stop consonant		+	kʲ	◌k ◌ʲ							
kʲʰ	palatalized aspirated voiceless velar stop consonant	+	+	kʲʰ	◌k ◌ʲ ◌ʰ							
kʼʲ	palatalized voiceless velar ejective stop consonant	+	+	kʲʼ	◌k ◌ʼ ◌ʲ							
kʷ	labialized voiceless velar stop consonant		+	kʷ	◌k ◌ʷ							
kʲʷ	palatalized labialized voiceless velar stop consonant	+	+	kʷʲ	◌k ◌ʲ ◌ʷ							
kʼʷ	labialized voiceless velar ejective stop consonant		+	kʷʼ	◌k ◌ʼ ◌ʷ							
kʷː	labialized long voiceless velar stop consonant		+	kʷː	◌k ◌ʷ ◌ː							
k̰ʷ	labialized creaky voiceless velar stop consonant	+	+	kʷ̰	◌k ◌̰ ◌ʷ							
k̰ʷ	labialized creaky voiceless velar stop consonant	+	+	kʷ◌̰	◌k ◌̰ ◌ʷ							
kʼ	voiceless velar ejective stop consonant		+	kʼ	◌k ◌ʼ							
kː	long voiceless velar stop consonant		+	kː	◌k ◌ː							
kx	voiceless velar affricate consonant		+	kˣ	◌k ◌x							
k̰	creaky voiceless velar stop consonant	+	+	k̰	◌k ◌̰							
