BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	pʃʰ	<NA>						1	
<NA>	<NA>		+	pʲʰ	<NA>						2	
z̻	voiced laminal alveolar sibilant fricative consonant		+	z̻	◌z ◌̻						1	
<NA>	<NA>		+	ʊai	<NA>						1	
a	unrounded open front vowel		+	a	◌a						1	
ai	from unrounded open front to unrounded close front diphthong	+	+	ai	◌a ◌i						2	
au	from unrounded open front to rounded close back diphthong	+	+	au	◌a ◌u						1	
aː	long unrounded open front vowel		+	aː	◌a ◌ː						3	
ã	nasalized unrounded open front vowel		+	ã	◌a ◌̃						1	
b	voiced bilabial stop consonant		+	b	◌b						64	
bʰ	aspirated voiced bilabial stop consonant		+	bʰ	◌b ◌ʰ						1	
bʱ	breathy voiced bilabial stop consonant		+	bʱ	◌b ◌ʱ						1	
bʷ	labialized voiced bilabial stop consonant		+	bʷ	◌b ◌ʷ						1	
bˤ	pharyngealized voiced bilabial stop consonant	+	+	bˤ	◌b ◌ˤ						1	
bʱ	breathy voiced bilabial stop consonant		+	b̤	◌b ◌ʱ						1	
c	voiceless palatal stop consonant		+	c	◌c						9	
cç	voiceless palatal affricate consonant		+	cç	◌c ◌c ◌̧						1	
cʰ	aspirated voiceless palatal stop consonant		+	cʰ	◌c ◌ʰ						1	
d	voiced alveolar stop consonant		+	d	◌d						54	
dz	voiced alveolar sibilant affricate consonant		+	dz	◌d ◌z						10	
dzʱ	breathy voiced alveolar sibilant affricate consonant	+	+	dzʱ	◌d ◌z ◌ʱ						1	
dzʲ	palatalized voiced alveolar sibilant affricate consonant	+	+	dzʲ	◌d ◌z ◌ʲ						1	
dʱ	breathy voiced alveolar stop consonant		+	dʱ	◌d ◌ʱ						1	
dʲ	palatalized voiced alveolar stop consonant		+	dʲ	◌d ◌ʲ						2	
dˤ	pharyngealized voiced alveolar stop consonant		+	dˤ	◌d ◌ˤ						5	
dʒ	voiced post-alveolar sibilant affricate consonant		+	d̠ʒ	◌d ◌ʒ						75	
dʒʱ	breathy voiced post-alveolar sibilant affricate consonant		+	d̠̤ʒ̤	◌d ◌ʒ ◌ʱ						1	
dʱ	breathy voiced alveolar stop consonant		+	d̤	◌d ◌ʱ						1	
dzʱ	breathy voiced alveolar sibilant affricate consonant	+	+	d̤z̤	◌d ◌z ◌ʱ						1	
dɮʱ	breathy voiced alveolar lateral affricate consonant	+	+	d̤ɮ̤	◌d ◌ɮ ◌ʱ						1	
d̪	voiced dental stop consonant		+	d̪	◌d ◌̪						3	
e	unrounded close-mid front vowel		+	e	◌e						25	
eː	long unrounded close-mid front vowel		+	eː	◌e ◌ː						4	
f	voiceless labio-dental fricative consonant		+	f	◌f						148	
fʲ	palatalized voiceless labio-dental fricative consonant		+	fʲ	◌f ◌ʲ						3	
fː	long voiceless labio-dental fricative consonant		+	fː	◌f ◌ː						1	
h	voiceless glottal fricative consonant		+	h	◌h						64	
hʷ	labialized voiceless glottal fricative consonant	+	+	hʷ	◌h ◌ʷ						1	
iː	long unrounded close front vowel		+	iː	◌i ◌ː						2	
ĩ	nasalized unrounded close front vowel		+	ĩ	◌i ◌̃						1	
j	voiced palatal approximant consonant		+	j	◌j						19	
k	voiceless velar stop consonant		+	k	◌k						19	
kp	voiceless velar-and-bilabial stop consonant		+	kp	◌k ◌p						3	
kʰ	aspirated voiceless velar stop consonant		+	kʰ	◌k ◌ʰ						5	
kʲ	palatalized voiceless velar stop consonant		+	kʲ	◌k ◌ʲ						1	
kʷ	labialized voiceless velar stop consonant		+	kʷ	◌k ◌ʷ						1	
kʼ	voiceless velar ejective stop consonant		+	kʼ	◌k ◌ʼ						1	
l	voiced alveolar lateral approximant consonant		+	l	◌l						43	
l̥	devoiced voiced alveolar lateral approximant consonant		+	l̥	◌l ◌̥						1	
l̪ˤ	pharyngealized voiced dental lateral approximant consonant	+	+	l̪ˤ	◌l ◌̪ ◌ˤ						1	
m	voiced bilabial nasal consonant		+	m	◌m						3	
ⁿb	pre-nasalized voiced bilabial stop consonant		+	mb	◌ⁿ ◌b						5	
ⁿbʷ	pre-nasalized labialized voiced bilabial stop consonant	+	+	mbʷ	◌ⁿ ◌b ◌ʷ						1	
ⁿp	pre-nasalized voiceless bilabial stop consonant		+	mp	◌ⁿ ◌p						1	
mʱ	breathy voiced bilabial nasal consonant		+	m̤	◌m ◌ʱ						1	
n	voiced alveolar nasal consonant		+	n	◌n						4	
ⁿd	pre-nasalized voiced alveolar stop consonant		+	nd	◌ⁿ ◌d						4	
ⁿdˡ	pre-nasalized with-lateral-release voiced alveolar stop consonant	+	+	ndl	◌ⁿ ◌d ◌ˡ						1	
ⁿdʒ	pre-nasalized voiced post-alveolar affricate consonant		+	n̠d̠ʒ	◌ⁿ ◌d ◌ʒ						5	
ⁿtʃ	pre-nasalized voiceless post-alveolar sibilant affricate consonant		+	n̠t̠ʃ	◌ⁿ ◌t ◌ʃ						2	
nʱ	breathy voiced alveolar nasal consonant	+	+	n̤	◌n ◌ʱ						1	
ⁿdɮʱ	pre-nasalized breathy voiced alveolar lateral affricate consonant	+	+	n̤d̤ɮ̤	◌ⁿ ◌d ◌ɮ ◌ʱ						1	
n̪	voiced dental nasal consonant		+	n̪	◌n ◌̪						2	
n̪ˤ	pharyngealized voiced dental nasal consonant	+	+	n̪ˤ	◌n ◌̪ ◌ˤ						1	
ⁿdz̺	pre-nasalized voiced apical alveolar sibilant affricate consonant	+	+	n̺d̺z̺	◌ⁿ ◌d ◌z ◌̺						1	
o	rounded close-mid back vowel		+	o	◌o						31	
oː	long rounded close-mid back vowel		+	oː	◌o ◌ː						6	
õ	nasalized rounded close-mid back vowel		+	õ	◌o ◌̃						1	
o̞	rounded mid back vowel		+	o̞	◌o ◌̞						1	
p	voiceless bilabial stop consonant		+	p	◌p						48	
pʰ	aspirated voiceless bilabial stop consonant		+	pʰ	◌p ◌ʰ						8	
pʲ	palatalized voiceless bilabial stop consonant		+	pʲ	◌p ◌ʲ						2	
pʷ	labialized voiceless bilabial stop consonant		+	pʷ	◌p ◌ʷ						1	
pʷʰ	labialized aspirated voiceless bilabial stop consonant	+	+	pʷʰ	◌p ◌ʷ ◌ʰ						1	
pʼʷ	labialized voiceless bilabial ejective stop consonant	+	+	pʷʼ	◌p ◌ʼ ◌ʷ						1	
pʼ	voiceless bilabial ejective stop consonant		+	pʼ	◌p ◌ʼ						2	
pˤ	pharyngealized voiceless bilabial stop consonant	+	+	pˤ	◌p ◌ˤ						2	
q	voiceless uvular stop consonant		+	q	◌q						12	
qʰ	aspirated voiceless uvular stop consonant		+	qʰ	◌q ◌ʰ						1	
qʼʷ	labialized voiceless uvular ejective stop consonant		+	qʷʼ	◌q ◌ʼ ◌ʷ						1	
qʼ	voiceless uvular ejective stop consonant		+	qʼ	◌q ◌ʼ						1	
qː	long voiceless uvular stop consonant	+	+	qː	◌q ◌ː						1	
r	voiced alveolar trill consonant		+	r	◌r						52	
rʲ	palatalized voiced alveolar trill consonant		+	rʲ	◌r ◌ʲ						4	
rː	long voiced alveolar trill consonant		+	rː	◌r ◌ː						1	
r̝	raised voiced alveolar trill consonant	+	+	r̝	◌r ◌̝						1	
s	voiceless alveolar sibilant fricative consonant		+	s	◌s						34	
sʲ	palatalized voiceless alveolar sibilant fricative consonant		+	sʲ	◌s ◌ʲ						1	
sʷ	labialized voiceless alveolar sibilant fricative consonant	+	+	sʷ	◌s ◌ʷ						1	
sʼ	voiceless alveolar ejective sibilant fricative consonant		+	sʼ	◌s ◌ʼ						1	
sˠ	velarized voiceless alveolar sibilant fricative consonant		+	sˠ	◌s ◌ˠ						1	
