BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	cʎ̝̥ʼ	<NA>	https://en.wikipedia.org/wiki/Palatal_lateral_ejective_affricate		Palatal_lateral_ejective_affricate				
<NA>	<NA>		+	dɹ̝	<NA>	https://en.wikipedia.org/wiki/Voiced_alveolar_affricate		Voiced_alveolar_affricate				
<NA>	<NA>		+	d̠ʑ	<NA>	https://en.wikipedia.org/wiki/Voiceless_alveolo-palatal_sibilant_affricate		Voiceless_alveolo-palatal_sibilant_affricate				
<NA>	<NA>		+	kʟ̝̊ʼ	<NA>	https://en.wikipedia.org/wiki/Velar_lateral_ejective_affricate		Velar_lateral_ejective_affricate				
<NA>	<NA>		+	tɹ̝̊	<NA>	https://en.wikipedia.org/wiki/Voiceless_alveolar_affricate		Voiceless_alveolar_affricate				
<NA>	<NA>		+	t̠ɕ	<NA>	https://en.wikipedia.org/wiki/Voiceless_alveolo-palatal_sibilant_affricate		Voiceless_alveolo-palatal_sibilant_affricate				
<NA>	<NA>		+	ɢ̆	<NA>	https://en.wikipedia.org/wiki/Uvular_flap		Uvular_flap				
<NA>	<NA>		+	ɭ̊˔	<NA>	https://en.wikipedia.org/wiki/Voiceless_retroflex_lateral_fricative		Voiceless_retroflex_lateral_fricative				
<NA>	<NA>		+	ɺ̢	<NA>	https://en.wikipedia.org/wiki/Retroflex_lateral_flap		Retroflex_lateral_flap				
<NA>	<NA>		+	ɻ˔	<NA>	https://en.wikipedia.org/wiki/Voiced_retroflex_non-sibilant_fricative		Voiced_retroflex_non-sibilant_fricative				
<NA>	<NA>		+	ɽɽ	<NA>	https://en.wikipedia.org/wiki/Retroflex_trill		Retroflex_trill				
<NA>	<NA>		+	ɽ̊ɽ̊	<NA>	https://en.wikipedia.org/wiki/Voiceless_retroflex_trill		Voiceless_retroflex_trill				
<NA>	<NA>		+	ʎ̥˔	<NA>	https://en.wikipedia.org/wiki/Voiceless_palatal_lateral_fricative		Voiceless_palatal_lateral_fricative				
<NA>	<NA>		+	ʎ̮	<NA>	https://en.wikipedia.org/wiki/Palatal_lateral_flap		Palatal_lateral_flap				
<NA>	<NA>		+	ʟ̆	<NA>	https://en.wikipedia.org/wiki/Velar_lateral_flap		Velar_lateral_flap				
<NA>	<NA>		+	ʡ̮	<NA>	https://en.wikipedia.org/wiki/Epiglottal_flap		Epiglottal_flap				
a	unrounded open front vowel		+	a	◌a	https://en.wikipedia.org/wiki/Open_front_unrounded_vowel		Open_front_unrounded_vowel				
b	voiced bilabial stop consonant		+	b	◌b	https://en.wikipedia.org/wiki/Voiced_bilabial_stop		Voiced_bilabial_stop				
b̪	voiced labio-dental stop consonant		+	b̪	◌b ◌̪	https://en.wikipedia.org/wiki/Voiced_labiodental_stop		Voiced_labiodental_stop				
bv	voiced labio-dental affricate consonant		+	b̪v	◌b ◌v	https://en.wikipedia.org/wiki/Voiced_labiodental_affricate		Voiced_labiodental_affricate				
bβ	voiced bilabial affricate consonant		+	bβ	◌b ◌β	https://en.wikipedia.org/wiki/Voiced_bilabial_affricate		Voiced_bilabial_affricate				
c	voiceless palatal stop consonant		+	c	◌c	https://en.wikipedia.org/wiki/Voiceless_palatal_stop#Palatal_or_alveolo-palatal		Voiceless_palatal_stop#Palatal_or_alveolo-palatal				
cç	voiceless palatal affricate consonant		+	cç	◌c ◌c ◌̧	https://en.wikipedia.org/wiki/Voiceless_palatal_affricate		Voiceless_palatal_affricate				
d	voiced alveolar stop consonant		+	d	◌d	https://en.wikipedia.org/wiki/Voiced_dental_and_alveolar_stops#Alveolar		Voiced_dental_and_alveolar_stops#Alveolar				
dz	voiced alveolar sibilant affricate consonant		+	dz	◌d ◌z	https://en.wikipedia.org/wiki/Voiced_alveolar_sibilant_affricate		Voiced_alveolar_sibilant_affricate				
