GRAPHEME	PHONATION	PLACE	MANNER	ALIAS	EXTRA	NOTE
!	voiceless	alveolar	click			
l	voiced	alveolar	approximant		airstream:lateral	l
lh	voiced	alveolar	approximant		aspiration:aspirated,airstream:lateral	l
lw	voiced	alveolar	approximant		labialization:labialized,airstream:lateral	l
lwh	voiced	alveolar	approximant		aspiration:aspirated,labialization:labialized,airstream:lateral	l
n	voiced	alveolar	nasal			n
nh	voiced	alveolar	nasal		aspiration:aspirated	n
nw	voiced	alveolar	nasal		labialization:labialized	n
nwh	voiced	alveolar	nasal		aspiration:aspirated,labialization:labialized	n
c	voiceless	alveolar	affricate		airstream:sibilant	ts dz
ch	voiceless	alveolar	affricate		aspiration:aspirated,airstream:sibilant	ts dz
cw	voiceless	alveolar	affricate		labialization:labialized,airstream:sibilant	ts dz
cwh	voiceless	alveolar	affricate		airstream:sibilant,aspiration:aspirated,labialization:labialized	ts dz
s	voiceless	alveolar	fricative		airstream:sibilant	s
z	voiced	alveolar	fricative		airstream:sibilant	z
sh	voiceless	alveolar	fricative		aspiration:aspirated,airstream:sibilant	s
zh	voiced	alveolar	fricative		aspiration:aspirated,airstream:sibilant	z
sw	voiceless	alveolar	fricative		labialization:labialized,airstream:sibilant	s
zw	voiced	alveolar	fricative		labialization:labialized,airstream:sibilant	z
swh	voiceless	alveolar	fricative		airstream:sibilant,aspiration:aspirated,labialization:labialized	s
zwh	voiced	alveolar	fricative		airstream:sibilant,aspiration:aspirated,labialization:labialized	z
t	voiceless	alveolar	stop			t
d	voiced	alveolar	stop			d
th	voiceless	alveolar	stop		aspiration:aspirated	t
dh	voiced	alveolar	stop		aspiration:aspirated	d
tw	voiceless	alveolar	stop		labialization:labialized	t
dw	voiced	alveolar	stop		labialization:labialized	d
twh	voiceless	alveolar	stop		aspiration:aspirated,labialization:labialized	t
dwh	voiced	alveolar	stop		aspiration:aspirated,labialization:labialized	d
r	voiced	alveolar	trill			r
rh	voiced	alveolar	trill		aspiration:aspirated	r
rw	voiced	alveolar	trill		labialization:labialized	r
rwh	voiced	alveolar	trill		aspiration:aspirated,labialization:labialized	r
m	voiced	bilabial	nasal			m
mh	voiced	bilabial	nasal		aspiration:aspirated	m
mw	voiced	bilabial	nasal		labialization:labialized	m
mwh	voiced	bilabial	nasal		aspiration:aspirated,labialization:labialized	m
p	voiceless	bilabial	stop			p, ɸ
b	voiced	bilabial	stop			b
ph	voiceless	bilabial	stop		aspiration:aspirated	pʰ
bh	voiced	bilabial	stop		aspiration:aspirated	b
pw	voiceless	bilabial	stop		labialization:labialized	pʰ
bw	voiced	bilabial	stop		labialization:labialized	b
pwh	voiceless	bilabial	stop		aspiration:aspirated,labialization:labialized	pʰ
bwh	voiced	bilabial	stop		aspiration:aspirated,labialization:labialized	b
8	voiceless	dental	fricative			Ɵ ð
8h	voiceless	dental	fricative		aspiration:aspirated	Ɵ ð
8w	voiceless	dental	fricative		labialization:labialized	Ɵ ð
8wh	voiceless	dental	fricative		aspiration:aspirated,labialization:labialized	Ɵ ð
4	voiced	dental	nasal			n̪
4h	voiced	dental	nasal		aspiration:aspirated	n̪
4w	voiced	dental	nasal		labialization:labialized	n̪
4wh	voiced	dental	nasal		aspiration:aspirated,labialization:labialized	n̪
h	voiceless	glottal	fricative			h ɦ
hh	voiceless	glottal	fricative		aspiration:aspirated	h ɦ
hw	voiceless	glottal	fricative		labialization:labialized	h ɦ
hwh	voiceless	glottal	fricative		aspiration:aspirated,labialization:labialized	h ɦ
7	voiceless	glottal	stop			ʔ
7h	voiceless	glottal	stop		aspiration:aspirated	ʔ
7w	voiceless	glottal	stop		labialization:labialized	ʔ
7wh	voiceless	glottal	stop		aspiration:aspirated,labialization:labialized	ʔ
w	voiced	labio-velar	approximant			w
wh	voiced	labio-velar	approximant		aspiration:aspirated	w
ww	voiced	labio-velar	approximant		labialization:labialized	w
wwh	voiced	labio-velar	approximant		aspiration:aspirated,labialization:labialized	w
f	voiceless	labio-dental	fricative			f
v	voiced	labio-dental	fricative			v
fh	voiceless	labio-dental	fricative		aspiration:aspirated	f
vh	voiced	labio-dental	fricative		aspiration:aspirated	v
fw	voiceless	labio-dental	fricative		labialization:labialized	f
vw	voiced	labio-dental	fricative		labialization:labialized	v
fwh	voiceless	labio-dental	fricative		aspiration:aspirated,labialization:labialized	f
vwh	voiced	labio-dental	fricative		aspiration:aspirated,labialization:labialized	v
y	voiced	palatal	approximant			j
yh	voiced	palatal	approximant		aspiration:aspirated	j
yw	voiced	palatal	approximant		labialization:labialized	j
ywh	voiced	palatal	approximant		aspiration:aspirated,labialization:labialized	j
5	voiced	palatal	nasal			ɲ
5h	voiced	palatal	nasal		aspiration:aspirated	ɲ
5w	voiced	palatal	nasal		labialization:labialized	ɲ
5wh	voiced	palatal	nasal		aspiration:aspirated,labialization:labialized	ɲ
T	voiceless	palatal	stop			c Ɉ
Th	voiceless	palatal	stop		aspiration:aspirated	c Ɉ
Tw	voiceless	palatal	stop		labialization:labialized	c Ɉ
Twh	voiceless	palatal	stop		aspiration:aspirated,labialization:labialized	c Ɉ
C	voiceless	post-alveolar	affricate		airstream:sibilant	tʃ
j	voiced	post-alveolar	affricate		airstream:sibilant	dʒ
Ch	voiceless	post-alveolar	affricate		aspiration:aspirated,airstream:sibilant	tʃ
jh	voiced	post-alveolar	affricate		aspiration:aspirated,airstream:sibilant	dʒ
Cw	voiceless	post-alveolar	affricate		labialization:labialized,airstream:sibilant	tʃ
jw	voiced	post-alveolar	affricate		labialization:labialized,airstream:sibilant	dʒ
Cwh	voiceless	post-alveolar	affricate		airstream:sibilant,aspiration:aspirated,labialization:labialized	tʃ
jwh	voiced	post-alveolar	affricate		airstream:sibilant,aspiration:aspirated,labialization:labialized	dʒ
S	voiceless	post-alveolar	fricative		airstream:sibilant	ʃ
Z	voiced	post-alveolar	fricative		airstream:sibilant	ʒ
Sh	voiceless	post-alveolar	fricative		aspiration:aspirated,airstream:sibilant	ʃ
Zh	voiced	post-alveolar	fricative		aspiration:aspirated,airstream:sibilant	ʒ
Sw	voiceless	post-alveolar	fricative		labialization:labialized,airstream:sibilant	ʃ
Zw	voiced	post-alveolar	fricative		labialization:labialized,airstream:sibilant	ʒ
Swh	voiceless	post-alveolar	fricative		airstream:sibilant,aspiration:aspirated,labialization:labialized	ʃ
Zwh	voiced	post-alveolar	fricative		airstream:sibilant,aspiration:aspirated,labialization:labialized	ʒ
X	voiceless	uvular	fricative			χ ʁ ħ ʕ
Xh	voiceless	uvular	fricative		aspiration:aspirated	χ ʁ ħ ʕ
Xw	voiceless	uvular	fricative		labialization:labialized	χ ʁ ħ ʕ
Xwh	voiceless	uvular	fricative		aspiration:aspirated,labialization:labialized	χ ʁ ħ ʕ
q	voiceless	uvular	stop			q
G	voiced	uvular	stop			ɢ
qh	voiceless	uvular	stop		aspiration:aspirated	q
Gh	voiced	uvular	stop		aspiration:aspirated	ɢ
qw	voiceless	uvular	stop		labialization:labialized	q
Gw	voiced	uvular	stop		labialization:labialized	ɢ
qwh	voiceless	uvular	stop		aspiration:aspirated,labialization:labialized	q
Gwh	voiced	uvular	stop		aspiration:aspirated,labialization:labialized	ɢ
x	voiceless	velar	fricative			x ɣ
xh	voiceless	velar	fricative		aspiration:aspirated	x ɣ
xw	voiceless	velar	fricative		labialization:labialized	x ɣ
xwh	voiceless	velar	fricative		aspiration:aspirated,labialization:labialized	x ɣ
L	voiced	velar	approximant		airstream:lateral	L ɭ ʎ
Lh	voiced	velar	approximant		aspiration:aspirated,airstream:lateral	L ɭ ʎ
Lw	voiced	velar	approximant		labialization:labialized,airstream:lateral	L ɭ ʎ
Lwh	voiced	velar	approximant		aspiration:aspirated,labialization:labialized,airstream:lateral	L ɭ ʎ
N	voiced	velar	nasal			ŋ
Nh	voiced	velar	nasal		aspiration:aspirated	ŋ
Nw	voiced	velar	nasal		labialization:labialized	ŋ
Nwh	voiced	velar	nasal		aspiration:aspirated,labialization:labialized	ŋ
k	voiceless	velar	stop			k
g	voiced	velar	stop			g
kh	voiceless	velar	stop		aspiration:aspirated	k
gh	voiced	velar	stop		aspiration:aspirated	g
kw	voiceless	velar	stop		labialization:labialized	k
gw	voiced	velar	stop		labialization:labialized	g
kwh	voiceless	velar	stop		aspiration:aspirated,labialization:labialized	k
gwh	voiced	velar	stop		aspiration:aspirated,labialization:labialized	g
