BIPA	GRAPHEME	COUNT	SYMBOLS
<NA>	66	1	
a	a	9	◌a
ai	ai	1	◌a ◌i
ao	ao	3	◌a ◌o
ã	ã	5	◌a ◌̃
ão	ão	2	◌a ◌̃ ◌o
b	b	1	◌b
c	c	1	◌c
cʰ	cʰ	1	◌c ◌ʰ
d	d	2	◌d
dz	dz	1	◌d ◌z
dʑ	dʑ	2	◌d ◌ʑ
e	e	9	◌e
ẽ	ẽ	5	◌e ◌̃
f	f	9	◌f
g	g	2	◌g
i	i	9	◌i
ia	ia	8	◌i ◌a
iã	iã	4	◌i ◌a ◌̃
iɔ	iɔ	4	◌i ◌ɔ
iɔ̃	iɔ̃	1	◌i ◌ɔ ◌̃
iɛ	iɛ	9	◌i ◌ɛ
iɛ̃	iɛ̃	5	◌i ◌ɛ ◌̃
iɯ	iɯ	2	◌i ◌ɯ
iɯ̃	iɯ̃	2	◌i ◌ɯ ◌̃
ĩ	ĩ	5	◌i ◌̃
j	j	9	◌j
k	k	9	◌k
kʰ	kʰ	9	◌k ◌ʰ
kʲ	kʲ	3	◌k ◌ʲ
kʲʰ	kʲʰ	1	◌k ◌ʲ ◌ʰ
l	l	9	◌l
m	m	9	◌m
n	n	9	◌n
o	o	9	◌o
ou	ou	3	◌o ◌u
õ	õ	5	◌o ◌̃
õu	õu	3	◌o ◌̃ ◌u
p	p	9	◌p
pʰ	pʰ	9	◌p ◌ʰ
q	q	1	◌q
qʰ	qʰ	1	◌q ◌ʰ
s	s	9	◌s
s	s	1	◌s
sʰ	sʰ	1	◌s ◌ʰ
t	t	9	◌t
ts	ts	9	◌t ◌s
tsʰ	tsʰ	10	◌t ◌s ◌ʰ
tɕ	tɕ	9	◌t ◌ɕ
tɕʰ	tɕʰ	8	◌t ◌ɕ ◌ʰ
tʃ	tʃ	2	◌t ◌ʃ
tʃʰ	tʃʰ	2	◌t ◌ʃ ◌ʰ
tʰ	tʰ	9	◌t ◌ʰ
u	u	9	◌u
ua	ua	9	◌u ◌a
uã	uã	5	◌u ◌a ◌̃
ue	ue	10	◌u ◌e
uẽ	uẽ	5	◌u ◌e ◌̃
uɔ	uɔ	7	◌u ◌ɔ
uɔ̃	uɔ̃	4	◌u ◌ɔ ◌̃
uɛ	uɛ	9	◌u ◌ɛ
uɛ̃	uɛ̃	4	◌u ◌ɛ ◌̃
ũ	ũ	5	◌u ◌̃
v	v	8	◌v
v̩	v̩	7	◌v ◌̩
ṽ̩	ṽ̩	3	◌v ◌̩ ◌̃
w	w	9	◌w
x	x	8	◌x
xʰ	xʰ	1	◌x ◌ʰ
y	y	9	◌y
yɛ	yɛ	1	◌y ◌ɛ
ỹ	ỹ	5	◌y ◌̃
z	z	7	◌z
²¹	21	9	◌² ◌¹
³²	32	2	◌³ ◌²
³³	33	9	◌³ ◌³
³¹	31	9	◌³ ◌¹
³⁵	35	9	◌³ ◌⁵
æ	æ	1	◌æ
æ̃	æ̃	1	◌æ ◌̃
ŋ	ŋ	9	◌ŋ
ȵ	ȵ	5	◌ȵ
ɔ	ɔ	8	◌ɔ
ɔu	ɔu	1	◌ɔ ◌u
ɔ̃	ɔ̃	4	◌ɔ ◌̃
ɔ̃u	ɔ̃u	1	◌ɔ ◌̃ ◌u
ɕ	ɕ	9	◌ɕ
ɕʰ	ɕʰ	1	◌ɕ ◌ʰ
ɖ	ɖ	1	◌ɖ
ɖʐ	dʐ	1	◌ɖ ◌ʐ
ɛ	ɛ	9	◌ɛ
ɛ̃	ɛ̃	5	◌ɛ ◌̃
ɣ	ɣ	7	◌ɣ
ɥ	ɥ	1	◌ɥ
ɯ	ɯ	9	◌ɯ
ɯ̃	ɯ̃	4	◌ɯ ◌̃
ɴ	ɴ	1	◌ɴ
ɴ̥	ɴ̥	1	◌ɴ ◌̥
ɿ	ɿ	7	◌ɿ
ʁ	ʁ	1	◌ʁ
ʂ	ʂ	2	◌ʂ
ʃ	ʃ	1	◌ʃ
ʈ	ʈ	1	◌ʈ
ʈʂ	tʂ	2	◌ʈ ◌ʂ
ʈʂʰ	tʂʰ	2	◌ʈ ◌ʂ ◌ʰ
ʈʰ	ʈʰ	1	◌ʈ ◌ʰ
ʊ	ʊ	1	◌ʊ
ʊ̃	ʊ̃	1	◌ʊ ◌̃
ʐ	ʐ	3	◌ʐ
ʔ	ʔ	1	◌ʔ
ʝ	ʝ	1	◌ʝ
χ	χ	1	◌χ
⁴²	42	8	◌⁴ ◌²
⁴⁴	44	9	◌⁴ ◌⁴
⁵²	52	1	◌⁵ ◌²
⁵⁵	55	9	◌⁵ ◌⁵
