BIPA	GRAPHEME	URL	FEATURES	SYMBOLS
ⁿb	<sup>m</sup>b	http://apics-online.info/parameters/231	prenasalized voiced bilabial plosive	◌ⁿ ◌b
ⁿp	<sup>m</sup>p	http://apics-online.info/parameters/236	prenasalized voiceless bilabial plosive	◌ⁿ ◌p
ⁿv	<sup>m</sup>v	http://apics-online.info/parameters/241	prenasalized voiced labiodental fricative	◌ⁿ ◌v
ⁿw	<sup>m</sup>w	http://apics-online.info/parameters/246	prenasalized voiced labial-velar glide	◌ⁿ ◌w
ⁿg	<sup>ŋ</sup>g	http://apics-online.info/parameters/235	prenasalized voiced velar plosive	◌ⁿ ◌g
ⁿk	<sup>ŋ</sup>k	http://apics-online.info/parameters/239	prenasalized voiceless velar plosive	◌ⁿ ◌k
ⁿx	<sup>ŋ</sup>x	http://apics-online.info/parameters/245	prenasalized voiceless velar fricative	◌ⁿ ◌x
ⁿc	<sup>ɲ</sup>c	http://apics-online.info/parameters/238	prenasalized voiceless palatal plosive	◌ⁿ ◌c
ⁿɟ	<sup>ɲ</sup>ɟ	http://apics-online.info/parameters/234	prenasalized voiced palatal plosive	◌ⁿ ◌ɟ
a	a	http://apics-online.info/parameters/256	low central unrounded vowel	◌a
ai	ai	http://apics-online.info/parameters/295	diphthong falling from low central unrounded vowel to high front unrounded vowel	◌a ◌i
au	au	http://apics-online.info/parameters/301	diphthong falling from low central unrounded vowel to to high back rounded vowel	◌a ◌u
aː	aː	http://apics-online.info/parameters/278	long low central unrounded vowel	◌a ◌ː
ã	ã	http://apics-online.info/parameters/288	nasalized low central unrounded vowel	◌a ◌̃
b	b	http://apics-online.info/parameters/132	voiced bilabial plosive	◌b
bʰ	bʰ	http://apics-online.info/parameters/157	voiced aspirated bilabial plosive	◌b ◌ʰ
bː	bː	http://apics-online.info/parameters/224	geminate voiced bilabial plosive	◌b ◌ː
c	c	http://apics-online.info/parameters/145	voiceless palatal plosive	◌c
d	d	http://apics-online.info/parameters/134	voiced dental/alveolar plosive	◌d
dʰ	dʰ	http://apics-online.info/parameters/159	voiced aspirated dental/alveolar plosive	◌d ◌ʰ
dː	dː	http://apics-online.info/parameters/226	geminate voiced dental/alveolar plosive	◌d ◌ː
d̪	d̪	http://apics-online.info/parameters/136	voiced interdental plosive	◌d ◌̪
dz	d͡z	http://apics-online.info/parameters/138	voiced dental/alveolar sibilant affricate	◌d ◌z
dʒ	d͡ʒ	http://apics-online.info/parameters/140	voiced palato-alveolar sibilant affricate	◌d ◌ʒ
e	e	http://apics-online.info/parameters/253	higher mid front unrounded vowel	◌e
ei	ei	http://apics-online.info/parameters/296	diphthong falling from higher mid front unrounded vowel to high front unrounded vowel	◌e ◌i
eː	eː	http://apics-online.info/parameters/275	long higher mid front unrounded vowel	◌e ◌ː
ẽ	ẽ	http://apics-online.info/parameters/286	nasalized higher mid front unrounded vowel	◌e ◌̃
f	f	http://apics-online.info/parameters/189	voiceless labio-dental fricative	◌f
g	g	http://apics-online.info/parameters/149	voiced velar plosive	◌g
gʰ	gʰ	http://apics-online.info/parameters/165	voiced aspirated velar plosive	◌g ◌ʰ
gʷ	gʷ	http://apics-online.info/parameters/150	labialized voiced velar plosive	◌g ◌ʷ
gː	gː	http://apics-online.info/parameters/228	geminate voiced velar plosive	◌g ◌ː
gb	g͡b	http://apics-online.info/parameters/152	voiced labial-velar plosive	◌g ◌b
h	h	http://apics-online.info/parameters/205	voiceless glottal fricative	◌h
hʷ	hʷ	http://apics-online.info/parameters/206	labialized voiceless glottal fricative	◌h ◌ʷ
i	i	http://apics-online.info/parameters/252	high front unrounded vowel	◌i
iə	iə	http://apics-online.info/parameters/306	diphthong with high front unrounded vowel and nonsyllabic mid central unrounded vowel	◌i ◌ə
iː	iː	http://apics-online.info/parameters/274	long high front unrounded vowel	◌i ◌ː
ĩ	ĩ	http://apics-online.info/parameters/285	nasalized high front unrounded vowel	◌i ◌̃
j	j	http://apics-online.info/parameters/218	voiced palatal glide	◌j
k	k	http://apics-online.info/parameters/147	voiceless velar plosive	◌k
kʰ	kʰ	http://apics-online.info/parameters/163	voiceless aspirated velar plosive	◌k ◌ʰ
kʷʰ	kʰʷ	http://apics-online.info/parameters/164	labialized voiceless aspirated velar plosive	◌k ◌ʷ ◌ʰ
kʷ	kʷ	http://apics-online.info/parameters/148	labialized voiceless velar plosive	◌k ◌ʷ
kʼ	kʼ	http://apics-online.info/parameters/172	voiceless velar ejective plosive	◌k ◌ʼ
kʼʷ	kʼʷ	http://apics-online.info/parameters/173	labialized voiceless velar ejective plosive	◌k ◌ʼ ◌ʷ
kː	kː	http://apics-online.info/parameters/227	geminate voiceless velar plosive	◌k ◌ː
kp	k͡p	http://apics-online.info/parameters/151	voiceless labial-velar plosive	◌k ◌p
l	l	http://apics-online.info/parameters/209	voiced dental/alveolar lateral approximant	◌l
lʲ	lʲ	http://apics-online.info/parameters/211	palatalized voiced lateral approximant	◌l ◌ʲ
lː	lː	http://apics-online.info/parameters/210	geminate voiced lateral approximant	◌l ◌ː
m	m	http://apics-online.info/parameters/178	voiced bilabial nasal	◌m
mː	mː	http://apics-online.info/parameters/229	geminate voiced bilabial nasal	◌m ◌ː
n	n	http://apics-online.info/parameters/179	voiced dental/alveolar nasal	◌n
nː	n:	http://apics-online.info/parameters/230	geminate dental/alveolar nasal	◌n ◌ː
o	o	http://apics-online.info/parameters/258	higher mid back rounded vowel	◌o
oi	oi	http://apics-online.info/parameters/297	diphthong falling from higher mid back rounded vowel to high front unrounded vowel	◌o ◌i
ou	ou	http://apics-online.info/parameters/303	diphthong falling from higher mid back rounded vowel to high back rounded vowel	◌o ◌u
oː	oː	http://apics-online.info/parameters/280	long higher mid back rounded vowel	◌o ◌ː
õ	õ	http://apics-online.info/parameters/290	nasalized higher mid back rounded vowel	◌o ◌̃
p	p	http://apics-online.info/parameters/131	voiceless bilabial plosive	◌p
pʰ	pʰ	http://apics-online.info/parameters/156	voiceless aspirated bilabial plosive	◌p ◌ʰ
pʼ	pʼ	http://apics-online.info/parameters/168	voiceless bilabial ejective plosive	◌p ◌ʼ
pː	pː	http://apics-online.info/parameters/223	geminate voiceless bilabial plosive	◌p ◌ː
q	q	http://apics-online.info/parameters/153	voiceless uvular plosive	◌q
qʰ	qʰ	http://apics-online.info/parameters/166	voiceless aspirated uvular plosive	◌q ◌ʰ
qʷʰ	qʰʷ	http://apics-online.info/parameters/167	labialized voiceless aspirated uvular plosive	◌q ◌ʷ ◌ʰ
qʷ	qʷ	http://apics-online.info/parameters/154	labialized voiceless uvular plosive	◌q ◌ʷ
qʼ	qʼ	http://apics-online.info/parameters/174	voiceless uvular ejective plosive	◌q ◌ʼ
qʼʷ	qʼʷ	http://apics-online.info/parameters/175	labialized voiceless uvular ejective plosive	◌q ◌ʼ ◌ʷ
r	r	http://apics-online.info/parameters/183	voiced dental/alveolar trill	◌r
s	s	http://apics-online.info/parameters/193	voiceless dental/alveolar sibilant fricative	◌s
t	t	http://apics-online.info/parameters/133	voiceless dental/alveolar plosive	◌t
tɬ	tɬ	http://apics-online.info/parameters/213	voiceless lateral affricate	◌t ◌ɬ
tɬʼ	tɬʼ	http://apics-online.info/parameters/214	voiceless lateral ejective affricate	◌t ◌ɬ ◌ʼ
tʰ	tʰ	http://apics-online.info/parameters/158	voiceless aspirated dental/alveolar plosive	◌t ◌ʰ
