GRAPHEME	BIPA	FEATURES	SYMBOLS
b	b	voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:0,rou:0,ten:0,voi:1,con:0,nas:0,str:0	◌b
c	ts	voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:0,con:0,nas:0,str:1	◌t ◌s
d	d	voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:1,con:0,nas:0,str:0	◌d
e	e	voc:1,con:0,hig:0,bac:0,low:0,ant:0,cor:0,rou:0,ten:0,voi:0,con:0,nas:0,str:0	◌e
f	f	voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:0,rou:0,ten:0,voi:0,con:1,nas:0,str:1	◌f
g	g	voc:0,con:1,hig:1,bac:1,low:0,ant:0,cor:0,rou:0,ten:0,voi:1,con:0,nas:0,str:0	◌g
gʷ	gʷ	voc:0,con:1,hig:1,bac:1,low:0,ant:0,cor:0,rou:1,ten:0,voi:1,con:0,nas:0,str:0	◌g ◌ʷ
h	h	voc:0,con:0,hig:0,bac:0,low:1,ant:0,cor:0,rou:0,ten:0,voi:0,con:1,nas:0,str:0	◌h
i	i	voc:1,con:0,hig:1,bac:0,low:0,ant:0,cor:0,rou:0,ten:0,voi:0,con:0,nas:0,str:0	◌i
j	j	voc:0,con:0,hig:1,bac:0,low:0,ant:0,cor:0,rou:0,ten:0,voi:0,con:0,nas:0,str:0	◌j
k	k	voc:0,con:1,hig:1,bac:1,low:0,ant:0,cor:0,rou:0,ten:0,voi:0,con:0,nas:0,str:0	◌k
kʷ	kʷ	voc:0,con:1,hig:1,bac:1,low:0,ant:0,cor:0,rou:1,ten:0,voi:0,con:0,nas:0,str:0	◌k ◌ʷ
l	l	voc:1,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:1,con:1,nas:0,str:0	◌l
m	m	voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:0,rou:0,ten:0,voi:1,con:0,nas:1,str:0	◌m
n	n	voc:0,con:1,hig:0,bac:0,low:0,ant:1,cor:1,rou:0,ten:0,voi:1,con:0,nas:1,str:0	◌n
