BIPA	GRAPHEME	URL	SYMBOLS
<NA>	#	https://chridd.nfshost.com/diachronica/search?q=%23	
<NA>	#_	https://chridd.nfshost.com/diachronica/search?q=%23_	
<NA>	$	https://chridd.nfshost.com/diachronica/search?q=%24	
<NA>	%	https://chridd.nfshost.com/diachronica/search?q=%25	
<NA>	&	https://chridd.nfshost.com/diachronica/search?q=%26	
<NA>	:	https://chridd.nfshost.com/diachronica/search?q=%3a	
<NA>	@	https://chridd.nfshost.com/diachronica/search?q=%40	
<NA>	A	https://chridd.nfshost.com/diachronica/search?q=A	
<NA>	B	https://chridd.nfshost.com/diachronica/search?q=B	
<NA>	C	https://chridd.nfshost.com/diachronica/search?q=C	
<NA>	D	https://chridd.nfshost.com/diachronica/search?q=D	
<NA>	E	https://chridd.nfshost.com/diachronica/search?q=E	
<NA>	F	https://chridd.nfshost.com/diachronica/search?q=F	
<NA>	G	https://chridd.nfshost.com/diachronica/search?q=G	
<NA>	H	https://chridd.nfshost.com/diachronica/search?q=H	
<NA>	I	https://chridd.nfshost.com/diachronica/search?q=I	
<NA>	J	https://chridd.nfshost.com/diachronica/search?q=J	
<NA>	K	https://chridd.nfshost.com/diachronica/search?q=K	
<NA>	L	https://chridd.nfshost.com/diachronica/search?q=L	
<NA>	M	https://chridd.nfshost.com/diachronica/search?q=M	
<NA>	N	https://chridd.nfshost.com/diachronica/search?q=N	
<NA>	O	https://chridd.nfshost.com/diachronica/search?q=O	
<NA>	P	https://chridd.nfshost.com/diachronica/search?q=P	
<NA>	Q	https://chridd.nfshost.com/diachronica/search?q=Q	
<NA>	R	https://chridd.nfshost.com/diachronica/search?q=R	
<NA>	S	https://chridd.nfshost.com/diachronica/search?q=S	
<NA>	T	https://chridd.nfshost.com/diachronica/search?q=T	
<NA>	U	https://chridd.nfshost.com/diachronica/search?q=U	
<NA>	V	https://chridd.nfshost.com/diachronica/search?q=V	
<NA>	W	https://chridd.nfshost.com/diachronica/search?q=W	
<NA>	X	https://chridd.nfshost.com/diachronica/search?q=X	
<NA>	Y	https://chridd.nfshost.com/diachronica/search?q=Y	
<NA>	Z	https://chridd.nfshost.com/diachronica/search?q=Z	
<NA>	_#	https://chridd.nfshost.com/diachronica/search?q=_%23	
<NA>	n̲	https://chridd.nfshost.com/diachronica/search?q=n%cc%b2	
<NA>	n̲ː	https://chridd.nfshost.com/diachronica/search?q=n%cc%b2%cb%90	
<NA>	r̀	https://chridd.nfshost.com/diachronica/search?q=r%cc%80	
<NA>	ŕ	https://chridd.nfshost.com/diachronica/search?q=r%cc%81	
<NA>	r̲	https://chridd.nfshost.com/diachronica/search?q=r%cc%b2	
<NA>	ś	https://chridd.nfshost.com/diachronica/search?q=s%cc%81	
<NA>	ɡ̌	https://chridd.nfshost.com/diachronica/search?q=%c9%a1%cc%8c	
<NA>	ʰ	https://chridd.nfshost.com/diachronica/search?q=%ca%b0	
<NA>	ʱ	https://chridd.nfshost.com/diachronica/search?q=%ca%b1	
<NA>	ʲ	https://chridd.nfshost.com/diachronica/search?q=%ca%b2	
<NA>	ʷ	https://chridd.nfshost.com/diachronica/search?q=%ca%b7	
<NA>	ʼ	https://chridd.nfshost.com/diachronica/search?q=%ca%bc	
<NA>	ʼd	https://chridd.nfshost.com/diachronica/search?q=%ca%bcd	
<NA>	ʼk	https://chridd.nfshost.com/diachronica/search?q=%ca%bck	
<NA>	ʼm	https://chridd.nfshost.com/diachronica/search?q=%ca%bcm	
<NA>	ʼn	https://chridd.nfshost.com/diachronica/search?q=%ca%bcn	
<NA>	ʼp	https://chridd.nfshost.com/diachronica/search?q=%ca%bcp	
<NA>	ʼt	https://chridd.nfshost.com/diachronica/search?q=%ca%bct	
<NA>	ʼɟ	https://chridd.nfshost.com/diachronica/search?q=%ca%bc%c9%9f	
<NA>	ʼɲ	https://chridd.nfshost.com/diachronica/search?q=%ca%bc%c9%b2	
<NA>	ˀ	https://chridd.nfshost.com/diachronica/search?q=%cb%80	
<NA>	ː	https://chridd.nfshost.com/diachronica/search?q=%cb%90	
<NA>	ˑ	https://chridd.nfshost.com/diachronica/search?q=%cb%91	
<NA>	ˤ	https://chridd.nfshost.com/diachronica/search?q=%cb%a4	
<NA>	Ω	https://chridd.nfshost.com/diachronica/search?q=%ce%a9	
<NA>	ъ	https://chridd.nfshost.com/diachronica/search?q=%d1%8a	
<NA>	ь	https://chridd.nfshost.com/diachronica/search?q=%d1%8c	
<NA>	ᵚ	https://chridd.nfshost.com/diachronica/search?q=%e1%b5%9a	
<NA>	”	https://chridd.nfshost.com/diachronica/search?q=%e2%80%9d	
<NA>	…	https://chridd.nfshost.com/diachronica/search?q=%e2%80%a6	
<NA>	∅	https://chridd.nfshost.com/diachronica/search?q=%e2%88%85	
<NA>	◌̀	https://chridd.nfshost.com/diachronica/search?q=%cc%80	
