BIPA	TYPE	GRAPHEME	GRAPHEME_IN_CLDF	SYMBOLS
ŋǁʼ	Consonant	ŋ̥ǁ’	ŋ̥ǁ’	◌ⁿ ◌ǁ ◌’
<NA>	Vowel		/	
<NA>	Diphtong		/	
<NA>	Vowel_sequence	and	and	
<NA>	Geminate	contexts	contexts	
<NA>	Geminate	in	in	
<NA>	Geminate	many	many	
<NA>	Vowel_sequence	many	many	
<NA>	Diphtong	more	more	
<NA>	Vowel_sequence	more	more	
<NA>	Geminate	morphophonological	morphophonological	
<NA>	Geminate	others	others	
<NA>	Diphtong	perhaps	perhaps	
<NA>	Vowel_sequence	uau	uau/	
<NA>	Vowel	ː	ː	
a	Vowel	a	a	◌a
ae	Vowel_sequence	ae	ae	◌a ◌e
ae	Diphtong	ae	/ae	◌a ◌e
ae	Diphtong	ae	ae	◌a ◌e
ai	Vowel_sequence	ai	ai	◌a ◌i
ai	Diphtong	ai	/ai	◌a ◌i
ai	Diphtong	ai	/ai/	◌a ◌i
ai	Diphtong	ai	ai	◌a ◌i
ai̯	Diphtong	aj	/aj	◌a ◌i ◌̯
ai̯	Diphtong	aj	aj	◌a ◌i ◌̯
ao	Vowel_sequence	ao	ao	◌a ◌o
ao	Diphtong	ao	/ao	◌a ◌o
ao	Diphtong	ao	ao	◌a ◌o
au	Vowel_sequence	au	au	◌a ◌u
au	Diphtong	au	/au	◌a ◌u
au	Diphtong	au	au	◌a ◌u
au	Diphtong	au	au/	◌a ◌u
au̯	Diphtong	aw	/aw	◌a ◌u ◌̯
au̯	Diphtong	aw	aw	◌a ◌u ◌̯
aɔ	Vowel_sequence	aɔ	aɔ	◌a ◌ɔ
aɛ	Vowel_sequence	aɛ	aɛ	◌a ◌ɛ
aɨ	Diphtong	aɨ	aɨ	◌a ◌ɨ
aɪ	Vowel_sequence	aɪ	aɪ	◌a ◌ɪ
aɯ	Diphtong	aɯ	aɯ	◌a ◌ɯ
aʉ	Vowel_sequence	aʉ	aʉ	◌a ◌ʉ
aʉ	Diphtong	aʉ	aʉ/	◌a ◌ʉ
aː	Vowel_sequence	aa	aa	◌a ◌ː
aː	Vowel	aː	aː	◌a ◌ː
aː	Vowel	aː	aː/	◌a ◌ː
aːa	Vowel_sequence	aːa	aːa	◌a ◌ː ◌a
aːi̯	Diphtong	aːj	aːj	◌a ◌ː ◌i ◌̯
aːu̯	Diphtong	aːw	aːw/	◌a ◌ː ◌u ◌̯
ã	Vowel	ã	ã	◌a ◌̃
ãĩ	Diphtong	ãĩ	ãĩ	◌a ◌̃ ◌i ◌̃
ãũ	Diphtong	ãũ	ãũ	◌a ◌̃ ◌u ◌̃
ãː	Vowel	ãː	ãː	◌a ◌̃ ◌ː
ḁ	Vowel	ḁ	ḁ	◌a ◌̥
a̰	Vowel	a̰	a̰	◌a ◌̰
a̰ḭ	Diphtong	a̰ḭ	a̰ḭ	◌a ◌̰ ◌i ◌̰
a̰ṵ	Diphtong	a̰ṵ	a̰ṵ	◌a ◌̰ ◌u ◌̰
ã̰	Vowel	ã̰	ã̰	◌a ◌̰ ◌̃
ã̰ḭ̃	Diphtong	ã̰ḭ̃	ã̰ḭ̃	◌a ◌̰ ◌̃ ◌i ◌̰ ◌̃
ã̰ṵ	Diphtong	ã̰ṵ	ã̰ṵ/	◌a ◌̰ ◌̃ ◌u ◌̰
b	Consonant	b	/b	◌b
b	Consonant	b	b	◌b
bʰ	Consonant	bʰ	bʰ	◌b ◌ʰ
bʲ	Consonant	bʲ	bʲ	◌b ◌ʲ
bː	Geminate	bː	/bː	◌b ◌ː
c	Consonant	c	c	◌c
cʰ	Consonant	cʰ	cʰ	◌c ◌ʰ
ç	Consonant	ç	ç	◌c ◌̧
cⁿ	Consonant	c\textsuperscript{ɲ}	c\textsuperscript{ɲ}	◌c ◌ⁿ
d	Consonant	d	d	◌d
dz	Consonant	d͡z	d͡z	◌d ◌z
dzʰ	Consonant	d͡zʰ	d͡zʰ	◌d ◌z ◌ʰ
dz̪	Consonant	d̪͡z̪	d̪͡z̪	◌d ◌z ◌̪
dʑ	Consonant	d͡ʑ	d͡ʑ	◌d ◌ʑ
dʑʰ	Consonant	d͡ʑʰ	d͡ʑʰ	◌d ◌ʑ ◌ʰ
dʒ	Consonant	d͡ʒ	d͡ʒ	◌d ◌ʒ
dʒː	Geminate	d͡ʒː	d͡ʒː	◌d ◌ʒ ◌ː
dʲ	Consonant	dʲ	dʲ	◌d ◌ʲ
dʷ	Consonant	dʷ	dʷ	◌d ◌ʷ
dː	Geminate	dː	dː	◌d ◌ː
dˤ	Consonant	dˤ	dˤ	◌d ◌ˤ
dˤː	Geminate	dˤː	dˤː	◌d ◌ˤ ◌ː
d̪	Consonant	d̪	d̪	◌d ◌̪
d̪ʰ	Consonant	d̪ʰ	d̪ʰ	◌d ◌̪ ◌ʰ
e	Vowel	e	/e	◌e
e	Vowel	e	e	◌e
ea	Vowel_sequence	ea	/ea	◌e ◌a
ea	Vowel_sequence	ea	ea	◌e ◌a
ei	Vowel_sequence	ei	ei	◌e ◌i
ei	Diphtong	ei	/ei	◌e ◌i
ei	Diphtong	ei	ei	◌e ◌i
ei̯	Diphtong	ej	/ej	◌e ◌i ◌̯
ei̯	Diphtong	ej	ej	◌e ◌i ◌̯
ei̯	Diphtong	ej	ej/	◌e ◌i ◌̯
eo	Vowel_sequence	eo	eo	◌e ◌o
eu	Vowel_sequence	eu	eu	◌e ◌u
eu	Diphtong	eu	eu	◌e ◌u
eɪ	Diphtong	eɪ	eɪ/	◌e ◌ɪ
eʊ	Diphtong	eʊ	/eʊ	◌e ◌ʊ
eː	Vowel_sequence	ee	ee	◌e ◌ː
eː	Vowel	eː	eː	◌e ◌ː
eː	Vowel	eː	eː/	◌e ◌ː
ẽ	Vowel	ẽ	ẽ	◌e ◌̃
ẽĩ	Diphtong	ẽĩ	ẽĩ	◌e ◌̃ ◌i ◌̃
ẽũ	Diphtong	ẽũ	ẽũ	◌e ◌̃ ◌u ◌̃
ẽː	Vowel	ẽː	ẽː	◌e ◌̃ ◌ː
ḛ	Vowel	ḛ	ḛ	◌e ◌̰
ḛḭ	Diphtong	ḛḭ	ḛḭ	◌e ◌̰ ◌i ◌̰
ḛː	Vowel	ḛː	ḛː	◌e ◌̰ ◌ː
f	Consonant	f	f	◌f
fʲ	Consonant	fʲ	fʲ	◌f ◌ʲ
fʷ	Consonant	fʷ	fʷ	◌f ◌ʷ
fʼ	Consonant	f'	f'	◌f ◌ʼ
fː	Geminate	fː	/fː	◌f ◌ː
fː	Geminate	fː	fː	◌f ◌ː
fː	Consonant	fː	fː	◌f ◌ː
g	Consonant	ɡ	ɡ	◌g
gb	Consonant	ɡ͡b	ɡ͡b	◌g ◌b
gʰ	Consonant	ɡʰ	ɡʰ	◌g ◌ʰ
gʲ	Consonant	ɡʲ	ɡʲ	◌g ◌ʲ
gʷ	Consonant	ɡʷ	ɡʷ	◌g ◌ʷ
gʷː	Geminate	ɡʷː	ɡʷː	◌g ◌ʷ ◌ː
gː	Geminate	ɡː	ɡː	◌g ◌ː
h	Consonant	h	h	◌h
hʲ	Consonant	hʲ	hʲ	◌h ◌ʲ
hː	Geminate	hː	hː	◌h ◌ː
i	Vowel	i	/i	◌i
ia	Vowel_sequence	ia	/ia	◌i ◌a
ia	Vowel_sequence	ia	ia	◌i ◌a
ia	Diphtong	ia	/ia	◌i ◌a
ia	Diphtong	ia	ia	◌i ◌a
ie	Vowel_sequence	ie	ie	◌i ◌e
ie	Diphtong	ie	/ie	◌i ◌e
ie	Diphtong	ie	ie	◌i ◌e
io	Vowel_sequence	io	/io	◌i ◌o
io	Vowel_sequence	io	io	◌i ◌o
io	Diphtong	io	io	◌i ◌o
iu	Vowel_sequence	iu	/iu	◌i ◌u
iu	Vowel_sequence	iu	iu	◌i ◌u
iu	Vowel_sequence	iu	iu/.	◌i ◌u
iu	Diphtong	iu	/iu	◌i ◌u
iu	Diphtong	iu	iu	◌i ◌u
iu̯	Diphtong	iw	/iw	◌i ◌u ◌̯
iu̯	Diphtong	iːw	iːw	◌i ◌u ◌̯
iɔ	Vowel_sequence	iɔ	iɔ	◌i ◌ɔ
iɔ	Diphtong	iɔ	iɔ	◌i ◌ɔ
iə	Vowel_sequence	iə	iə	◌i ◌ə
iə	Diphtong	iə	/iə	◌i ◌ə
iə̰	Diphtong	iə̰	iə̰	◌i ◌ə ◌̰
iɛ	Vowel_sequence	iɛ	iɛ	◌i ◌ɛ
iɨ	Diphtong	iɨ	iɨ	◌i ◌ɨ
iː	Vowel_sequence	ii	/ii	◌i ◌ː
iː	Diphtong	ii	/ii	◌i ◌ː
iː	Diphtong	ii	ii	◌i ◌ː
iː	Vowel	iː	iː	◌i ◌ː
iːa	Vowel_sequence	iːa	iːa	◌i ◌ː ◌a
ĩ	Vowel	i\~{}	i\~{}	◌i ◌̃
ĩ	Vowel	ĩ	ĩ	◌i ◌̃
ĩũ	Diphtong	ĩũ	ĩũ	◌i ◌̃ ◌u ◌̃
ĩː	Vowel	ĩː	ĩː	◌i ◌̃ ◌ː
