BIPA	GRAPHEME	COUNT	SYMBOLS
<NA>	aɰ	1	
<NA>	ä̠ː	1	
<NA>	b˞	1	
<NA>	d̺ʒ̺	1	
<NA>	d̺ʒ̺ʷ	1	
<NA>	d̻ʑ̻	1	
<NA>	d̻ʑ̻ʱ	1	
<NA>	d̻ʒ̻	1	
<NA>	d͇z͇	1	
<NA>	g˞	1	
<NA>	iau	2	
<NA>	iou	1	
<NA>	iɑu	1	
<NA>	iɛi̯	1	
<NA>	i̯uo	1	
<NA>	i̯ũo	1	
<NA>	jai	1	
<NA>	jau	1	
<NA>	jau̯	1	
<NA>	jei̯	1	
<NA>	joi	1	
<NA>	juaː	1	
<NA>	jui	1	
<NA>	jæi	1	
<NA>	jɛi	1	
<NA>	jɛi̯	1	
<NA>	kʰ˞	1	
<NA>	k˞	1	
<NA>	n̥̪	1	
<NA>	n̺̪	1	
<NA>	pʰ˞	1	
<NA>	pʲʰ	3	
<NA>	p˞	1	
<NA>	s͇	1	
<NA>	t̺ɕ̺	1	
<NA>	t̺ɕ̺ʼ	1	
<NA>	t̺ʃ̺	1	
<NA>	t̺ʃ̺ʷ	1	
<NA>	t̺̪	7	
<NA>	t̻s̻̪	5	
<NA>	t̻ɕ̻	1	
<NA>	t̻ɕ̻ʰ	1	
<NA>	t̻ʃ̻	1	
<NA>	t͇s͇	1	
<NA>	t͇s͇ʰ	1	
<NA>	uai	3	
<NA>	uei	1	
<NA>	uɑi	1	
<NA>	uəi	1	
<NA>	wai	1	
<NA>	wei̯	1	
<NA>	weu̯	1	
<NA>	wæi	1	
<NA>	wɛi	1	
<NA>	wɛi̯	1	
<NA>	w̜	1	
<NA>	w̜ʲ	1	
<NA>	xk	4	
<NA>	z̻	11	
<NA>	z͇	1	
<NA>	ð̺̪	6	
<NA>	ð͇ˠ	1	
<NA>	ɖɽ	1	
<NA>	ɬ̺̪	1	
<NA>	ʈɽ	1	
<NA>	ʈɽʰ	1	
<NA>	ʼb	1	
<NA>	ʼd	1	
<NA>	ʼj	2	
<NA>	ʼl	1	
<NA>	ʼm	2	
<NA>	ʼn	2	
<NA>	ʼs	1	
<NA>	ʼw	2	
<NA>	ʼŋ	2	
<NA>	ʼɡ	1	
<NA>	ʼɣ	1	
<NA>	ʼɲ	2	
<NA>	ʼʃ	1	
<NA>	θ̪	1	
<NA>	ⁿd͇z͇	1	
<NA>	ⁿt͇s͇ʰ	1	
<NA>	ⁿɖɽ	1	
<NA>	ⁿʈɽʰ	1	
t	 t	1	◌t
ɔi	 ɔi	1	◌ɔ ◌i
ʑ	 ʑ	1	◌ʑ
ã	(ã)	1	◌a ◌̃
bʲ	(bʲ)	1	◌b ◌ʲ
dz̪	(dz̪)	1	◌d ◌z ◌̪
dʲ	(dʲ)	1	◌d ◌ʲ
e̞ː	(e̞ː)	1	◌e ◌̞ ◌ː
gʲ	(gʲ)	1	◌g ◌ʲ
iː	(iː)	2	◌i ◌ː
i̯e̞	(i̯e̞)	1	◌i ◌̯ ◌e ◌̞
lʲ	(lʲ)	1	◌l ◌ʲ
nʲ	(nʲ)	1	◌n ◌ʲ
sʲ	(sʲ)	1	◌s ◌ʲ
uː	(uː)	2	◌u ◌ː
yː	(yː)	2	◌y ◌ː
z	(z)	1	◌z
œ	(œ)	1	◌œ
œː	(œː)	1	◌œ ◌ː
ɔː	(ɔː)	2	◌ɔ ◌ː
ɔ̃	(ɔ̃)	1	◌ɔ ◌̃
ɕ	(ɕ)	1	◌ɕ
ə	(ə)	1	◌ə
ɛː	(ɛː)	3	◌ɛ ◌ː
ɛ̃	(ɛ̃)	1	◌ɛ ◌̃
ɯi̯	(ɯi̯)	1	◌ɯ ◌i ◌̯
ɯ̯ɤ̞	(ɯ̯ɤ̞)	1	◌ɯ ◌̯ ◌ɤ ◌̞
ʃ	(ʃ)	1	◌ʃ
ʑ	(ʑ)	1	◌ʑ
ʒ	(ʒ)	1	◌ʒ
a	a	243	◌a
ae	ae	4	◌a ◌e
ae̯	ae̯	2	◌a ◌e ◌̯
ai	ai	31	◌a ◌i
ai̯	ai̯	3	◌a ◌i ◌̯
ai̯ː	ai̯ː	1	◌a ◌i ◌̯ ◌ː
ai̯	aj	6	◌a ◌i ◌̯
ao	ao	6	◌a ◌o
au	au	26	◌a ◌u
auː	auː	1	◌a ◌u ◌ː
au̯	au̯	3	◌a ◌u ◌̯
au̯	aw	6	◌a ◌u ◌̯
aə	aə	1	◌a ◌ə
aɛ	aɛ	1	◌a ◌ɛ
aɪ	aɪ	7	◌a ◌ɪ
aɪ̃	aɪ̃	2	◌a ◌ɪ ◌̃
aɯ	aɯ	1	◌a ◌ɯ
aɯ̃	aɯ̃	1	◌a ◌ɯ ◌̃
aɵ̯	aɵ̯	1	◌a ◌ɵ ◌̯
aʊ	aʊ	5	◌a ◌ʊ
aʊ̃	aʊ̃	1	◌a ◌ʊ ◌̃
aː	aː	109	◌a ◌ː
aːi	aːi	2	◌a ◌ː ◌i
aːi̯	aːi̯	1	◌a ◌ː ◌i ◌̯
aːu	aːu	2	◌a ◌ː ◌u
aːu̯	aːu̯	1	◌a ◌ː ◌u ◌̯
aːɪ	aːɪ	1	◌a ◌ː ◌ɪ
aːɯ	aːɯ	1	◌a ◌ː ◌ɯ
a˞	a˞	4	◌a ◌˞
a˞ː	a˞ː	1	◌a ◌˞ ◌ː
a˞ˤ	a˞ˤ	1	◌a ◌˞ ◌ˤ
aˤ	aˤ	2	◌a ◌ˤ
aˤː	aˤː	2	◌a ◌ˤ ◌ː
ã	ã	45	◌a ◌̃
ãĩ	ãĩ	1	◌a ◌̃ ◌i ◌̃
ãi̯	ãj	1	◌a ◌̃ ◌i ◌̯
ãõ	ãõ	1	◌a ◌̃ ◌o ◌̃
ãũ	ãũ	2	◌a ◌̃ ◌u ◌̃
ãu̯	ãw	1	◌a ◌̃ ◌u ◌̯
ãũ̯	ãw̃	1	◌a ◌̃ ◌u ◌̯ ◌̃
ãɛ̃	ãɛ̃	1	◌a ◌̃ ◌ɛ ◌̃
ãɪ̯ː	ãɪ̯ː	1	◌a ◌̃ ◌ɪ ◌̯ ◌ː
ãː	ãː	19	◌a ◌̃ ◌ː
ã̤	ã̤	1	◌a ◌̤ ◌̃
ä	ä	73	◌a ◌̈
äi̯	äi̯	3	◌a ◌̈ ◌i ◌̯
äu̯	äu̯	5	◌a ◌̈ ◌u ◌̯
äː	äː	39	◌a ◌̈ ◌ː
ãː̈	äː̃	1	◌a ◌̃ ◌ː ◌̈
ã̈	ä̃	8	◌a ◌̃ ◌̈
ãː̈	ä̃ː	4	◌a ◌̃ ◌ː ◌̈
ã̤ː̈	ä̤̃ː	1	◌a ◌̤ ◌̃ ◌ː ◌̈
ä	ä̠	4	◌a ◌̈
ä̤	ä̤	1	◌a ◌̤ ◌̈
a̟	a̟	2	◌a ◌̟
a̤	a̤	5	◌a ◌̤
a̤ː	a̤ː	2	◌a ◌̤ ◌ː
a̰	a̰	5	◌a ◌̰
a̰ɪ̰	a̰ɪ̰	1	◌a ◌̰ ◌ɪ ◌̰
a̰ɯ̰	a̰ɯ̰	1	◌a ◌̰ ◌ɯ ◌̰
b	b	358	◌b
bʰ	bʰ	26	◌b ◌ʰ
bʱ	bʱ	5	◌b ◌ʱ
bʲ	bʲ	23	◌b ◌ʲ
bʲː	bʲː	1	◌b ◌ʲ ◌ː
bː	bː	3	◌b ◌ː
bˠ	bˠ	2	◌b ◌ˠ
bˤ	bˤ	3	◌b ◌ˤ
bʱ	b̤ʱ	3	◌b ◌ʱ
b̥	b̥	17	◌b ◌̥
b̥ː	b̥ː	1	◌b ◌̥ ◌ː
c	c	111	◌c
cç	cç	5	◌c ◌c ◌̧
cçʰ	cçʰ	2	◌c ◌c ◌̧ ◌ʰ
cçː	cçː	2	◌c ◌c ◌̧ ◌ː
cʰ	cʰ	44	◌c ◌ʰ
cʼ	cʼ	5	◌c ◌ʼ
cʰː	cːʰ	1	◌c ◌ʰ ◌ː
c̟	c̟	5	◌c ◌̟
d	d	217	◌d
dz	dz	110	◌d ◌z
dzʰ	dzʰ	5	◌d ◌z ◌ʰ
dzʱ	dzʱ	1	◌d ◌z ◌ʱ
dzʲ	dzʲ	7	◌d ◌z ◌ʲ
dzː	dzː	1	◌d ◌z ◌ː
dz̺	dz̺	3	◌d ◌z ◌̺
dz̻	dz̻	2	◌d ◌z ◌̻
ɖʐ	dʐ	1	◌ɖ ◌ʐ
dʑ	dʑ	65	◌d ◌ʑ
dʑʰ	dʑʰ	2	◌d ◌ʑ ◌ʰ
dʒ	dʒ	171	◌d ◌ʒ
dʒʰ	dʒʰ	7	◌d ◌ʒ ◌ʰ
dʒʱ	dʒʱ	1	◌d ◌ʒ ◌ʱ
dʒʲ	dʒʲ	5	◌d ◌ʒ ◌ʲ
dʒː	dʒː	2	◌d ◌ʒ ◌ː
dʰ	dʰ	15	◌d ◌ʰ
dʱ	dʱ	1	◌d ◌ʱ
dʲ	dʲ	22	◌d ◌ʲ
dʷ	dʷ	2	◌d ◌ʷ
d’	dʼ	1	◌d ◌’
dː	dː	3	◌d ◌ː
dˤ	dˤ	5	◌d ◌ˤ
d̠	d̠	1	◌d ◌̠
d̠ʰ	d̠ʰ	1	◌d ◌̠ ◌ʰ
d̠ʲ	d̠ʲ	1	◌d ◌̠ ◌ʲ
dʒʱ	d̤ʒ̤ʱ	3	◌d ◌ʒ ◌ʱ
d̥	d̥	4	◌d ◌̥
dz̥	d̥z̥	2	◌d ◌z ◌̥
dz̥ʲ	d̥z̥ʲ	1	◌d ◌z ◌̥ ◌ʲ
dʑ̥	d̥ʑ̥	3	◌d ◌ʑ ◌̥
dʒ̥	d̥ʒ̊	1	◌d ◌ʒ ◌̥
dʒ̥	d̥ʒ̥	7	◌d ◌ʒ ◌̥
d̥ʲ	d̥ʲ	1	◌d ◌̥ ◌ʲ
d̥ː	d̥ː	1	◌d ◌̥ ◌ː
d̪	d̪	123	◌d ◌̪
dz̪	d̪z	1	◌d ◌z ◌̪
dz̪	d̪z̪	14	◌d ◌z ◌̪
dz̪ʲ	d̪z̪ʲ	1	◌d ◌z ◌̪ ◌ʲ
d̪ʰ	d̪ʰ	11	◌d ◌̪ ◌ʰ
d̪ʱ	d̪ʱ	5	◌d ◌̪ ◌ʱ
d̪ʲ	d̪ʲ	4	◌d ◌̪ ◌ʲ
d̪ˠ	d̪ˠ	2	◌d ◌̪ ◌ˠ
d̪ˤ	d̪ˤ	2	◌d ◌̪ ◌ˤ
d̪ʱ	d̪̤ʱ	1	◌d ◌̪ ◌ʱ
d̪̥	d̪̥	2	◌d ◌̪ ◌̥
d̪̺	d̪̺	1	◌d ◌̪ ◌̺
d̪̻	d̪̻	1	◌d ◌̪ ◌̻
dz̪ʲ	d̪ᶻʲ	1	◌d ◌z ◌̪ ◌ʲ
d̺	d̺	9	◌d ◌̺
dz̺	d̺z̺	1	◌d ◌z ◌̺
