BIPA	GRAPHEME	COUNT	NOTE	SYMBOLS
<NA>	v̼	1		
kʼ	kʼ	6	◌k ◌ʼ
kʼʷ	kʼʷ	1	◌k ◌ʼ ◌ʷ
kʼʷ	kʷʼ	2	◌k ◌ʼ ◌ʷ
pʼ	pʼ	3	◌p ◌ʼ
qʼ	qʼ	2	◌q ◌ʼ
qʼʷ	qʼʷ	1	◌q ◌ʼ ◌ʷ
sʼ	sʼ	1	◌s ◌ʼ
tsʼ	tsʼ	5	◌t ◌s ◌ʼ
tɬʼ	tɬʼ	3	◌t ◌ɬ ◌ʼ
tʃʼ	tʃʼ	5	◌t ◌ʃ ◌ʼ
tʃʼː	tʃʼː	1	◌t ◌ʃ ◌ʼ ◌ː
tʼ	tʼ	4	◌t ◌ʼ
<NA>	aʊɪ	1	triphthong	
<NA>	eəɪ	1	triphthong	
<NA>	iau	2	triphthong	
<NA>	iou	1	triphthong	
<NA>	iəɪ	1	triphthong	
<NA>	jai̯	1	triphthong	
<NA>	jau̯	1	triphthong	
<NA>	jeu̯	1	triphthong	
<NA>	ld	1		
<NA>	oəɪ	1	triphthong	
<NA>	uai	1		
<NA>	uei	1		
<NA>	wai̯	1		
<NA>	wei̯	1		
z̻	z̻	1		
ǁʼ	ǁʼ	1		
<NA>	ɔoũ	1	triphthong	
<NA>	əɪa	1	triphthong	
<NA>	əʁ̞	1		
<NA>	əʊɪ	1	triphthong	
a	a	126		◌a
ae	ae	1		◌a ◌e
ae̯	ae̯	2		◌a ◌e ◌̯
ai	ai	12		◌a ◌i
ai̯	ai̯	2		◌a ◌i ◌̯
ai̯	aj	4		◌a ◌i ◌̯
ao̯	ao̯	1		◌a ◌o ◌̯
au	au	16		◌a ◌u
au̯	au̯	2		◌a ◌u ◌̯
au̯	aw	4		◌a ◌u ◌̯
aɛ	aɛ	1		◌a ◌ɛ
aɛ̯	aɛ̯	1		◌a ◌ɛ ◌̯
aɪ	aɪ	9		◌a ◌ɪ
aɪ̃	aɪ̃	1		◌a ◌ɪ ◌̃
aɵ̯	aɵ̯	1		◌a ◌ɵ ◌̯
aʊ	aʊ	8		◌a ◌ʊ
aʊ̃	aʊ̃	1		◌a ◌ʊ ◌̃
aˀ	aʔ	1		◌a ◌ˀ
aː	aː	54		◌a ◌ː
aːi	aːi	1		◌a ◌ː ◌i
aːu	aːu	1		◌a ◌ː ◌u
aˑ	aˑ	3		◌a ◌ˑ
a˞	a˞	1		◌a ◌˞
aˠ	aˠ	1		◌a ◌ˠ
aˤ	aˤ	2		◌a ◌ˤ
aˤː	aˤ:	1		◌a ◌ˤ ◌ː
ã	ã	16		◌a ◌̃
ãː	ãː	4		◌a ◌̃ ◌ː
ãˤ	ãˤ	1		◌a ◌̃ ◌ˤ
a̤	a̤	2		◌a ◌̤
a̤ː	a̤ː	1		◌a ◌̤ ◌ː
a̤ˑ	a̤ˑ	1		◌a ◌̤ ◌ˑ
a̰	a̰	3		◌a ◌̰
ã̰	ã̰	1		◌a ◌̰ ◌̃
b	b	127		◌b
bʰ	bʰ	1		◌b ◌ʰ
bʰː	bʰː	1		◌b ◌ʰ ◌ː
bʱ	bʱ	6		◌b ◌ʱ
