BIPA	ID	GRAPHEME	FEATURES	SYMBOLS
pʲʰ	2110	pʲʰ	pulmonic stop aspirated voiceless palatalized bilabial	
t̪ʲʰ	5901	t̪ʲʰ	pulmonic stop aspirated voiceless palatalized dental	
a	199	a	low central unrounded	◌a
ae	1546	ae	diphtong higher mid low front central unrounded rising fronting	◌a ◌e
ai	5799	ai	diphtong high low front central unrounded rising fronting	◌a ◌i
ao	1485	ao	diphtong higher mid low central back unrounded rounded rising backing rounding	◌a ◌o
au	5798	au	diphtong high low central back unrounded rounded rising backing rounding	◌a ◌u
aə	1567	aə	diphtong higher mid low central unrounded rising	◌a ◌ə
aɨ	1544	aɨ	diphtong high low central unrounded rising	◌a ◌ɨ
aɪ	1471	aɪ	diphtong lowered high low front central unrounded rising fronting	◌a ◌ɪ
aʉ	1566	aʉ	diphtong high low central unrounded rounded rising rounding	◌a ◌ʉ
aʊ	1472	aʊ	diphtong lowered high low central back unrounded rounded rising backing rounding	◌a ◌ʊ
aˀ	5984	aˀ	laryngealized low central unrounded	◌a ◌ˀ
aː	5465	aː	long low central unrounded	◌a ◌ː
aːɨ	1569	aːɨ	long diphtong high low central unrounded rising	◌a ◌ː ◌ɨ
aˤ	1685	aˤ	pharyngealized  low central unrounded	◌a ◌ˤ
ã	5870	ã	nasalized low central unrounded	◌a ◌̃
ãẽ	1565	ãẽ	nasalized diphtong higher mid low front central unrounded rising fronting	◌a ◌̃ ◌e ◌̃
ãĩ	1498	ãĩ	nasalized diphtong high low front central unrounded rising fronting	◌a ◌̃ ◌i ◌̃
ãũ	1563	ãũ	nasalized diphtong high low central back unrounded rounded rising backing rounding	◌a ◌̃ ◌u ◌̃
ãʉ̃	1564	ãʉ̃	nasalized diphtong high low central unrounded rounded rising rounding	◌a ◌̃ ◌ʉ ◌̃
ãˀ	5985	ãˀ	nasalized laryngealized low central unrounded	◌a ◌̃ ◌ˀ
ãː	5467	ãː	nasalized long low central unrounded	◌a ◌̃ ◌ː
