BIPA	GRAPHEME	SOUND	FEATURES	IMAGE	SYMBOLS
<NA>		##.mp3	##	IPA-116-431.gif	
<NA>		high-rising-contour_close-mid_front_unrounded.mp3	a high-rising contour close-mid front unrounded vowel	IPA-302-526.gif	
<NA>		low-rising-contour_close-mid_front_unrounded.mp3	a low-rising contour close-mid front unrounded vowel	IPA-302-527.gif	
<NA>		rising-falling-contour_close-mid_front_unrounded.mp3	a rising-falling contour close-mid front unrounded vowel	IPA-302-528.gif	
a˞	a̢	rhotic_open_front_unrounded.mp3	rhotic open front unrounded vowel	IPA-304-419.gif	◌a ◌˞
a̤	a̤	breathy-voiced_open_front_unrounded.mp3	a breathy voiced open front unrounded vowel	IPA-304-405.gif	◌a ◌̤
a̰	a̰	creaky-voiced_open_front_unrounded.mp3	a creaky voiced open front unrounded vowel	IPA-304-406.gif	◌a ◌̰
b	b	V_bilabial_plosive.mp3	a voiced bilabial plosive	IPA-102.gif	◌b
bʱ	bʱ	breathy-voiced_bilabial_plosive.mp3	a breathy voiced bilabial plosive	IPA-102-405.gif	◌b ◌ʱ
b̰	b̰	creaky-voiced_V_bilabial_plosive.mp3	a creaky voiced voiced bilabial plosive	IPA-102-406.gif	◌b ◌̰
c	c	VL_palatal_plosive.mp3	a voiceless palatal plosive	IPA-107.gif	◌c
d	d	V_alveolar_plosive.mp3	a voiced alveolar plosive	IPA-104.gif	◌d
dʰ	dʰ	aspirated_V_alveolar_plosive.mp3	an aspirated voiced alveolar plosive	IPA-104-404.gif	◌d ◌ʰ
dʲ	dʲ	palatalized_V_alveolar plosive.mp3	a palatalized voiced alveolar plosive	IPA-104-421.gif	◌d ◌ʲ
dʷ	dʷ	labialized_V_alveolar_plosive.mp3	a labialized voiced alveolar plosive	IPA-104-420.gif	◌d ◌ʷ
dˠ	dˠ	velarized_V_alveolar_plosive.mp3	a velarized voiced alveolar plosive	IPA-104-422.gif	◌d ◌ˠ
dˡ	dˡ	lateral-release_V_alveolar_plosive.mp3	a laterally released voiced alveolar plosive	IPA-104-426.gif	◌d ◌ˡ
dˤ	dˤ	pharyngealized_V_alveolar_plosive.mp3	a pharyngealized voiced alveolar plosive	IPA-104-423.gif	◌d ◌ˤ
d̚	d̚	no-audible-release_V_alveolar_plosive.mp3	a voiced alveolar plosive with no audible release	IPA-104-427.gif	◌d ◌̚
d̥	d̥	devoiced_V_alveolar_plosive.mp3	a devoiced voiced alveolar plosive	IPA-104-402A.gif	◌d ◌̥
d̪	d̪	dentalized_V_alveolar_plosive.mp3	a dentalized voiced alveolar plosive	IPA-104-408.gif	◌d ◌̪
d̼	d̫	linguolabialized_V_alveolar_plosive.mp3	a linguolabialized voiced alveolar plosive	IPA-104-407.gif	◌d ◌̼
