BIPA	GRAPHEME	FEATURES	LATEX
	a	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis	a
	ɐ	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis	\textturna
	ɑ	empty:vowel:−high +low +back −round +voice −nasal −spread glottis −constricted glottis	\textscripta
	ɒ	empty:vowel:−high +low +back +round +voice −nasal −spread glottis −constricted glottis	\textturnscripta
	ɔ	empty:vowel:−high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textopeno
	e	empty:vowel:−high −low −back −round +voice −nasal −spread glottis −constricted glottis	e
	ɛ	empty:vowel:−high −low −back −round +voice −nasal −spread glottis −constricted glottis	\textipa{E}
	ə	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textschwa
	ɚ	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textrhookschwa
	ɘ	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textreve
	ɜ	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textipa{3}
	ɝ	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textrhookrevepsilon
	ɞ	empty:vowel:−high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textcloseepsilon
	ɤ	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textipa{7}
	i	empty:vowel:+high −low −back −round +voice −nasal −spread glottis −constricted glottis	i
	ɪ	empty:vowel:+high −low −back −round +voice −nasal −spread glottis −constricted glottis	\textipa{I}
	ɨ	empty:vowel:+high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textbari
	ɯ	empty:vowel:+high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textturnm
	o	empty:vowel:−high −low +back +round +voice −nasal −spread glottis −constricted glottis	o
	ɵ	empty:vowel:−high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textbaro
	ø	empty:vowel:−high −low −back +round +voice −nasal −spread glottis −constricted glottis	\o
	ɶ	empty:vowel:−high +low −back +round +voice −nasal −spread glottis −constricted glottis	\textscoelig
	œ	empty:vowel:−high −low −back +round +voice −nasal −spread glottis −constricted glottis	\oe
	u	empty:vowel:+high −low +back +round +voice −nasal −spread glottis −constricted glottis	u
	ʉ	empty:vowel:+high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textbaru
	ʊ	empty:vowel:+high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textupsilon
	ʌ	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textturnv
	y	empty:vowel:+high −low −back +round +voice −nasal −spread glottis −constricted glottis	y
	ʏ	empty:vowel:+high −low −back +round +voice −nasal −spread glottis −constricted glottis	\textipa{Y}
	æ	empty:vowel:−high +low −back −round +voice −nasal −spread glottis −constricted glottis	\ae
	p	labial:plosive:−voice	p
	b	labial:plosive:+voice	b
	ɓ	labial:plosive:+voice	\texthtb
	ɸ	labial:fricative:−voice	\textipa{F}
	β	labial:fricative:+voice	\textipa{B}
	p͡ɸ	labial:affricate:−voice	\t{p͡\textipa{F}}
	b͡β	labial:affricate:+voice	\t{b͡\textipa{B}}
	ʙ	labial:liquid:+voice −lateral	\textscb
	m	labial:nasal:+voice +nasal	m
	f	labiodental:fricative:−voice	f
	v	labiodental:fricative:+voice	v
	p͡f	labiodental:affricate:−voice	\t{pf}
	b͡v	labiodental:affricate:+voice	\t{b͡v}
	ʋ	labiodental:liquid:+voice −lateral	\textscriptv
	ɱ	labiodental:nasal:+voice +nasal	\textltailm
	t̪	dental:plosive:−voice	\textsubbridge{t}
	d̪	dental:plosive:+voice	\textsubbridge{d}
	ɗ	dental:plosive:+voice	\texthtd
	d̠	dental:plosive:+voice	\textsubbar{d}
	θ	dental:fricative:−voice	\textipa{T}
	ð	dental:fricative:+voice	\textipa{D}
	t̪͡θ	dental:affricate:−voice	\t{\textsubbridge{t}͡ \textipa{T}}
	t̪͡s̪	dental:affricate:−voice	\t{\textsubbridge{t}\textsubbridge{s}}
	d̪͡z̪	dental:affricate:+voice	\t{\textsubbridge{d}\textsubbridge{z}}
	d̪͡ɮ̪	dental:affricate:+voice +lateral	\t{\textsubbridge{d}͡\textsubbridge{\textlyoghlig}}
	d̠͡ɮ̠	dental:affricate:+voice +lateral	\t{\textsubbar{d}͡\textsubbar{\textlyoghlig}}
	t̪͡ɬ̪	dental:affricate:+voice +lateral	\t{\textsubbridge{t}͡\textsubbridge{\textbeltl}}
	d͡z	dental:affricate:+voice	\t{dz}
	d͡z͎	dental:affricate:+voice	\t{d͡\begin{IPA}\whistle{z}\end{IPA}}
	ɬ̪	dental:fricative:+voice +lateral	\textsubbridge{\textbeltl}
	ɮ̪	dental:fricative:+voice +lateral	\textsubbridge{\textlyoghlig}
	d̪͡ð	dental:affricate:+voice	\t{\textsubbridge{d}͡ð}
	l̪	dental:liquid:+voice +lateral	\textsubbridge{l}
	r̪	dental:liquid:+voice −lateral	\textsubbridge{r}
	ɺ̪	dental:liquid:+voice +lateral	\textsubbridge{\textturnlonglegr}
	ɹ̪	dental:liquid:+voice −lateral	\textsubbridge{\textturnr}
	n̪	dental:nasal:+voice +nasal	\textsubbridge{n}
	t	alveolar:plosive:−voice	t
	t̠	alveolar:plosive:−voice	\textsubbar{t}
	d	alveolar:plosive:+voice	d
	s	alveolar:fricative:−voice	s
	s͎	alveolar:fricative:−voice	\begin{IPA}\whistle{s}\end{IPA}
	z	alveolar:fricative:+voice	z
	z͎	alveolar:fricative:+voice	\begin{IPA}\whistle{z}\end{IPA}
	t͡s	alveolar:affricate:−voice	\t{ts}
	t͡s͎	alveolar:affricate:−voice	\t{t͡\begin{IPA}\whistle{s}\end{IPA}}
	d͡ɮ	alveolar:affricate:+voice +lateral	\t{d͡\textlyoghlig}
	t͡ɬ	alveolar:affricate:+voice +lateral	\t{t͡\textbeltl}
	t͡ɬ̲	alveolar:affricate:+voice +lateral	\t{t͡\textsubbar{\textbeltl}}
	ɬ	alveolar:fricative:+voice +lateral	\textbeltl
	ɬ̠	alveolar:fricative:+voice +lateral	\textsubbar{\textbeltl}
	ɮ	alveolar:fricative:+voice +lateral	\textlyoghlig
	ɮ̠	alveolar:fricative:+voice +lateral	\textsubbar{\textlyoghlig}
	r	alveolar:liquid:+voice −lateral	r
	r̠	alveolar:liquid:+voice −lateral	\textsubbar{r}
	ɺ	alveolar:liquid:+voice +lateral	\textturnlonglegr
	ɺ̠	alveolar:liquid:+voice +lateral	\textsubbar{\textturnlonglegr}
	ɾ̪	alveolar:liquid:+voice −lateral	\textsubbridge{\textfishhookr}
	ɾ	alveolar:liquid:+voice −lateral	\textfishhookr
	ɾ̠	alveolar:liquid:+voice −lateral	\textsubbar{\textfishhookr}
	ɹ	alveolar:liquid:+voice −lateral	\textturnr
	ɹ̠	alveolar:liquid:+voice −lateral	\textsubbar{\textturnr}
	l	alveolar:liquid:+voice +lateral	l
	l̠	alveolar:liquid:+voice +lateral	\textsubbar{l}
	ɫ	alveolar:liquid:+voice +lateral	\textltilde
	n	alveolar:nasal:+voice +nasal	n
	n̠	alveolar:nasal:+voice +nasal	\textipa{\=*n}
	ʃ	palatoalveolar:fricative:−voice	\textipa{S}
	ʒ	palatoalveolar:fricative:+voice	\textyogh
	t͡ʃ	palatoalveolar:affricate:−voice	\t{t͡\textipa{S}}
	d͡ʒ	palatoalveolar:affricate:+voice	\t{d͡\textyogh}
	ʈ	retroflex:plosive:−voice	\textrtailt
	ɖ	retroflex:plosive:+voice	\textrtaild
	ʂ	retroflex:fricative:−voice	\textrtails
	ʐ	retroflex:fricative:+voice	\textrtailz
	ʈ͡ʂ	retroflex:affricate:−voice	\t{\textrtailt \textrtails}
	ɖ͡ʐ	retroflex:affricate:+voice	\t{ɖ͡\textrtailz}
	ɽ	retroflex:liquid:+voice −lateral	\textrtailr
	ɻ	retroflex:liquid:+voice −lateral	\textturnrrtail
	ɭ	retroflex:liquid:+voice +lateral	\textturny
	ɳ	retroflex:nasal:+voice +nasal	\:n
	j	palatal:glide:+voice	j
	c	palatal:plosive:−voice	c
	ɟ	palatal:plosive:+voice	\textbardotlessj
	c͡ç	palatal:affricate:−voice	\t{c\c{c}}
	ɟ͡ʝ	palatal:affricate:+voice	\t{ɟ͡\textctj}
	ç	palatal:fricative:−voice	\c{c}
	ʝ	palatal:fricative:+voice	\textctj
	ʎ	palatal:liquid:+voice +lateral	\begin{IPA} +\;G \end{IPA}
	ɲ	palatal:nasal:+voice +nasal	\textltailn
