BIPA	GRAPHEME	FEATURES	SYMBOLS
(!)	z̻	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg +ant +cor +distr -lab -hi -lo -back -round -velaric -long	
(!)	ǁʲʼ	-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi -lo -back -round +velaric -long	
(!)	ǁʷʼ	-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi -lo +back +round +velaric -long	
(!)	ǁʷˤʼ	-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi +lo +back +round +velaric -long	
(!)	ǁʼ	-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi -lo -round +velaric -long	
(!)	ǁʼʲ	-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi -lo -back -round +velaric -long	
(!)	ǁʼʷ	-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi -lo +back +round +velaric -long	
(!)	ǁʼː	-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi -lo -round +velaric +long	
(!)	ǁˤʼ	-syl -son +cons -cont -delrel +lat -nas -voi -sg +cg +ant +cor -distr -lab +hi +lo +back -round +velaric -long	
<NA>	b͡d̼	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	
<NA>	d̪͡ɮ̪̟	-syl -son +cons -cont +delrel +lat -nas +voi -sg -cg +ant +cor -distr -lab -round -velaric -long	
<NA>	d̪͡ɮ̪̠	-syl -son +cons -cont +delrel +lat -nas +voi -sg -cg +ant +cor -distr -lab -round -velaric -long	
<NA>	d̪͡ɮ̪̤	-syl -son +cons -cont +delrel +lat -nas +voi +sg -cg +ant +cor -distr -lab -round -velaric -long	
<NA>	d̪͡ɮ̪̤ʲ	-syl -son +cons -cont +delrel +lat -nas +voi +sg -cg +ant +cor -distr -lab +hi -back -round -velaric -long	
<NA>	d̪͡ɮ̪̤ʷ	-syl -son +cons -cont +delrel +lat -nas +voi +sg -cg +ant +cor -distr -lab +hi +back +round -velaric -long	
<NA>	d̪͡ɮ̪̤ː	-syl -son +cons -cont +delrel +lat -nas +voi +sg -cg +ant +cor -distr -lab -round -velaric +long	
<NA>	d̪͡ɮ̪̤ˠ	-syl -son +cons -cont +delrel +lat -nas +voi +sg -cg +ant +cor -distr -lab +hi +back -round -velaric -long	
<NA>	d̪͡ɮ̪̤ˤ	-syl -son +cons -cont +delrel +lat -nas +voi +sg -cg +ant +cor -distr -lab +lo +back -round -velaric -long	
<NA>	d̪͡ɮ̪̰	-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab -round -velaric -long	
<NA>	d̪͡ɮ̪̰ʲ	-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab +hi -back -round -velaric -long	
<NA>	d̪͡ɮ̪̰ʷ	-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab +hi +back +round -velaric -long	
<NA>	d̪͡ɮ̪̰ː	-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab -round -velaric +long	
<NA>	d̪͡ɮ̪̰ˠ	-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab +hi +back -round -velaric -long	
<NA>	d̪͡ɮ̪̰ˤ	-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab +lo +back -round -velaric -long	
<NA>	d̪͡ɮ̪̰̃	-syl -son +cons -cont +delrel +lat +nas +voi -sg +cg +ant +cor -distr -lab -round -velaric -long	
<NA>	d̪͡ɮ̪̺	-syl -son +cons -cont +delrel +lat -nas +voi -sg -cg +ant +cor -distr -lab -round -velaric -long	
<NA>	d̪͡ɮ̪̻	-syl -son +cons -cont +delrel +lat -nas +voi -sg -cg +ant +cor +distr -lab -round -velaric -long	
<NA>	d̪͡ɮ̪ᶣ	-syl -son +cons -cont +delrel +lat -nas +voi -sg -cg +ant +cor -distr -lab +hi -back +round -velaric -long	
<NA>	n̪̼	-syl +son +cons -cont -delrel -lat +nas +voi -sg -cg +ant +cor +distr +lab -hi -lo -back -round -velaric -long	
<NA>	p͡t̼	-syl -son +cons -cont -delrel -lat -nas -voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	
<NA>	t̪̼	-syl -son +cons -cont -delrel -lat -nas -voi -sg -cg +ant +cor +distr +lab -hi -lo -back -round -velaric -long	
<NA>	ǀ̼	-syl -son +cons -cont -delrel -lat -nas -voi -sg -cg +ant +cor +distr +lab +hi -lo -round +velaric -long	
<NA>	ǁ̼	-syl -son +cons -cont -delrel +lat -nas -voi -sg -cg +ant +cor -distr +lab +hi -lo -round +velaric -long	
<NA>	ǃ̼	-syl -son +cons -cont -delrel -lat -nas -voi -sg -cg +ant +cor -distr +lab +hi -lo -round +velaric -long	
<NA>	ˀa	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi +lo +back -round -velaric +tense -long	
<NA>	ˀe	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo -back -round -velaric +tense -long	
<NA>	ˀi	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi -lo -back -round -velaric +tense -long	
<NA>	ˀo	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back +round -velaric +tense -long	
<NA>	ˀu	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor +lab +hi -lo +back +round -velaric +tense -long	
<NA>	ˀy	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor +lab +hi -lo -back +round -velaric +tense -long	
<NA>	ˀæ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi +lo -back -round -velaric +tense -long	
<NA>	ˀø	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo -back +round -velaric +tense -long	
<NA>	ˀœ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo -back +round -velaric -tense -long	
<NA>	ˀɐ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back -round -velaric +tense -long	
<NA>	ˀɑ	+syl +son -cons +cont -lat -nas +voi -sg +cg -cor -lab -hi +lo +back -round -velaric +tense -long	
<NA>	ˀɒ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi +lo +back +round -velaric +tense -long	
<NA>	ˀɔ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back +round -velaric -tense -long	
<NA>	ˀɘ	+syl +son -cons +cont -lat -nas +voi -sg +cg -cor -lab -hi -lo -back -round -velaric +tense -long	
<NA>	ˀɘ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back -round -velaric -tense -long	
<NA>	ˀə	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back -round -velaric -tense -long	
<NA>	ˀɛ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo -back -round -velaric -tense -long	
<NA>	ˀɜ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back -round -velaric +tense -long	
<NA>	ˀɞ	+syl +son -cons +cont -lat -nas +voi -sg +cg -cor +lab -hi -lo -back +round -velaric -tense -long	
<NA>	ˀɞ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back +round -velaric +tense -long	
<NA>	ˀɤ	+syl +son -cons +cont -lat -nas +voi -sg +cg -cor -lab -hi -lo +back -round -velaric +tense -long	
<NA>	ˀɨ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi -lo +back -round -velaric +tense -long	
<NA>	ˀɪ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi -lo -back -round -velaric -tense -long	
<NA>	ˀɯ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi -lo +back -round -velaric -tense -long	
<NA>	ˀɵ	+syl +son -cons +cont -lat -nas +voi -sg +cg -cor +lab -hi -lo -back +round -velaric +tense -long	
<NA>	ˀɵ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back +round -velaric -tense -long	
<NA>	ˀɶ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi +lo -back +round -velaric +tense -long	
<NA>	ˀʉ	+syl +son -cons +cont -lat -nas +voi -sg +cg -cor +lab +hi -lo -back +round -velaric +tense -long	
<NA>	ˀʊ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi -lo +back +round -velaric -tense -long	
<NA>	ˀʌ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi -lo +back -round -velaric +tense -long	
<NA>	ˀʏ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi -lo -back +round -velaric -tense -long	
a	a	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a
aˀ	aˀ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌ˀ
aː	aː	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense +long	◌a ◌ː
a˞	a˞	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi +lo +back +round -velaric +tense -long	◌a ◌˞
aˠ	aˠ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi +lo +back -round -velaric +tense -long	◌a ◌ˠ
aˠː	aːˠ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi +lo +back -round -velaric +tense +long	◌a ◌ˠ ◌ː
aˤ	aˤ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌ˤ
aˤː	aːˤ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense +long	◌a ◌ˤ ◌ː
aˤː	aˤː	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense +long	◌a ◌ˤ ◌ː
ã	ã	+syl +son -cons +cont -delrel -lat +nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̃
ãː	ãː	+syl +son -cons +cont -delrel -lat +nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense +long	◌a ◌̃ ◌ː
ãˤ	ãˤ	+syl +son -cons +cont -delrel -lat +nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̃ ◌ˤ
ă	ă	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̆
ä	ä	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̈
a̘	a̘	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̘
a̘ː	a̘ː	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense +long	◌a ◌̘ ◌ː
a̘ˠ	a̘ˠ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi +lo +back -round -velaric +tense -long	◌a ◌̘ ◌ˠ
a̙	a̙	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric -tense -long	◌a ◌̙
a̙ː	a̙ː	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric -tense +long	◌a ◌̙ ◌ː
a̙ˠ	a̙ˠ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi +lo +back -round -velaric -tense -long	◌a ◌̙ ◌ˠ
a̝	a̝	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab -hi +lo +back -round -velaric +tense -long	◌a ◌̝
