BIPA	NON_IPA	GRAPHEME	FEATURES	SYMBOLS
<NA>	a/a	aʔa	vowel:low:central_unrounded:interrupted:plain	
<NA>	a3:	a̪ː	vowel:raised_low:central_unrounded:plain:long	
<NA>	b+	b*	conso:stop:bilabial:voiced:lax	
<NA>	bƒz	bz	conso:affricate:bilabial_to_alveolar:voiced:plain	
<NA>	bz	bz	conso:affricate:bilabial_to_alveolar:voiced:plain	
<NA>	bƒL	bɮ	conso:affricate:bilabial_to_lateral:voiced:plain	
<NA>	bZ	bʒ	conso:affricate:bilabial_to_postalveolar:voiced:plain	
<NA>	b$	b̀	conso:stop:bilabial:voiced:tense	
<NA>	bæ	b̂	conso:stop:bilabial:voiced:lenis	
<NA>	b%	b̏	conso:stop:bilabial:voiced:heavy	
<NA>	bƒdz	b͡dz	conso:stop_to_affricate:bilabial_to_alveolar:voiced:plain	
<NA>	bƒdZ	b͡dʒ	conso:stop_to_affricate:bilabial_to_postalveolar:voiced:plain	
<NA>	bƒtS	b͡tʃ	conso:stop_to_affricate:bilabial_to_postalveolar:voiced_to_voiceless:plain	
<NA>	bƒC	b͡ç	conso:affricate:labiopalatal:voiced_to_voiceless:plain	
<NA>	bƒë	b͡ɗ	conso:stop_to_implosive:bilabial_to_alveolar:voiced:plain	
<NA>	bƒÆ	b͡ʝ	conso:affricate:labiopalatal:voiced:plain	
<NA>	cþ	cɕ	conso:affricate:palatal_to_alveolopalatal:voiceless:plain	
<NA>	cþH	cɕʰ	conso:affricate:palatal_to_alveolopalatal:voiceless:aspirated	
<NA>	cþ'	cɕʼ	conso:affricate:palatal_to_alveolopalatal:voiceless:glottalized	
<NA>	cþ’	cɕʼ	conso:affricate:palatal_to_alveolopalatal:voiceless:glottalized	
<NA>	cS	cʃ	conso:affricate:palatal_to_postalveolar:voiceless:plain	
<NA>	c$þ	c̀ɕ	conso:affricate:palatal_to_alveolopalatal:voiceless:tense	
<NA>	cø	c	conso:stop:palatal:voiceless:postnasalized	
<NA>	dl	dl	conso:stop:lateral:voiced:plain	
<NA>	dx	dx	conso:affricate:alveolar_to_velar:voiced_to_voiceless:plain	
<NA>	dzx	dzx	conso:affricate_to_fricative:alveolar_to_velar:voiced_to_voiceless:plain	
<NA>	dzƒÄw	dzɣw	conso:affricate_to_fricative:alveolar_to_velar:voiced:labialized	
<NA>	dz’kx’	dzʼkxʼ	conso:affricate_to_affricate:alveolar_to_velar:voiced_to_voiceless:glottalized	
<NA>	dz'kx'	dzʼkxʼ	conso:affricate_to_affricate:alveolar_to_velar:voiced_to_voiceless:glottalized	
<NA>	dƒÄw	dɣw	conso:affricate:alveolar_to_velar:voiced:labialized	
<NA>	düç	dʑɥ	conso:affricate:alveolopalatal:voiced:labiopalatalized	
<NA>	dZƒg	dʒ͡ɡ	conso:affricate_to_stop:postalveolar_to_velar:voiced:plain	
<NA>	dZƒÄw	dʒ͡ɣʷ	conso:affricate_to_fricative:postalveolar_to_velar:voiced:labialized	
<NA>	dÆ	dʝ	conso:affricate:alveolar_to_palatal:voiced:plain	
<NA>	d’kx’	dʼkxʼ	conso:ejective_to_affricate:alveolar_to_velar:voiced_to_voiceless:glottalized	
<NA>	d'kx'	dʼkxʼ	conso:ejective_to_affricate:alveolar_to_velar:voiced_to_voiceless:glottalized	
<NA>	ddZ	dːʒ	conso:affricate:postalveolar:voiced_long:plain	
<NA>	d$	d̀	conso:stop:alveolar:voiced:tense	
<NA>	d%	d̏	conso:stop:alveolar:voiced:heavy	
<NA>	d5Z	d̪ʒ	conso:affricate:dental_to_postalveolar:voiced:plain	
<NA>	d6ü	d̻ʑ	conso:affricate:laminal_alveolar_to_alveolopalatal:voiced:plain	
<NA>	d6Z6	d̻ʒ̻	conso:affricate:laminal_alveolar_to_laminal_postalveolar:voiced:plain	
<NA>	dB	dβ	conso:affricate:alveolar_to_bilabial:voiced:plain	
<NA>	e*	emf	vowel:higher_mid:front_unrounded:muffled:plain	
<NA>	e/e	eʔe	vowel:higher_mid:front_unrounded:interrupted:plain	
<NA>	fS	fʃ	conso:fricative:labiodental_to_postalveolar:voiceless:plain	
<NA>	ij	ij	vowel:high_to_glide:front_unrounded_to_palatal:plain:plain	
<NA>	i/i	iʔi	vowel:high:front_unrounded:interrupted:plain	
<NA>	i°	i̺	vowel:high:front_unrounded:apical:plain	
<NA>	kf	kf	conso:affricate:velar_to_labiodental:voiced_to_voiceless:plain	
<NA>	kl'	klʼ	conso:stop:velar:voiceless:glottalized_lateral	
<NA>	kl’	klʼ	conso:stop:velar:voiceless:glottalized_lateral	
<NA>	k$	k̀	conso:stop:velar:voiceless:tense	
<NA>	k$w	k̀ʷ	conso:stop:velar:voiceless:labialized_tense	
<NA>	kæ	k̂	conso:stop:velar:voiceless:lenis	
<NA>	kæƒpæ	k̂͡p̂	conso:stop:labiovelar:voiceless:lenis	
<NA>	l!	lǃ	conso:click:alveolar:voiced:l_accompaniment	
<NA>	lç	lɥ	conso:lateral_approximant:lateral:voiced:labiopalatalized	
<NA>	l5T	l̪θ	conso:lateral_approximant_to_fricative:dental:voiced_to_voiceless:plain	
<NA>	m<	m<	conso:nasal:bilabial:voiced:pulmonic_ingressive	
<NA>	nnl	mnl	conso:nasal:bilabial_to_alveolar:voiced:lateral	
<NA>	m–G	mǀG	conso:click:dental:voiceless:labial_prenasalized_G_accompaniment	
<NA>	m„G	mǁG	conso:click:lateral:voiced:labial_prenasalized_G_accompaniment	
<NA>	mœG	mǂG	conso:click:palatoalveolar:voiceless:labial_prenasalized_G_accompaniment	
<NA>	m—G	mǃG	conso:click:alveolar:voiceless:labial_prenasalized_G_accompaniment	
<NA>	m‡G	mʘG	conso:click:bilabial:voiceless:labial_prenasalized_G_accompaniment	
<NA>	mæ	m̂	conso:nasal:bilabial:voiced:lenis	
<NA>	m%	m̏	conso:nasal:bilabial:voiced:heavy	
<NA>	mƒN	m͡ŋ	conso:nasal:bilabial_to_velar:voiced:plain	
<NA>	mB	mβ	conso:nasal_spirant:bilabial:voiced:plain	
<NA>	nk–	nkǀ	conso:click:dental:voiceless:alveolar_prenasalized_k_accompaniment	
<NA>	nk—	nkǃ	conso:click:alveolar:voiceless:alveolar_prenasalized	
<NA>	nzw	nzʷ	conso:fricative:alveolar:voiced:labialized_prenasalized	
<NA>	nD	nð	conso:fricative:interdental:voiced:prenasalized	
<NA>	nƒNw	nŋw	conso:nasal:alveolar_to_velar:voiced:labialized	
<NA>	n%	n̏	conso:nasal:alveolar:voiced:heavy	
<NA>	n2s2	n̞s̞	conso:fricative:retracted_alveolar:voiceless:prenasalized	
<NA>	n8s	n̥s	conso:fricative:alveolar:voiceless:voiceless_prenasalized	
<NA>	n5t5	n̪t̪	conso:stop:dental:voiceless:prenasalized	
<NA>	n5t5'	n̪t̪ʼ	conso:ejective:dental:voiceless:prenasalized	
<NA>	n5t5’	n̪t̪ʼ	conso:ejective:dental:voiceless:prenasalized	
<NA>	n5z5	n̪z̪	conso:fricative:dental:voiced:prenasalized	
<NA>	o*	omf	vowel:higher_mid:back_rounded:muffled:plain	
<NA>	o/o	oʔo	vowel:higher_mid:back_rounded:interrupted:plain	
<NA>	p+	p*	conso:stop:bilabial:voiceless:lax	
<NA>	p<	p<	conso:click:bilabial:voiceless:pulmonic_ingressive	
<NA>	pƒs	ps	conso:affricate:bilabial_to_alveolar:voiceless:plain	
<NA>	ps	ps	conso:affricate:bilabial_to_alveolar:voiceless:plain	
<NA>	pv	pv	conso:affricate:labiodental:voiceless_to_voiced:plain	
