BIPA	GRAPHEME	FEATURES	COUNT	ID	SYMBOLS
<NA>	aʊɪ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,+,-:+:-:-:0:0:0:+:-,+,+:+,-,-:-,-,+:-,+,-:-:-:-:+:-:-:-:0:-:-:0	1	82D8AF27F30E0161F6D12919CD981E9A	
<NA>	b˞	0:-:-:-:-:+:-:-:-:-:-:-:-:-:+:-:-:+:+:+:+:+:0:0:0:0:0:0:0:+:-:-:-:-:-:-:-	1	1DF4F6FF3789E4BDE890FC9920EAB880	
<NA>	eəɪ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-,-,+:-:+,-,+:-:+,-,-:-:-:+:-:-:-:0:-:-:0	1	3C2AD4A4476976CE0C77F9C25F0AE3B0	
<NA>	fʃ	0:-:-:-:-:+:-:+:+:-:-:-:-:-:+,-:-:+:-,+:-:+:+:-:0:0:0:0:0:0:0:-:-:-:-:-:-:-:-	1	25FEFAE6D3C0BE5A7B8DC54CF0E4F4F5	
<NA>	iau	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,-,+:+:-:-:0:0:0:+:+,-,+:-,+,-:+,-,-:-,-,+:+:-:-:+:-:-:-:0:-:-:0	4	BCACB0B8F7A3A120379482220E809D7F	
<NA>	iäu̽	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,-,+:+:-:-:0:0:0:+:+,-,0:-,+,-:+,-,-:-:+:-:-:+:-:-:-:0:-:-:0	1	3AB98836DA15B8F98FD88379A9CAC5FF	
<NA>	iou	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,+,+:+:-:-:0:0:0:+:+,-,+:-:+,-,-:-,+,+:+:-:-:+:-:-:-:0:-:-:0	2	43562F64958BE87998D566A36EA1B846	
<NA>	iɑu	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,-,+:+:-:-:0:0:0:+:+,-,+:-,+,-:+,-,-:-,+,+:+:-:-:+:-:-:-:0:-:-:0	1	9607918D1EF8F73BC930C1342A1C7025	
<NA>	iəɪ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:+,-,+:-:+,-,+:-:+,-,-:-:-:+:-:-:-:0:-:-:0	1	BA6A8E7A30641E624BBF91AD6494445C	
<NA>	iɛi̯	0:-:+,+,-:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:+,-,+:-:+:-:+,-,+:-:-:+:-:-:-:0:-:-:0	1	E4D8396EC77C0B9E9ADAFDE71CADE5E9	
<NA>	i̯ai	0:-:-,+,+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:+,-,+:-,+,-:+,-,+:-:+:-:-:+:-:-:-:0:-:-:0	1	64780B76CD3E12A6FD1E8E07212FDE31	
<NA>	i̯ai̯	0:-:-,+,-:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:+,-,+:-,+,-:+,-,+:-:+:-:-:+:-:-:-:0:-:-:0	1	E8698A35CCDBBF5D411B6932C25B686D	
<NA>	i̯au	0:-:-,+,+:-:-:-:+:+:0:+:-:-:-:-:-,-,+:+:-:-:0:0:0:+:+,-,+:-,+,-:+,-,-:-,-,+:+:-:-:+:-:-:-:0:-:-:0	1	F7EBBA13E3522805A0442757E38B3938	
<NA>	i̯au̯	0:-:-,+,-:-:-:-:+:+:0:+:-:-:-:-:-,-,+:+:-:-:0:0:0:+:+,-,+:-,+,-:+,-,-:-,-,+:+:-:-:+:-:-:-:0:-:-:0	2	FC1D5AAAE536C5FFF30587054DF9B49E	
<NA>	i̯ei̯	0:-:-,+,-:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:+,-,+:-:+:-:+:-:-:+:-:-:-:0:-:-:0	1	7A8BF3F5025CC660C7D56DFA91E0662C	
<NA>	i̯eu̯	0:-:-,+,-:-:-:-:+:+:0:+:-:-:-:-:-,-,+:+:-:-:0:0:0:+:+,-,+:-:+,+,-:-,-,+:+:-:-:+:-:-:-:0:-:-:0	1	2F7CFD69D1EE231F52E79F6C5425EED1	
<NA>	i̯oi	0:-:-,+,+:-:-:-:+:+:0:+:-:-:-:-:-,+,-:+:-:-:0:0:0:+:+,-,+:-:+,-,+:-,+,-:+:-:-:+:-:-:-:0:-:-:0	1	5FF2CE67FAFD8A4CAC0F68B48A52F310	
<NA>	i̯uaː	0:-:-,+,+:-:-,-,+:-:+:+:0:+:-:-:-:-:-,+,-:+:-:-:0:0:0:+:+,+,-:-,-,+:+,-,-:-,+,-:+:-:-:+:-:-:-:0:-:-:0	1	5E8F2969F5AF9C0D77871E831384D22A	
<NA>	i̯ui	0:-:-,+,+:-:-:-:+:+:0:+:-:-:-:-:-,+,-:+:-:-:0:0:0:+:+:-:+,-,+:-,+,-:+:-:-:+:-:-:-:0:-:-:0	1	BCE72190B68A805EC8E27F3BCA82DF7F	
<NA>	i̯uo	0:-:-,+,+:-:-:-:+:+:0:+:-:-:-:-:-,+,+:+:-:-:0:0:0:+:+,+,-:-:+,-,-:-,+,+:+:-:-:+:-:-:-:0:-:-:0	1	AC1B870BEE5FABCCC4DE1CCDF79A7B9C	
<NA>	i̯ũo	0:-:-,+,+:-:-:-:+:+:0:+:-:-:-,+,-:-:-,+,+:+:-:-:0:0:0:+:+,+,-:-:+,-,-:-,+,+:+:-:-:+:-:-:-:0:-:-:0	1	CD44D9E936E3B70A961F37411B474910	
<NA>	i̯æi	0:-:-,+,+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:+,-,+:-,+,-:+:-:+:-:-:+:-:-:-:0:-:-:0	1	ACDEB01A6C99E3FE830FB91E764F7B2A	
<NA>	i̯ɛi	0:-:-,+,+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:+,-,+:-:+:-:+,-,+:-:-:+:-:-:-:0:-:-:0	1	1A464A3F0387EA2B8236C794FDEFB116	
<NA>	i̯ɛi̯	0:-:-,+,-:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:+,-,+:-:+:-:+,-,+:-:-:+:-:-:-:0:-:-:0	1	0328A8914AFF1BE8F2C48FEBAF07E4CC	
<NA>	kf	0:-:-:-:-:+:-:-,+:-,+:-:-:-:-:-:-,+:-:+:-:0:0:0:+,-:+:-:-:-:0:0:0:-:-:-:-:-:-:-:-	2	FCC69D17E4833E1E83BA73C466429959	
<NA>	kǁʰ’	0:-:-:-:-:+:-:-:-:-:-:-:-:-,+:-:0:0:-,+:+:-:-:+,-:+:-:-:-:0:0:0:-:-:-:-,+:-:-,+:-:-,+	1	EC6FE6B292A1F3265E5916A6258F054C	
<NA>	k˞	0:-:-:-:-:+:-:-:-:-:-:-:-:-:-:0:0:+:+:+:+:+:+:-:-:-:0:0:0:-:-:-:-:-:-:-:-	1	F2858AFDD64F7FD6F522E19F231E6A7B	
<NA>	k˞ʰ	0:-:-:-:-:+:-:-:-:-:-:-:-:-:-:0:0:+:+:+:+:+:+:-:-:-:0:0:0:-:-:+:-:-:-:-:-	1	57339A3B3871BA38CBCE607787E6E046	
<NA>	ld	0:-:-:-:-:+:+,-:+,-:-:+,-:-:-:-:+,-:-:0:0:+:+:-:-:-:0:0:0:0:0:0:0:+:-:-:-:-:-:-:-	1	7ACF17BF94CC9BB906AF3F3CD615C454	
<NA>	l̠˞	0:-:-:-:-:+:+:+:0:+:-:-:-:+:-:0:0:+:+:+:+:+:0:0:0:0:0:0:0:+:-:-:-:-:-:-:-	2	08A9EFEDDDDE024102936AE85730835B	
<NA>	m̥m	0:-:-:-:-:+:+:-:0:-:-:-:+:-:+:-:-:-:0:0:0:-:0:0:0:0:0:0:0:-,+:-:-:-:-:-:-:-	1	DF5C83B743B334AE6BFEC865725E8822	
<NA>	oəɪ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:-,-,+:-:-,-,+:+,-,-:+,-,-:-:-:+:-:-:-:0:-:-:0	1	F73A1AF6C3484AF4C8093B5787023EE0	
<NA>	pʃʰ	0:-:-:-:-:+:-:-,+:-,+:-:-:-:-:-:+,-:-:-:-,+:-:+:+:-:0:0:0:0:0:0:0:-:-:-,+:-:-:-:-:-	1	77A6E615B559575F079FED0B9C0885EF	
<NA>	pʃ’	0:-:-:-:-:+:-:-,+:-,+:-:-:-:-:-:+,-:-:-:-,+:-:+:+:-:0:0:0:0:0:0:0:-:-:-:-,+:-:-,+:-:-	1	22ECB79879CC987E91DC4F9D7726ACE6	
<NA>	p˞	0:-:-:-:-:+:-:-:-:-:-:-:-:-:+:-:-:+:+:+:+:+:0:0:0:0:0:0:0:-:-:-:-:-:-:-:-	1	E055C6F1D175A8D10B988BA3DE923EDD	
<NA>	p˞ʰ	0:-:-:-:-:+:-:-:-:-:-:-:-:-:+:-:-:+:+:+:+:+:0:0:0:0:0:0:0:-:-:+:-:-:-:-:-	1	AF2D86947505E4DFA8481E81025CAC4D	
<NA>	qm	0:-:-:-:-:+:-,+:-:-:-:-:-:-,+:-:-,+:-:-:-:0:0:0:+,-:-:-:-:+:0:0:0:-,+:-:-:-:-:-:-:-	1	EC86ECBCDC817D97AAE682C71B1EBEFB	
<NA>	qn	0:-:-:-:-:+:-,+:-:-:-:-:-:-,+:-:-:0:0:-,+:+:-:-:+,-:-:-:-:+:0:0:0:-,+:-:-:-:-:-:-:-	1	8FD6F64DAA1EDB0AECFBE8955F8BD3E6	
<NA>	st	0:-:-:-:-:+:-:+,-:+,-:-:-:-:-:-:-:0:0:+:+:-:+,-:-:0:0:0:0:0:0:0:-:-:-:-:-:-:-:-	1	951AD70B77F1669A992C78AFAE34EB43	
<NA>	s̻θ	0:-:-:-:-:+:-:+:+:-:-:-:-:-:-:0:0:+:+:+:+,-:-:0:0:0:0:0:0:0:-:-:-:-:-:-:-:-	1	14F8F686B13B38C9A3039543BA8D811A	
<NA>	uai	0:-:+:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-,+,-:-,-,+:+,-,-:+:-:-:+:-:-:-:0:-:-:0	4	5004EE6CA44A4954BF0272E5961EEF40	
<NA>	uei	0:-:+:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-:-,+,+:+,-,-:+:-:-:+:-:-:-:0:-:-:0	2	E13708CF8615C7578CC53E33EADAA4DC	
<NA>	uei̯	0:-:+,+,-:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-:-,+,+:+,-,-:+:-:-:+:-:-:-:0:-:-:0	1	CA651A48FD3802DAF4579064C55A2B9D	
<NA>	uie	0:-:+:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,+,-:-:-,+,+:+,-,-:+:-:-:+:-:-:-:0:-:-:0	1	1776FA34886EA3AFA0D236EB48A4FA9E	
<NA>	uiɛ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,+,-:-:-,+,+:+,-,-:+,+,-:-:-:+:-:-:-:0:-:-:0	1	A56D77F3C50EAC51749CF89E9F0CC690	
<NA>	uɑi	0:-:+:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-,+,-:-,-,+:+,+,-:+:-:-:+:-:-:-:0:-:-:0	1	3E31FC5600FA5C8B69006EBF6151C453	
<NA>	uəi	0:-:+:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-:-,-,+:+,-,-:+,-,+:-:-:+:-:-:-:0:-:-:0	1	55C5195F0961BCE58BE4A34F2999853E	
<NA>	u̯ai	0:-:-,+,+:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-,+,-:-,-,+:+,-,-:+:-:-:+:-:-:-:0:-:-:0	1	91A1C9867442423B4DBE2719F476F659	
<NA>	u̯ai̯	0:-:-,+,-:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-,+,-:-,-,+:+,-,-:+:-:-:+:-:-:-:0:-:-:0	1	2AA88F936974FCB65191EAD3932B35E8	
<NA>	u̯ei̯	0:-:-,+,-:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-:-,+,+:+,-,-:+:-:-:+:-:-:-:0:-:-:0	2	142806D631E908AABF3E26BF8795264C	
<NA>	u̯eu̯	0:-:-,+,-:-:-:-:+:+:0:+:-:-:-:-:+,-,+:+:-:-:0:0:0:+:+,-,+:-:-,+,-:+,-,+:+:-:-:+:-:-:-:0:-:-:0	1	9A8E7FD74568B41F72954E1FE575EB88	
<NA>	u̯æi	0:-:-,+,+:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-,+,-:-,+,+:+,-,-:+:-:-:+:-:-:-:0:-:-:0	1	D844468EC912C5BB2F3DA88E9926C2F8	
<NA>	u̯ɛi	0:-:-,+,+:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-:-,+,+:+,-,-:+,-,+:-:-:+:-:-:-:0:-:-:0	1	EBEA04C1554E054A580EA9650FFBFB5F	
<NA>	u̯ɛi̯	0:-:-,+,-:-:-:-:+:+:0:+:-:-:-:-:+,-,-:+:-:-:0:0:0:+:+,-,+:-:-,+,+:+,-,-:+,-,+:-:-:+:-:-:-:0:-:-:0	1	30BE3EE4262E7BF09BA95502DBA84F17	
<NA>	w˞	0:-:-:-:-:-:+:+:0:+:-:-:-:-:+:+:-:+:+:+:+:+:+:-:-:+:+:0:0:+:-:-:-:-:-:-:-	1	A32E6C43244DD13A8D0CC5BEE2D89D11	
<NA>	xk	0:-:-:-:-:+:-:+,-:+,-:-:-:-:-:-:-:0:0:-:0:0:0:+:+:-:-:-:0:0:0:-:-:-:-:-:-:-:-	4	904F3246ED9F562C490B95481F909475	
