BIPA	GRAPHEME	COUNT	SYMBOLS
<NA>	ɡ̥ʰ	1	
<NA>	ʔj	2	
<NA>	⁰²	1	
<NA>	⁰⁴	1	
+	+	43	
+	_	81	
a	a	196	◌a
ai	ai	20	◌a ◌i
ao	ao	2	◌a ◌o
au	au	15	◌a ◌u
aɪ	aɪ	1	◌a ◌ɪ
aʊ	aʊ	1	◌a ◌ʊ
aː	aː	78	◌a ◌ː
a̤	a̤	4	◌a ◌̤
a̤ː	a̤ː	4	◌a ◌̤ ◌ː
a̰	a̰	1	◌a ◌̰
b	b	146	◌b
bˢ	bz	1	◌b ◌ˢ
bʰ	bʰ	2	◌b ◌ʰ
bʲ	bʲ	2	◌b ◌ʲ
bː	bː	10	◌b ◌ː
bʱ	b̤	3	◌b ◌ʱ
b̥	b̥	2	◌b ◌̥
b̥ʰ	b̥ʰ	1	◌b ◌̥ ◌ʰ
c	c	40	◌c
cʰ	cʰ	20	◌c ◌ʰ
cʼ	cʼ	1	◌c ◌ʼ
cː	cː	1	◌c ◌ː
d	d	146	◌d
dz	dz	27	◌d ◌z
dʑ	dʑ	21	◌d ◌ʑ
dʒ	dʒ	43	◌d ◌ʒ
dʒʰ	dʒʰ	1	◌d ◌ʒ ◌ʰ
dʰ	dʰ	2	◌d ◌ʰ
dʲ	dʲ	8	◌d ◌ʲ
dː	dː	12	◌d ◌ː
dʒː	dːʒ	6	◌d ◌ʒ ◌ː
dʱ	d̤	3	◌d ◌ʱ
dʱː	d̤ː	1	◌d ◌ʱ ◌ː
d̥	d̥	2	◌d ◌̥
d̥ʰ	d̥ʰ	1	◌d ◌̥ ◌ʰ
d̪	d̪	1	◌d ◌̪
d̪ʰ	d̪ʰ	1	◌d ◌̪ ◌ʰ
e	e	184	◌e
ei	ei	4	◌e ◌i
eu	eu	2	◌e ◌u
eə	eə	2	◌e ◌ə
eɪ	eɪ	1	◌e ◌ɪ
eː	eː	74	◌e ◌ː
e̞	e̞	1	◌e ◌̞
e̤	e̤	4	◌e ◌̤
e̤ː	e̤ː	5	◌e ◌̤ ◌ː
e̯a	e̯a	2	◌e ◌̯ ◌a
f	f	111	◌f
fʲ	fʲ	1	◌f ◌ʲ
fː	fː	4	◌f ◌ː
h	h	90	◌h
h̃	h̃	1	◌h ◌̃
i	i	195	◌i
ia	ia	11	◌i ◌a
ie	ie	5	◌i ◌e
iə	iə	3	◌i ◌ə
iː	iː	73	◌i ◌ː
iːː	iːː	1	◌i ◌ː ◌ː
i̤	i̤	4	◌i ◌̤
i̤ː	i̤ː	3	◌i ◌̤ ◌ː
j	j	185	◌j
jʰ	jʰ	8	◌j ◌ʰ
