BIPA	GRAPHEME	ID	SYMBOLS
<NA>	aʰ	345	
<NA>	eʰ	289	
<NA>	iʰ	250	
<NA>	k̪	40	
<NA>	laryngeal_harmony	356	
<NA>	nasal_harmony	355	
<NA>	oʰ	306	
<NA>	pʲʰ	69	
<NA>	tone	354	
<NA>	tˣ	16	
<NA>	t̪ʙ	13	
<NA>	uʰ	275	
ɴ	N	157	◌ɴ
a	a	336	◌a
aĭ	aʲ	342	◌a ◌i ◌̆
aːĭ	aʲː	344	◌a ◌ː ◌i ◌̆
aː	aː	340	◌a ◌ː
ã	ã	337	◌a ◌̃
ãi	ãʲ	343	◌a ◌̃ ◌i
ãː	ãː	341	◌a ◌̃ ◌ː
a̰	a̰	338	◌a ◌̰
ã̰	ã̰	339	◌a ◌̰ ◌̃
b	b	6	◌b
bˢ	bz	10	◌b ◌ˢ
bʲ	bʲ	8	◌b ◌ʲ
bʷ	bʷ	9	◌b ◌ʷ
bː	bː	7	◌b ◌ː
b̰	b̰	85	◌b ◌̰
bβ	bβ	11	◌b ◌β
c	c	28	◌c
cç	cç	60	◌c ◌c ◌̧
cʰ	cʰ	76	◌c ◌ʰ
cʼ	cʼ	95	◌c ◌ʼ
ç	ç	181	◌c ◌̧
c̰	c̰	96	◌c ◌̰
d	d	23	◌d
dz	dz	53	◌d ◌z
dʒ	dʒ	56	◌d ◌ʒ
dʰ	dʰ	74	◌d ◌ʰ
dʲ	dʲ	25	◌d ◌ʲ
dː	dː	24	◌d ◌ː
d̪	d̪	14	◌d ◌̪
d̪ʰ	d̪ʰ	71	◌d ◌̪ ◌ʰ
d̰	d̰	92	◌d ◌̰
e	e	283	◌e
eu	eu	290	◌e ◌u
eː	eː	287	◌e ◌ː
ẽ	ẽ	284	◌e ◌̃
ẽː	ẽː	288	◌e ◌̃ ◌ː
ḛ	ḛ	285	◌e ◌̰
ḛ̃	ḛ̃	286	◌e ◌̰ ◌̃
f	f	163	◌f
fʷ	fʷ	162	◌f ◌ʷ
h	h	192	◌h
hʲ	hʲ	194	◌h ◌ʲ
hʷ	hʷ	195	◌h ◌ʷ
h̃	h̃	193	◌h ◌̃
i	i	244	◌i
iː	iː	248	◌i ◌ː
ĩ	ĩ	245	◌i ◌̃
ĩː	ĩː	249	◌i ◌̃ ◌ː
ḭ	ḭ	246	◌i ◌̰
ḭ̃	ḭ̃	247	◌i ◌̰ ◌̃
j	j	202	◌j
jʼ	jʼ	205	◌j ◌’
jː	jː	207	◌j ◌ː
j̃	j̃	203	◌j ◌̃
j̊	j̥	204	◌j ◌̊
j̰	j̰	206	◌j ◌̰
k	k	32	◌k
kˡ	kl	232	◌k ◌ˡ
kp	kp	42	◌k ◌p
kʰ	kʰ	77	◌k ◌ʰ
kʲ	kʲ	33	◌k ◌ʲ
kʲʰ	kʲʰ	78	◌k ◌ʲ ◌ʰ
kʼʲ	kʲʼ	99	◌k ◌’ ◌ʲ
kʷ	kʷ	38	◌k ◌ʷ
kʲʷ	kʷʲ	41	◌k ◌ʲ ◌ʷ
kʼʷ	kʷʼ	100	◌k ◌ʼ ◌ʷ
kʷː	kʷː	39	◌k ◌ʷ ◌ː
k̰ʷ	kʷ̰	102	◌k ◌̰ ◌ʷ
k̰ʷ	kʷ◌̰	103	◌k ◌̰ ◌ʷ
kʼ	kʼ	98	◌k ◌ʼ
kː	kː	36	◌k ◌ː
kx	kˣ	34	◌k ◌x
k̰	k̰	101	◌k ◌̰
l	l	223	◌l
lʲ	lʲ	224	◌l ◌ʲ
lʼ	lʼ	225	◌l ◌’
lː	lː	226	◌l ◌ː
l̥	l̥	220	◌l ◌̥
l̪	l̪	219	◌l ◌̪
m	m	134	◌m
ⁿb	mb	113	◌ⁿ ◌b
ⁿbʲ	mbʲ	114	◌ⁿ ◌b ◌ʲ
ⁿp	mp	110	◌ⁿ ◌p
ⁿpʲ	mpʲ	111	◌ⁿ ◌p ◌ʲ
ⁿɸʲ	mɸʲ	112	◌ⁿ ◌ɸ ◌ʲ
mʰ	mʰ	132	◌m ◌ʰ
mʲ	mʲ	137	◌m ◌ʲ
mʷ	mʷ	138	◌m ◌ʷ
mʼ	mʼ	135	◌m ◌’
mː	mː	139	◌m ◌ː
m̥	m̥	133	◌m ◌̥
m̰	m̰	136	◌m ◌̰
n	n	145	◌n
ⁿd	nd	119	◌ⁿ ◌d
ⁿdz	ndz	129	◌ⁿ ◌d ◌z
