BIPA	GRAPHEME	COUNT	SYMBOLS
<NA>	pʃʰ	1	
<NA>	pʲʰ	2	
z̻	z̻	1	
<NA>	ʊai	1	
a	a	1	◌a
ai	ai	2	◌a ◌i
au	au	1	◌a ◌u
aː	aː	3	◌a ◌ː
ã	ã	1	◌a ◌̃
b	b	64	◌b
bʰ	bʰ	1	◌b ◌ʰ
bʱ	bʱ	1	◌b ◌ʱ
bʷ	bʷ	1	◌b ◌ʷ
bˤ	bˤ	1	◌b ◌ˤ
bʱ	b̤	1	◌b ◌ʱ
c	c	9	◌c
cç	cç	1	◌c ◌c ◌̧
cʰ	cʰ	1	◌c ◌ʰ
d	d	54	◌d
dz	dz	10	◌d ◌z
dzʱ	dzʱ	1	◌d ◌z ◌ʱ
dzʲ	dzʲ	1	◌d ◌z ◌ʲ
dʱ	dʱ	1	◌d ◌ʱ
dʲ	dʲ	2	◌d ◌ʲ
dˤ	dˤ	5	◌d ◌ˤ
dʒ	d̠ʒ	75	◌d ◌ʒ
dʒʱ	d̠̤ʒ̤	1	◌d ◌ʒ ◌ʱ
dʱ	d̤	1	◌d ◌ʱ
dzʱ	d̤z̤	1	◌d ◌z ◌ʱ
dɮʱ	d̤ɮ̤	1	◌d ◌ɮ ◌ʱ
d̪	d̪	3	◌d ◌̪
e	e	25	◌e
eː	eː	4	◌e ◌ː
f	f	148	◌f
fʲ	fʲ	3	◌f ◌ʲ
fː	fː	1	◌f ◌ː
h	h	64	◌h
hʷ	hʷ	1	◌h ◌ʷ
iː	iː	2	◌i ◌ː
ĩ	ĩ	1	◌i ◌̃
j	j	19	◌j
k	k	19	◌k
kp	kp	3	◌k ◌p
kʰ	kʰ	5	◌k ◌ʰ
kʲ	kʲ	1	◌k ◌ʲ
kʷ	kʷ	1	◌k ◌ʷ
kʼ	kʼ	1	◌k ◌ʼ
l	l	43	◌l
l̥	l̥	1	◌l ◌̥
l̪ˤ	l̪ˤ	1	◌l ◌̪ ◌ˤ
m	m	3	◌m
ⁿb	mb	5	◌ⁿ ◌b
ⁿbʷ	mbʷ	1	◌ⁿ ◌b ◌ʷ
ⁿp	mp	1	◌ⁿ ◌p
mʱ	m̤	1	◌m ◌ʱ
n	n	4	◌n
ⁿd	nd	4	◌ⁿ ◌d
ⁿdˡ	ndl	1	◌ⁿ ◌d ◌ˡ
ⁿdʒ	n̠d̠ʒ	5	◌ⁿ ◌d ◌ʒ
ⁿtʃ	n̠t̠ʃ	2	◌ⁿ ◌t ◌ʃ
nʱ	n̤	1	◌n ◌ʱ
ⁿdɮʱ	n̤d̤ɮ̤	1	◌ⁿ ◌d ◌ɮ ◌ʱ
n̪	n̪	2	◌n ◌̪
n̪ˤ	n̪ˤ	1	◌n ◌̪ ◌ˤ
ⁿdz̺	n̺d̺z̺	1	◌ⁿ ◌d ◌z ◌̺
o	o	31	◌o
oː	oː	6	◌o ◌ː
õ	õ	1	◌o ◌̃
o̞	o̞	1	◌o ◌̞
p	p	48	◌p
pʰ	pʰ	8	◌p ◌ʰ
pʲ	pʲ	2	◌p ◌ʲ
pʷ	pʷ	1	◌p ◌ʷ
pʷʰ	pʷʰ	1	◌p ◌ʷ ◌ʰ
p’ʷ	pʷʼ	1	◌p ◌’ ◌ʷ
pʼ	pʼ	2	◌p ◌ʼ
pˤ	pˤ	2	◌p ◌ˤ
q	q	12	◌q
qʰ	qʰ	1	◌q ◌ʰ
qʼʷ	qʷʼ	1	◌q ◌ʼ ◌ʷ
qʼ	qʼ	1	◌q ◌ʼ
qː	qː	1	◌q ◌ː
r	r	52	◌r
rʲ	rʲ	4	◌r ◌ʲ
rː	rː	1	◌r ◌ː
r̝	r̝	1	◌r ◌̝
s	s	34	◌s
sʲ	sʲ	1	◌s ◌ʲ
sʷ	sʷ	1	◌s ◌ʷ
sʼ	sʼ	1	◌s ◌ʼ
sˠ	sˠ	1	◌s ◌ˠ
sˤ	sˤ	2	◌s ◌ˤ
t	t	9	◌t
tˡ	tl	1	◌t ◌ˡ
tˡʱ	tlʱ	1	◌t ◌ˡ ◌ʱ
ts	ts	21	◌t ◌s
tsʰ	tsʰ	1	◌t ◌s ◌ʰ
tsʲ	tsʲ	1	◌t ◌s ◌ʲ
tsʲʰ	tsʲʰ	1	◌t ◌s ◌ʲ ◌ʰ
tsʷ	tsʷ	1	◌t ◌s ◌ʷ
tsʷʰ	tsʷʰ	1	◌t ◌s ◌ʷ ◌ʰ
tɕ	tɕ	3	◌t ◌ɕ
tʰ	tʰ	4	◌t ◌ʰ
tʲ	tʲ	4	◌t ◌ʲ
tˠ	tˠ	1	◌t ◌ˠ
tˤ	tˤ	2	◌t ◌ˤ
tʃ	t̠ʃ	71	◌t ◌ʃ
