BIPA	URL	FEATURES	GRAPHEME	SYMBOLS
<NA>	https://en.wikipedia.org/wiki/Palatal_lateral_ejective_affricate	Palatal_lateral_ejective_affricate	cʎ̝̥ʼ	
<NA>	https://en.wikipedia.org/wiki/Voiced_alveolar_affricate	Voiced_alveolar_affricate	dɹ̝	
<NA>	https://en.wikipedia.org/wiki/Voiceless_alveolo-palatal_sibilant_affricate	Voiceless_alveolo-palatal_sibilant_affricate	d̠ʑ	
<NA>	https://en.wikipedia.org/wiki/Velar_lateral_ejective_affricate	Velar_lateral_ejective_affricate	kʟ̝̊ʼ	
<NA>	https://en.wikipedia.org/wiki/Voiceless_alveolar_affricate	Voiceless_alveolar_affricate	tɹ̝̊	
<NA>	https://en.wikipedia.org/wiki/Voiceless_alveolo-palatal_sibilant_affricate	Voiceless_alveolo-palatal_sibilant_affricate	t̠ɕ	
<NA>	https://en.wikipedia.org/wiki/Uvular_flap	Uvular_flap	ɢ̆	
<NA>	https://en.wikipedia.org/wiki/Voiceless_retroflex_lateral_fricative	Voiceless_retroflex_lateral_fricative	ɭ̊˔	
<NA>	https://en.wikipedia.org/wiki/Retroflex_lateral_flap	Retroflex_lateral_flap	ɺ̢	
<NA>	https://en.wikipedia.org/wiki/Voiced_retroflex_non-sibilant_fricative	Voiced_retroflex_non-sibilant_fricative	ɻ˔	
<NA>	https://en.wikipedia.org/wiki/Retroflex_trill	Retroflex_trill	ɽɽ	
<NA>	https://en.wikipedia.org/wiki/Voiceless_retroflex_trill	Voiceless_retroflex_trill	ɽ̊ɽ̊	
<NA>	https://en.wikipedia.org/wiki/Voiceless_palatal_lateral_fricative	Voiceless_palatal_lateral_fricative	ʎ̥˔	
<NA>	https://en.wikipedia.org/wiki/Palatal_lateral_flap	Palatal_lateral_flap	ʎ̮	
<NA>	https://en.wikipedia.org/wiki/Velar_lateral_flap	Velar_lateral_flap	ʟ̆	
<NA>	https://en.wikipedia.org/wiki/Epiglottal_flap	Epiglottal_flap	ʡ̮	
a	https://en.wikipedia.org/wiki/Open_front_unrounded_vowel	Open_front_unrounded_vowel	a	◌a
b	https://en.wikipedia.org/wiki/Voiced_bilabial_stop	Voiced_bilabial_stop	b	◌b
b̪	https://en.wikipedia.org/wiki/Voiced_labiodental_stop	Voiced_labiodental_stop	b̪	◌b ◌̪
bv	https://en.wikipedia.org/wiki/Voiced_labiodental_affricate	Voiced_labiodental_affricate	b̪v	◌b ◌v
bβ	https://en.wikipedia.org/wiki/Voiced_bilabial_affricate	Voiced_bilabial_affricate	bβ	◌b ◌β
c	https://en.wikipedia.org/wiki/Voiceless_palatal_stop#Palatal_or_alveolo-palatal	Voiceless_palatal_stop#Palatal_or_alveolo-palatal	c	◌c
cç	https://en.wikipedia.org/wiki/Voiceless_palatal_affricate	Voiceless_palatal_affricate	cç	◌c ◌c ◌̧
d	https://en.wikipedia.org/wiki/Voiced_dental_and_alveolar_stops#Alveolar	Voiced_dental_and_alveolar_stops#Alveolar	d	◌d
dz	https://en.wikipedia.org/wiki/Voiced_alveolar_sibilant_affricate	Voiced_alveolar_sibilant_affricate	dz	◌d ◌z
dɮ	https://en.wikipedia.org/wiki/Voiced_alveolar_lateral_affricate	Voiced_alveolar_lateral_affricate	dɮ	◌d ◌ɮ
dʒ	https://en.wikipedia.org/wiki/Voiced_palato-alveolar_sibilant_affricate	Voiced_palato-alveolar_sibilant_affricate	d̠ʒ	◌d ◌ʒ
dð	https://en.wikipedia.org/wiki/Voiced_dental_non-sibilant_affricate	Voiced_dental_non-sibilant_affricate	d̪ð	◌d ◌ð
d̼	https://en.wikipedia.org/wiki/Voiced_linguolabial_stop	Voiced_linguolabial_stop	d̼	◌d ◌̼
e	https://en.wikipedia.org/wiki/Close-mid_front_unrounded_vowel	Close-mid_front_unrounded_vowel	e	◌e
e̞	https://en.wikipedia.org/wiki/Mid_front_unrounded_vowel	Mid_front_unrounded_vowel	e̞	◌e ◌̞
f	https://en.wikipedia.org/wiki/Voiceless_labiodental_fricative	Voiceless_labiodental_fricative	f	◌f
h	https://en.wikipedia.org/wiki/Voiceless_glottal_fricative	Voiceless_glottal_fricative	h	◌h
i	https://en.wikipedia.org/wiki/Close_front_unrounded_vowel	Close_front_unrounded_vowel	i	◌i
j	https://en.wikipedia.org/wiki/Palatal_approximant#Palatal	Palatal_approximant#Palatal	j	◌j
j̊	https://en.wikipedia.org/wiki/Voiceless_palatal_approximant	Voiceless_palatal_approximant	j̊	◌j ◌̊
k	https://en.wikipedia.org/wiki/Voiceless_velar_stop	Voiceless_velar_stop	k	◌k
kx	https://en.wikipedia.org/wiki/Voiceless_velar_affricate	Voiceless_velar_affricate	kx	◌k ◌x
kx’	https://en.wikipedia.org/wiki/Velar_ejective_affricate	Velar_ejective_affricate	kxʼ	◌k ◌x ◌’
l	https://en.wikipedia.org/wiki/Alveolar_lateral_approximant	Alveolar_lateral_approximant	l	◌l
l̥	https://en.wikipedia.org/wiki/Voiceless_alveolar_lateral_approximant	Voiceless_alveolar_lateral_approximant	l̥	◌l ◌̥
m	https://en.wikipedia.org/wiki/Bilabial_nasal	Bilabial_nasal	m	◌m
m̥	https://en.wikipedia.org/wiki/Voiceless_bilabial_nasal	Voiceless_bilabial_nasal	m̥	◌m ◌̥
n	https://en.wikipedia.org/wiki/Dental,_alveolar_and_postalveolar_nasals#Alveolar	Dental,_alveolar_and_postalveolar_nasals#Alveolar	n	◌n
n̥	https://en.wikipedia.org/wiki/Voiceless_alveolar_nasal	Voiceless_alveolar_nasal	n̥	◌n ◌̥
n̼	https://en.wikipedia.org/wiki/Linguolabial_nasal	Linguolabial_nasal	n̼	◌n ◌̼
o	https://en.wikipedia.org/wiki/Close-mid_back_rounded_vowel	Close-mid_back_rounded_vowel	o	◌o
o̞	https://en.wikipedia.org/wiki/Mid_back_rounded_vowel	Mid_back_rounded_vowel	o̞	◌o ◌̞
p	https://en.wikipedia.org/wiki/Voiceless_bilabial_stop	Voiceless_bilabial_stop	p	◌p
pɸ	https://en.wikipedia.org/wiki/Voiceless_bilabial_affricate	Voiceless_bilabial_affricate	pɸ	◌p ◌ɸ
p̪	https://en.wikipedia.org/wiki/Voiceless_labiodental_stop	Voiceless_labiodental_stop	p̪	◌p ◌̪
pf	https://en.wikipedia.org/wiki/Voiceless_labiodental_affricate	Voiceless_labiodental_affricate	p̪f	◌p ◌f
q	https://en.wikipedia.org/wiki/Voiceless_uvular_stop	Voiceless_uvular_stop	q	◌q
qχ	https://en.wikipedia.org/wiki/Voiceless_uvular_affricate	Voiceless_uvular_affricate	qχ	◌q ◌χ
qχ’	https://en.wikipedia.org/wiki/Uvular_ejective_affricate	Uvular_ejective_affricate	qχʼ	◌q ◌χ ◌’
r	https://en.wikipedia.org/wiki/Alveolar_trill	Alveolar_trill	r	◌r
r̥	https://en.wikipedia.org/wiki/Voiceless_alveolar_trill	Voiceless_alveolar_trill	r̥	◌r ◌̥
r̼	https://en.wikipedia.org/wiki/Linguolabial_trill	Linguolabial_trill	r̼	◌r ◌̼
s	https://en.wikipedia.org/wiki/Voiceless_alveolar_fricative#Voiceless_alveolar_sibilant	Voiceless_alveolar_fricative#Voiceless_alveolar_sibilant	s	◌s
t	https://en.wikipedia.org/wiki/Voiceless_dental_and_alveolar_stops#Alveolar	Voiceless_dental_and_alveolar_stops#Alveolar	t	◌t
ts	https://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant_affricate	Voiceless_alveolar_sibilant_affricate	ts	◌t ◌s
tsʼ	https://en.wikipedia.org/wiki/Alveolar_ejective_affricate	Alveolar_ejective_affricate	tsʼ	◌t ◌s ◌ʼ
tɬ	https://en.wikipedia.org/wiki/Voiceless_alveolar_lateral_affricate	Voiceless_alveolar_lateral_affricate	tɬ	◌t ◌ɬ
tɬʼ	https://en.wikipedia.org/wiki/Alveolar_lateral_ejective_affricate	Alveolar_lateral_ejective_affricate	tɬʼ	◌t ◌ɬ ◌ʼ
tʃ	https://en.wikipedia.org/wiki/Voiceless_palato-alveolar_sibilant_affricate	Voiceless_palato-alveolar_sibilant_affricate	t̠ʃ	◌t ◌ʃ
tʃʼ	https://en.wikipedia.org/wiki/Palato-alveolar_ejective_affricate	Palato-alveolar_ejective_affricate	t̠ʃʼ	◌t ◌ʃ ◌ʼ
tθ	https://en.wikipedia.org/wiki/Voiceless_dental_non-sibilant_affricate	Voiceless_dental_non-sibilant_affricate	t̪θ	◌t ◌θ
t̼	https://en.wikipedia.org/wiki/Voiceless_linguolabial_stop	Voiceless_linguolabial_stop	t̼	◌t ◌̼
u	https://en.wikipedia.org/wiki/Close_back_rounded_vowel	Close_back_rounded_vowel	u	◌u
v	https://en.wikipedia.org/wiki/Voiced_labiodental_fricative	Voiced_labiodental_fricative	v	◌v
x	https://en.wikipedia.org/wiki/Voiceless_velar_fricative	Voiceless_velar_fricative	x	◌x
y	https://en.wikipedia.org/wiki/Close_front_rounded_vowel	Close_front_rounded_vowel	y	◌y
z	https://en.wikipedia.org/wiki/Voiced_alveolar_fricative#Voiced_alveolar_sibilant	Voiced_alveolar_fricative#Voiced_alveolar_sibilant	z	◌z
ä	https://en.wikipedia.org/wiki/Open_central_unrounded_vowel	Open_central_unrounded_vowel	ä	◌a ◌̈
æ	https://en.wikipedia.org/wiki/Near-open_front_unrounded_vowel	Near-open_front_unrounded_vowel	æ	◌æ
ç	https://en.wikipedia.org/wiki/Voiceless_palatal_fricative#Palatal	Voiceless_palatal_fricative#Palatal	ç	◌c ◌̧
ð	https://en.wikipedia.org/wiki/Voiced_dental_fricative	Voiced_dental_fricative	ð	◌ð
ð̠	https://en.wikipedia.org/wiki/Voiced_alveolar_non-sibilant_fricative	Voiced_alveolar_non-sibilant_fricative	ð̠	◌ð ◌̠
ð̼	https://en.wikipedia.org/wiki/Voiced_linguolabial_fricative	Voiced_linguolabial_fricative	ð̼	◌ð ◌̼
ø	https://en.wikipedia.org/wiki/Close-mid_front_rounded_vowel	Close-mid_front_rounded_vowel	ø	◌ø
ø̞	https://en.wikipedia.org/wiki/Mid_front_rounded_vowel	Mid_front_rounded_vowel	ø̞	◌ø ◌̞
ħ	https://en.wikipedia.org/wiki/Voiceless_pharyngeal_fricative	Voiceless_pharyngeal_fricative	ħ	◌ħ
ŋ	https://en.wikipedia.org/wiki/Velar_nasal	Velar_nasal	ŋ	◌ŋ
ŋ̊	https://en.wikipedia.org/wiki/Voiceless_velar_nasal	Voiceless_velar_nasal	ŋ̊	◌ŋ ◌̊
œ	https://en.wikipedia.org/wiki/Open-mid_front_rounded_vowel	Open-mid_front_rounded_vowel	œ	◌œ
ɐ	https://en.wikipedia.org/wiki/Near-open_central_unrounded_vowel	Near-open_central_unrounded_vowel	ɐ	◌ɐ
ɑ	https://en.wikipedia.org/wiki/Open_back_unrounded_vowel	Open_back_unrounded_vowel	ɑ	◌ɑ
ɒ	https://en.wikipedia.org/wiki/Open_back_rounded_vowel	Open_back_rounded_vowel	ɒ	◌ɒ
ɒ̈	https://en.wikipedia.org/wiki/Open_central_rounded_vowel	Open_central_rounded_vowel	ɒ̈	◌ɒ ◌̈
ɔ	https://en.wikipedia.org/wiki/Open-mid_back_rounded_vowel	Open-mid_back_rounded_vowel	ɔ	◌ɔ
ɕ	https://en.wikipedia.org/wiki/Voiceless_alveolo-palatal_fricative	Voiceless_alveolo-palatal_fricative	ɕ	◌ɕ
ɖ	https://en.wikipedia.org/wiki/Voiced_retroflex_stop	Voiced_retroflex_stop	ɖ	◌ɖ
ɖʐ	https://en.wikipedia.org/wiki/Voiced_retroflex_sibilant_affricate	Voiced_retroflex_sibilant_affricate	ɖʐ	◌ɖ ◌ʐ
